YEAR,mean_per_year
1901,1284.2085714285715
1902,1337.2885714285715
1903,1401.0093012119762
1904,1236.7800000000002
1905,1186.1685714285716
1906,1348.0028571428572
1907,1298.3828571428571
1908,1327.2342857142858
1909,1343.464705882353
1910,1436.1457142857141
1911,1259.9142857142858
1912,1336.3057142857142
1913,1285.9514285714286
1914,1467.217142857143
1915,1348.0400000000002
1916,1581.0834454233927
1917,1671.5689655640028
1918,1263.5714285714287
1919,1493.927777777778
1920,1293.1945659390271
1921,1484.0531073108507
1922,1498.6305555555557
1923,1425.0220973185576
1924,1524.5787460431463
1925,1439.552777777778
1926,1477.052777777778
1927,1480.6584454233928
1928,1449.716541763002
1929,1449.2941856907196
1930,1414.5111111111112
1931,1564.3260492203895
1932,1450.3257155340975
1933,1666.736111111111
1934,1448.0694444444446
1935,1363.202777777778
1936,1564.6633808802826
1937,1463.1944444444446
1938,1555.2944444444445
1939,1331.6222222222223
1940,1451.1194444444445
1941,1298.4027777777778
1942,1490.5402634695001
1943,1496.636620334005
1944,1463.2628571428572
1945,1415.2028571428573
1946,1584.0742297151046
1947,1482.3169961997396
1948,1549.5885714285714
1949,1556.477519024053
1950,1406.9957695679898
1951,1314.8555555555556
1952,1324.3944444444444
1953,1453.5698531366295
1954,1468.4828571428573
1955,1563.5685714285714
1956,1612.82
1957,1395.739934700196
1958,1560.663888888889
1959,1648.2305555555556
1960,1413.8972222222224
1961,1717.0805555555555
1962,1478.8673761783102
1963,1476.4472222222223
1964,1494.1916666666666
1965,1188.7944444444445
1966,1284
1967,1367.1055555555556
1968,1304.9722222222222
1969,1372.6277777777777
1970,1530.8583333333333
1971,1477.1555555555556
1972,1146.502777777778
1973,1405.836111111111
1974,1315.5861111111112
1975,1550.3138888888889
1976,1345.05
1977,1507.5249999999999
1978,1488.9166666666667
1979,1217.5027777777777
1980,1436.913888888889
1981,1431.45
1982,1290.1333333333334
1983,1551.2583333333332
1984,1384.1805555555557
1985,1349.5277777777778
1986,1282.8055555555557
1987,1288.536111111111
1988,1605.4722222222224
1989,1347.8055555555557
1990,1614.3083333333334
1991,1400.2361111111113
1992,1325.1694444444445
1993,1430.9361111111111
1994,1506.8527777777779
1995,1501.05
1996,1400.1861111111111
1997,1416.1944444444443
1998,1526.775
1999,1388.05
2000,1305.044565939027
2001,1302.7194444444444
2002,1148.8472222222224
2003,1354.4194444444445
2004,1298.7083333333335
2005,1456.4111111111113
2006,1406.825
2007,1514.063888888889
2008,1367.3916666666667
2009,1190.3108145089855
2010,1468.2166666666667
2011,1392.95
2012,1296.181604775945
2013,1475.15
2014,1244.361111111111
2015,1280.5694444444446
2016,1273.7055555555555
2017,1357.4
