Month,Year,Rainfall
Jan,1901,35.22
Feb,1901,40.50857142857143
Mar,1901,21.097142857142856
Apr,1901,46.38857142857143
May,1901,70.43428571428572
Jun,1901,194.60857142857142
Jul,1901,291.2085714285714
Aug,1901,301.3257142857143
Sep,1901,134.15428571428572
Oct,1901,73.69714285714285
Nov,1901,64.75714285714285
Dec,1901,10.808571428571426
Jan,1902,8.52
Feb,1902,8.305714285714284
Mar,1902,20.95142857142857
Apr,1902,45.77142857142857
May,1902,72.03999999999999
Jun,1902,168.82
Jul,1902,351.1457142857143
Aug,1902,239.8
Sep,1902,258.6114285714286
Oct,1902,86.71428571428572
Nov,1902,43.45714285714286
Dec,1902,33.15142857142857
Jan,1903,16.85142857142857
Feb,1903,14.342857142857142
Mar,1903,26.577142857142857
Apr,1903,16.974285714285713
May,1903,80.23714285714286
Jun,1903,171.98857142857142
Jul,1903,362.1085714285714
Aug,1903,299.48285714285714
Sep,1903,216.62
Oct,1903,125.34571428571428
Nov,1903,48.26544813902573
Dec,1903,22.215281644379083
Jan,1904,11.697142857142858
Feb,1904,9.391428571428571
Mar,1904,28.88
Apr,1904,41.40285714285714
May,1904,92.4542857142857
Jun,1904,237.4857142857143
Jul,1904,311.9714285714286
Aug,1904,217.01428571428573
Sep,1904,167.40285714285716
Oct,1904,84.55142857142857
Nov,1904,19.757142857142856
Dec,1904,14.771428571428572
Jan,1905,23.2
Feb,1905,20.47714285714286
Mar,1905,40.940000000000005
Apr,1905,34.754285714285714
May,1905,76.43714285714286
Jun,1905,164.8057142857143
Jul,1905,288.3142857142857
Aug,1905,246.78
Sep,1905,179.26
Oct,1905,78.16857142857141
Nov,1905,16.025714285714287
Dec,1905,17.005714285714287
Jan,1906,21.2
Feb,1906,45.83428571428571
Mar,1906,26.671428571428567
Apr,1906,16.21142857142857
May,1906,64.01142857142858
Jun,1906,234.05714285714285
Jul,1906,345.5657142857143
Aug,1906,289.95428571428573
Sep,1906,179
Oct,1906,72.14285714285715
Nov,1906,25.402857142857144
Dec,1906,27.951428571428572
Jan,1907,19.545714285714286
Feb,1907,39.51714285714286
Mar,1907,40.60857142857143
Apr,1907,66.58857142857143
May,1907,53.82571428571429
Jun,1907,207.61714285714285
Jul,1907,302.93142857142857
Aug,1907,338.3885714285714
Sep,1907,117.51142857142857
Oct,1907,41.16285714285714
Nov,1907,50.32857142857142
Dec,1907,20.357142857142854
Jan,1908,19.465714285714284
Feb,1908,19.434285714285714
Mar,1908,7.66
Apr,1908,37.25714285714285
May,1908,72.61142857142858
Jun,1908,190.37142857142857
Jul,1908,394.93142857142857
Aug,1908,326.7628571428572
Sep,1908,176.58
Oct,1908,52.85714285714286
Nov,1908,16.034285714285712
Dec,1908,13.26857142857143
Jan,1909,24.391176470588235
Feb,1909,13.450000000000001
Mar,1909,7.3999999999999995
Apr,1909,65.16470588235293
May,1909,69.27941176470588
Jun,1909,270.1794117647059
Jul,1909,356.40588235294115
Aug,1909,263.46176470588233
Sep,1909,176.65588235294118
Oct,1909,54
Nov,1909,15.197058823529412
Dec,1909,27.879411764705882
Jan,1910,12.531428571428572
Feb,1910,9.971428571428572
Mar,1910,19.66857142857143
Apr,1910,31.331428571428575
May,1910,58.53714285714286
Jun,1910,281.1771428571429
Jul,1910,287.3342857142857
Aug,1910,318.0542857142857
Sep,1910,226.52857142857144
Oct,1910,132.05142857142857
Nov,1910,50.52857142857144
Dec,1910,8.431428571428572
Jan,1911,38.82857142857143
Feb,1911,4.205714285714285
Mar,1911,44.354285714285716
Apr,1911,27.517142857142858
May,1911,69.72571428571429
Jun,1911,258.1457142857143
Jul,1911,222.70857142857145
Aug,1911,232.73142857142858
Sep,1911,190.37714285714284
Oct,1911,97.79428571428572
Nov,1911,50.97142857142857
Dec,1911,22.55428571428571
Jan,1912,32.86
Feb,1912,20.03142857142857
Mar,1912,20.89428571428571
Apr,1912,46.32285714285714
May,1912,60.682857142857145
Jun,1912,182.42285714285714
Jul,1912,387.03714285714284
Aug,1912,293.9742857142857
Sep,1912,138.73714285714286
Oct,1912,85.97428571428571
Nov,1912,60.50857142857143
Dec,1912,6.859999999999999
Jan,1913,8.614285714285714
Feb,1913,36.52571428571429
Mar,1913,25.46571428571429
Apr,1913,27.225714285714282
May,1913,93.66
Jun,1913,280.38
Jul,1913,324.7285714285714
Aug,1913,210.93142857142857
Sep,1913,134.56285714285713
Oct,1913,94.96285714285715
Nov,1913,22.880000000000003
Dec,1913,26.014285714285712
Jan,1914,3.5371428571428574
Feb,1914,26.271428571428572
Mar,1914,25.8
Apr,1914,45.78857142857143
May,1914,84.30571428571429
Jun,1914,213.17142857142858
Jul,1914,418.8142857142857
Aug,1914,293.7
Sep,1914,219.59428571428572
Oct,1914,67.16285714285715
Nov,1914,32.519999999999996
Dec,1914,36.55142857142857
Jan,1915,19.02285714285714
Feb,1915,35.66571428571429
Mar,1915,45.214285714285715
Apr,1915,38.794285714285714
May,1915,82.20571428571428
Jun,1915,210.7257142857143
Jul,1915,283.4142857142857
Aug,1915,246.58857142857144
Sep,1915,202.72857142857143
Oct,1915,106.62285714285714
Nov,1915,58.959999999999994
Dec,1915,18.097142857142856
Jan,1916,4.066666666666668
Feb,1916,17.677777777777777
Mar,1916,11.388888888888888
Apr,1916,40.77222222222222
May,1916,84.10000000000001
Jun,1916,304.10277777777776
Jul,1916,321.80454944178626
Aug,1916,325.125
Sep,1916,249.675
Oct,1916,158.11429758107388
Nov,1916,57.430296801830565
Dec,1916,6.8259682653685525
Jan,1917,6.728826998167184
Feb,1917,39.06666666666667
Mar,1917,24.491416859337214
Apr,1917,44.59949199139374
May,1917,84.82906973656257
Jun,1917,285.4735473457676
Jul,1917,326.7795494417863
Aug,1917,320.1961710096422
Sep,1917,308.95866286640626
Oct,1917,178.68096424774058
Nov,1917,37.12474124627501
Dec,1917,14.63985715425744
Jan,1918,13.654285714285715
Feb,1918,3.6914285714285713
Mar,1918,36.77142857142857
Apr,1918,40.93714285714285
May,1918,164.90285714285713
Jun,1918,265.7371428571429
Jul,1918,217.27428571428572
Aug,1918,283.71999999999997
Sep,1918,128.9542857142857
