Month,Year,Rainfall
JAN,1901,49.2
FEB,1901,87.1
MAR,1901,29.2
APR,1901,2.3
MAY,1901,528.8
JUN,1901,517.5
JUL,1901,365.1
AUG,1901,481.1
SEP,1901,332.6
OCT,1901,388.5
NOV,1901,558.2
DEC,1901,33.6
JAN,1902,0
FEB,1902,159.8
MAR,1902,12.2
APR,1902,0
MAY,1902,446.1
JUN,1902,537.1
JUL,1902,228.9
AUG,1902,753.7
SEP,1902,666.2
OCT,1902,197.2
NOV,1902,359
DEC,1902,160.5
JAN,1903,12.7
FEB,1903,144
MAR,1903,0
APR,1903,1
MAY,1903,235.1
JUN,1903,479.9
JUL,1903,728.4
AUG,1903,326.7
SEP,1903,339
OCT,1903,181.2
NOV,1903,284.4
DEC,1903,225
JAN,1904,9.4
FEB,1904,14.7
MAR,1904,0
APR,1904,202.4
MAY,1904,304.5
JUN,1904,495.1
JUL,1904,502
AUG,1904,160.1
SEP,1904,820.4
OCT,1904,222.2
NOV,1904,308.7
DEC,1904,40.1
JAN,1905,1.3
FEB,1905,0
MAR,1905,3.3
APR,1905,26.9
MAY,1905,279.5
JUN,1905,628.7
JUL,1905,368.7
AUG,1905,330.5
SEP,1905,297
OCT,1905,260.7
NOV,1905,25.4
DEC,1905,344.7
JAN,1906,36.6
FEB,1906,0
MAR,1906,0
APR,1906,0
MAY,1906,556.1
JUN,1906,733.3
JUL,1906,247.7
AUG,1906,320.5
SEP,1906,164.3
OCT,1906,267.8
NOV,1906,128.9
DEC,1906,79.2
JAN,1907,110.7
FEB,1907,0
MAR,1907,113.3
APR,1907,21.6
MAY,1907,616.3
JUN,1907,305.2
JUL,1907,443.9
AUG,1907,377.6
SEP,1907,200.4
OCT,1907,264.4
NOV,1907,648.9
DEC,1907,245.6
JAN,1908,20.9
FEB,1908,85.1
MAR,1908,0
APR,1908,29
MAY,1908,562
JUN,1908,693.6
JUL,1908,481.4
AUG,1908,699.9
SEP,1908,428.8
OCT,1908,170.7
NOV,1908,208.1
DEC,1908,196.9
JAN,1910,26.6
FEB,1910,22.7
MAR,1910,206.3
APR,1910,89.3
MAY,1910,224.5
JUN,1910,472.7
JUL,1910,264.3
AUG,1910,337.4
SEP,1910,626.6
OCT,1910,208.2
NOV,1910,267.3
DEC,1910,153.5
JAN,1911,0
FEB,1911,8.4
MAR,1911,0
APR,1911,122.5
MAY,1911,327.3
JUN,1911,649
JUL,1911,253
AUG,1911,187.1
SEP,1911,464.5
OCT,1911,333.8
NOV,1911,94.5
DEC,1911,247.1
JAN,1912,583.7
FEB,1912,0.8
MAR,1912,0
APR,1912,21.9
MAY,1912,140.7
JUN,1912,549.8
JUL,1912,468.9
AUG,1912,370.3
SEP,1912,386.2
OCT,1912,318.7
NOV,1912,117.2
DEC,1912,2.3
JAN,1913,84.8
FEB,1913,0.5
MAR,1913,1.3
APR,1913,2.5
MAY,1913,190.7
JUN,1913,530
JUL,1913,280.8
AUG,1913,205.8
SEP,1913,580.1
OCT,1913,288.8
NOV,1913,133
DEC,1913,67.5
JAN,1914,0
FEB,1914,0
MAR,1914,0
APR,1914,37.7
MAY,1914,298.8
JUN,1914,383.3
JUL,1914,792.8
AUG,1914,520.5
SEP,1914,310.8
OCT,1914,139.8
NOV,1914,184.4
DEC,1914,289.7
JAN,1915,45
FEB,1915,56.7
MAR,1915,33.3
APR,1915,40.9
MAY,1915,170.2
JUN,1915,334.7
JUL,1915,269
AUG,1915,317.2
SEP,1915,429.8
OCT,1915,468.1
NOV,1915,258.4
DEC,1915,318
JAN,1916,0
FEB,1916,0
MAR,1916,0
APR,1916,0.5
MAY,1916,487.4
JUN,1916,450.1
JUL,1916,317.3
AUG,1916,425
SEP,1916,561.2
OCT,1916,369.7
NOV,1916,192.6
DEC,1916,133.7
JAN,1917,8
FEB,1917,3.6
MAR,1917,112
APR,1917,4.5
MAY,1917,295.9
JUN,1917,301.1
JUL,1917,394.8
AUG,1917,437.4
SEP,1917,471.8
OCT,1917,238.1
NOV,1917,108.3
DEC,1917,236.9
JAN,1918,77.4
FEB,1918,6.9
MAR,1918,11.4
APR,1918,10.7
MAY,1918,729.3
JUN,1918,710.8
JUL,1918,200.9
AUG,1918,455.4
SEP,1918,303.3
OCT,1918,227
NOV,1918,366.9
DEC,1918,175
JAN,1919,10.2
FEB,1919,18
MAR,1919,0
APR,1919,35.5
MAY,1919,283.9
JUN,1919,542.5
JUL,1919,246.5
AUG,1919,259.8
SEP,1919,170.7
OCT,1919,186.2
NOV,1919,340.4
DEC,1919,258.4
JAN,1920,122.3
FEB,1920,7.4
MAR,1920,3.1
APR,1920,13
