Month,Year,Rainfall
JAN,1916,48.1
FEB,1916,69.8
MAR,1916,71.1
APR,1916,316.1
MAY,1916,424.6
JUN,1916,1124.9
JUL,1916,347.0637799043057
AUG,1916,629.7
SEP,1916,333.9
OCT,1916,95.31471291866043
NOV,1916,39.49068486590035
DEC,1916,18.93485755326786
JAN,1917,21.4
FEB,1917,164.5
MAR,1917,27.39550346806984
APR,1917,269.6
MAY,1917,107.9
JUN,1917,823.8
JUL,1917,909.1
AUG,1917,628.4
SEP,1917,411.5
OCT,1917,199.3
NOV,1917,63.5
DEC,1917,0
JAN,1918,10.4
FEB,1918,11
MAR,1918,191.2
APR,1918,144.6
MAY,1918,861.1
JUN,1918,1609.9
JUL,1918,1303
AUG,1918,692.6
SEP,1918,515.8
OCT,1918,125.2
NOV,1918,7.8
DEC,1918,13.7
JAN,1919,34.5
FEB,1919,67.8
MAR,1919,28.5
APR,1919,256.9
MAY,1919,420.6
JUN,1919,973.6
JUL,1919,999
AUG,1919,286.7
SEP,1919,628.7
OCT,1919,948.3
NOV,1919,40.7
DEC,1919,8.6
JAN,1920,14
FEB,1920,196.3
MAR,1920,605.6
APR,1920,364.7
MAY,1920,173.6
JUN,1920,840.6
JUL,1920,535.4
AUG,1920,896.5
SEP,1920,376.7
OCT,1920,103.3
NOV,1920,0
DEC,1920,0
JAN,1921,78.9
FEB,1921,54.3
MAR,1921,180.3
APR,1921,358
MAY,1921,598
JUN,1921,1233.2
JUL,1921,1433
AUG,1921,885.9
SEP,1921,603.4
OCT,1921,246.3
NOV,1921,4.6
DEC,1921,15.5
JAN,1922,50.7
FEB,1922,59.4
MAR,1922,170.4
APR,1922,299.5
MAY,1922,350.5
JUN,1922,1109.3
JUL,1922,918.7
AUG,1922,488.3
SEP,1922,207.6
OCT,1922,483.5
NOV,1922,30.3
DEC,1922,19
JAN,1923,9.4
FEB,1923,160.8
MAR,1923,34
APR,1923,240.9
MAY,1923,445.4
JUN,1923,408.6
JUL,1923,1278.5
AUG,1923,251.3
SEP,1923,617.3
OCT,1923,50.1
NOV,1923,8.4
DEC,1923,2.8
JAN,1924,85.7
FEB,1924,45.1
MAR,1924,74.1
APR,1924,162.4
MAY,1924,515.7
JUN,1924,1165
JUL,1924,942.7
AUG,1924,713.8
SEP,1924,410.8
OCT,1924,303.3
NOV,1924,31.9
DEC,1924,0
JAN,1925,80.6
FEB,1925,114
MAR,1925,143.3
APR,1925,223
MAY,1925,587.2
JUN,1925,611.6
JUL,1925,611
AUG,1925,684.7
SEP,1925,1222
OCT,1925,153.2
NOV,1925,5.1
DEC,1925,4.1
JAN,1926,38.1
FEB,1926,40.8
MAR,1926,179.1
APR,1926,249.7
MAY,1926,248.1
JUN,1926,675.2
JUL,1926,978.7
AUG,1926,445.6
SEP,1926,286.9
OCT,1926,311.5
NOV,1926,18.6
DEC,1926,49.3
JAN,1927,48.3
FEB,1927,208.5
MAR,1927,88.1
APR,1927,384
MAY,1927,164
JUN,1927,1045.4
JUL,1927,923.2
AUG,1927,727.8
SEP,1927,1108.9
OCT,1927,537.2
NOV,1927,17.8
DEC,1927,0
JAN,1928,48.9
FEB,1928,39.7
MAR,1928,118.2
APR,1928,123.4
MAY,1928,431.9
JUN,1928,1168.3
JUL,1928,993.6
AUG,1928,981.2
SEP,1928,706.1
OCT,1928,633.5
NOV,1928,25.6
DEC,1928,2.3
JAN,1929,144.8
FEB,1929,59.2
MAR,1929,124.3
APR,1929,492.3
MAY,1929,615.8
JUN,1929,853
JUL,1929,614.4
AUG,1929,670
SEP,1929,384.3
OCT,1929,188
NOV,1929,64.5
DEC,1929,109.5
JAN,1930,64.4
FEB,1930,84.3
MAR,1930,202.5
APR,1930,565.4
MAY,1930,148.9
JUN,1930,720.9
JUL,1930,376.2
AUG,1930,1055.5
SEP,1930,637
OCT,1930,361.1
NOV,1930,93.2
DEC,1930,24.9
JAN,1931,61.3
FEB,1931,189.7
MAR,1931,231.6
APR,1931,502.7
MAY,1931,277.7
JUN,1931,1149.4
JUL,1931,1399.9
AUG,1931,337.7
SEP,1931,480.7
OCT,1931,157.4
NOV,1931,37.8
DEC,1931,46.2
JAN,1932,70.2
FEB,1932,110.3
MAR,1932,105.5
APR,1932,282.7
MAY,1932,661.6
JUN,1932,1065.2
JUL,1932,521.2
AUG,1932,907.8
SEP,1932,682.9
OCT,1932,152.2
NOV,1932,231.4
DEC,1932,59.9
JAN,1933,56
FEB,1933,59.4
MAR,1933,101.6
APR,1933,267.9
MAY,1933,435.3
JUN,1933,782.1
JUL,1933,743.2
AUG,1933,685.2
SEP,1933,376.1
OCT,1933,217.9
NOV,1933,40.6
DEC,1933,8.1
JAN,1934,84.9
FEB,1934,88.3
MAR,1934,128.3
APR,1934,595.1
MAY,1934,454.5
JUN,1934,1024.6
JUL,1934,935.9
AUG,1934,640.9
SEP,1934,382.6
OCT,1934,141.6
NOV,1934,77
DEC,1934,21.9
JAN,1935,18.1
FEB,1935,143.6
MAR,1935,169.7
APR,1935,211.2
MAY,1935,299.9
JUN,1935,1147.1
JUL,1935,489.9
AUG,1935,968.8
SEP,1935,631.6
OCT,1935,21.8
NOV,1935,44.4
DEC,1935,27.4
JAN,1936,105.9
FEB,1936,175.2
MAR,1936,151.7
