Month,Year,Rainfall
JAN,1901,27.1
FEB,1901,19.5
MAR,1901,30.6
APR,1901,223
MAY,1901,207
JUN,1901,524.9
JUL,1901,430.6
AUG,1901,464.1
SEP,1901,291.4
OCT,1901,163.7
NOV,1901,115.6
DEC,1901,1.2
JAN,1902,9.3
FEB,1902,10.2
MAR,1902,105.6
APR,1902,350
MAY,1902,262.1
JUN,1902,620.7
JUL,1902,510.8
AUG,1902,536
SEP,1902,441.3
OCT,1902,97
NOV,1902,7.8
DEC,1902,1.3
JAN,1903,19.9
FEB,1903,25.4
MAR,1903,103.6
APR,1903,140.6
MAY,1903,206.6
JUN,1903,607.4
JUL,1903,362.7
AUG,1903,551.9
SEP,1903,306.4
OCT,1903,159.5
NOV,1903,59.3
DEC,1903,1.3
JAN,1904,11.1
FEB,1904,56.1
MAR,1904,51.9
APR,1904,457.1
MAY,1904,375.2
JUN,1904,385.7
JUL,1904,477.6
AUG,1904,438.8
SEP,1904,245.9
OCT,1904,115.9
NOV,1904,46.4
DEC,1904,2.5
JAN,1905,19.9
FEB,1905,16.9
MAR,1905,137.9
APR,1905,213
MAY,1905,275.5
JUN,1905,521.7
JUL,1905,439.1
AUG,1905,649.1
SEP,1905,276
OCT,1905,200
NOV,1905,16.8
DEC,1905,24.8
JAN,1906,9.7
FEB,1906,59.2
MAR,1906,88.4
APR,1906,263.5
MAY,1906,271.3
JUN,1906,388.4
JUL,1906,541.8
AUG,1906,585.9
SEP,1906,264.2
OCT,1906,165.7
NOV,1906,24.9
DEC,1906,0.2
JAN,1907,55.8
FEB,1907,37.2
MAR,1907,109.7
APR,1907,254.8
MAY,1907,213.7
JUN,1907,509.8
JUL,1907,578.9
AUG,1907,304.2
SEP,1907,401
OCT,1907,37.6
NOV,1907,4.8
DEC,1907,13.8
JAN,1908,16.2
FEB,1908,25.1
MAR,1908,20.7
APR,1908,176.6
MAY,1908,332.7
JUN,1908,390.8
JUL,1908,477.2
AUG,1908,339.4
SEP,1908,403.4
OCT,1908,91.9
NOV,1908,3.8
DEC,1908,0
JAN,1909,19
FEB,1909,8.9
MAR,1909,4.4
APR,1909,195
MAY,1909,310.4
JUN,1909,639.4
JUL,1909,345
AUG,1909,445.2
SEP,1909,216.4
OCT,1909,162.4
NOV,1909,24.6
DEC,1909,6.3
JAN,1910,9.2
FEB,1910,32.1
MAR,1910,152.8
APR,1910,211.5
MAY,1910,274.6
JUN,1910,582.5
JUL,1910,738.3
AUG,1910,418.3
SEP,1910,247.8
OCT,1910,199.7
NOV,1910,16.2
DEC,1910,4.3
JAN,1911,74.2
FEB,1911,19
MAR,1911,93
APR,1911,234
MAY,1911,431.7
JUN,1911,534
JUL,1911,618.6
AUG,1911,417.1
SEP,1911,387.8
OCT,1911,257.4
NOV,1911,26.3
DEC,1911,3
JAN,1912,9
FEB,1912,57.8
MAR,1912,126.1
APR,1912,301
MAY,1912,250.2
JUN,1912,482.7
JUL,1912,567
AUG,1912,453.4
SEP,1912,236.8
OCT,1912,181.5
NOV,1912,68.4
DEC,1912,9.5
JAN,1913,11.9
FEB,1913,90.2
MAR,1913,118.4
APR,1913,334.2
MAY,1913,392.3
JUN,1913,458.6
JUL,1913,438
AUG,1913,354
SEP,1913,279.2
OCT,1913,227.7
NOV,1913,10.4
DEC,1913,45.6
JAN,1914,6.3
FEB,1914,79.1
MAR,1914,69.9
APR,1914,219.6
MAY,1914,317.9
JUN,1914,403.9
JUL,1914,396.4
AUG,1914,472.9
SEP,1914,292.3
OCT,1914,67.6
NOV,1914,10.6
DEC,1914,7.4
JAN,1915,9.3
FEB,1915,58.9
MAR,1915,74.4
APR,1915,201.9
MAY,1915,662.9
JUN,1915,509.1
JUL,1915,738.2
AUG,1915,529.1
SEP,1915,258.8
OCT,1915,108.2
NOV,1915,10
DEC,1915,4.4
JAN,1916,20
FEB,1916,28
MAR,1916,118.4
APR,1916,227.9
MAY,1916,340.6
JUN,1916,367.3
JUL,1916,475.3
AUG,1916,430.7
SEP,1916,308.8
OCT,1916,244.9
NOV,1916,32.8
DEC,1916,6.3
JAN,1917,12.8
FEB,1917,91.6
MAR,1917,38.7
APR,1917,168.8
MAY,1917,206.2
JUN,1917,584.7
JUL,1917,472.8
AUG,1917,346.3
SEP,1917,313.7
OCT,1917,236.6
NOV,1917,46.4
DEC,1917,1.4
JAN,1918,4.6
FEB,1918,16.1
MAR,1918,125.5
APR,1918,152.2
MAY,1918,287.4
JUN,1918,659.4
JUL,1918,805
AUG,1918,604.8
SEP,1918,373.2
OCT,1918,70.7
NOV,1918,6.8
DEC,1918,1.1
JAN,1919,13.1
FEB,1919,12.4
MAR,1919,22.6
APR,1919,162.1
MAY,1919,266.9
JUN,1919,485.5
JUL,1919,459
AUG,1919,249.1
SEP,1919,441.6
OCT,1919,185.7
NOV,1919,42.5
DEC,1919,3.6
JAN,1920,4.8
FEB,1920,51
MAR,1920,228.1
APR,1920,184.8
MAY,1920,282.7
JUN,1920,523.8
JUL,1920,309.8
AUG,1920,521.5
SEP,1920,382.6
OCT,1920,129.5
NOV,1920,3.3
DEC,1920,1.8
JAN,1921,35.1
FEB,1921,20.3
MAR,1921,134.1
APR,1921,324.6
MAY,1921,414.8
JUN,1921,604.9
JUL,1921,542.2
AUG,1921,429.4
SEP,1921,333.2
OCT,1921,142.1
NOV,1921,8.5
DEC,1921,10.3
JAN,1922,16.6
FEB,1922,4.9
MAR,1922,77.8
APR,1922,168.7
MAY,1922,233.1
JUN,1922,548.9
JUL,1922,418.4
AUG,1922,379.4
SEP,1922,265.6
OCT,1922,129.9
NOV,1922,9.3
DEC,1922,9.4
JAN,1923,0.4
FEB,1923,59.6
MAR,1923,17.1
APR,1923,258.1
MAY,1923,397.8
JUN,1923,588.6
JUL,1923,375.4
AUG,1923,267.2
SEP,1923,360.9
OCT,1923,98.2
NOV,1923,11.2
DEC,1923,5.9
JAN,1924,10.6
FEB,1924,22.7
MAR,1924,20
APR,1924,221.9
MAY,1924,299.4
JUN,1924,473.9
JUL,1924,609
AUG,1924,434
SEP,1924,346
OCT,1924,127
NOV,1924,126.9
DEC,1924,0.2
JAN,1925,26.4
FEB,1925,21.5
MAR,1925,53.8
APR,1925,278.3
MAY,1925,602.2
JUN,1925,330.8
JUL,1925,411.1
AUG,1925,400.7
SEP,1925,322.3
OCT,1925,89.5
NOV,1925,13.7
DEC,1925,0.2
JAN,1926,23.4
FEB,1926,23.2
MAR,1926,156.9
APR,1926,140.8
MAY,1926,253.9
JUN,1926,559.3
JUL,1926,576.5
AUG,1926,354.7
SEP,1926,189.2
OCT,1926,193.7
NOV,1926,6.4
DEC,1926,33.6
JAN,1927,33.8
FEB,1927,60.5
MAR,1927,66
APR,1927,265.2
MAY,1927,238.4
JUN,1927,573.9
JUL,1927,447.7
AUG,1927,366.4
SEP,1927,549.8
OCT,1927,161.2
NOV,1927,29.8
DEC,1927,0.2
JAN,1928,8.3
FEB,1928,21.1
MAR,1928,61
APR,1928,138.9
MAY,1928,446.5
JUN,1928,420.6
JUL,1928,428.1
AUG,1928,448.2
SEP,1928,343.5
OCT,1928,294.8
NOV,1928,21.6
DEC,1928,1.5
JAN,1929,83.9
FEB,1929,3.8
MAR,1929,84.1
APR,1929,321.7
MAY,1929,570.2
JUN,1929,643.4
JUL,1929,385
AUG,1929,333.2
SEP,1929,292.8
OCT,1929,196
NOV,1929,17.6
DEC,1929,22.1
JAN,1930,18
FEB,1930,41
MAR,1930,99.8
APR,1930,199.4
MAY,1930,209.8
JUN,1930,686.9
JUL,1930,287.8
AUG,1930,438.5
SEP,1930,299.1
OCT,1930,149.9
NOV,1930,114.4
DEC,1930,6.2
JAN,1931,7.6
FEB,1931,29.2
MAR,1931,47.6
APR,1931,294.7
MAY,1931,374
JUN,1931,605.6
JUL,1931,654.6
AUG,1931,282
SEP,1931,330.2
OCT,1931,136.7
NOV,1931,21.6
DEC,1931,16.3
JAN,1932,14.9
FEB,1932,36.7
MAR,1932,59.1
APR,1932,163.2
MAY,1932,488.6
JUN,1932,628.5
