Month,Year,Rainfall
JAN,1901,51.8
FEB,1901,19.6
MAR,1901,11.9
APR,1901,1.1
MAY,1901,65.6
JUN,1901,66.3
JUL,1901,245.9
AUG,1901,319.4
SEP,1901,155.1
OCT,1901,8.3
NOV,1901,7.3
DEC,1901,0.1
JAN,1902,4.6
FEB,1902,0.7
MAR,1902,24.3
APR,1902,17.3
MAY,1902,66.3
JUN,1902,118.2
JUL,1902,361
AUG,1902,225.5
SEP,1902,358.7
OCT,1902,28.5
NOV,1902,1.1
DEC,1902,0
JAN,1903,5.3
FEB,1903,4.7
MAR,1903,2
APR,1903,4.7
MAY,1903,28.2
JUN,1903,192.9
JUL,1903,115
AUG,1903,342.6
SEP,1903,173.9
OCT,1903,147
NOV,1903,0.1
DEC,1903,0
JAN,1904,6.3
FEB,1904,1.7
MAR,1904,3.5
APR,1904,5.3
MAY,1904,118.7
JUN,1904,191.6
JUL,1904,394.4
AUG,1904,351.3
SEP,1904,84.4
OCT,1904,98.1
NOV,1904,10.6
DEC,1904,3.8
JAN,1905,16
FEB,1905,30.1
MAR,1905,32.6
APR,1905,21.4
MAY,1905,77.5
JUN,1905,50.5
JUL,1905,409.1
AUG,1905,495.3
SEP,1905,353.9
OCT,1905,11.6
NOV,1905,0
DEC,1905,0.6
JAN,1906,14.4
FEB,1906,56.9
MAR,1906,8.6
APR,1906,0.9
MAY,1906,44.7
JUN,1906,191.3
JUL,1906,366.2
AUG,1906,430.1
SEP,1906,118.7
OCT,1906,32.9
NOV,1906,0.4
DEC,1906,0
JAN,1907,1.3
FEB,1907,55.2
MAR,1907,39.4
APR,1907,27
MAY,1907,32.9
JUN,1907,232.2
JUL,1907,282.4
AUG,1907,242.2
SEP,1907,206.9
OCT,1907,4.8
NOV,1907,0
DEC,1907,2.1
JAN,1908,14.7
FEB,1908,38.6
MAR,1908,6.1
APR,1908,2.2
MAY,1908,36.7
JUN,1908,94
JUL,1908,202.3
AUG,1908,167.3
SEP,1908,149.9
OCT,1908,25.4
NOV,1908,0
DEC,1908,0.3
JAN,1909,7
FEB,1909,6.3
MAR,1909,0
APR,1909,72.8
MAY,1909,25.8
JUN,1909,446
JUL,1909,256.2
AUG,1909,352.4
SEP,1909,175.4
OCT,1909,43.1
NOV,1909,0
DEC,1909,5.6
JAN,1910,2.4
FEB,1910,4.8
MAR,1910,6.6
APR,1910,5.7
MAY,1910,51.5
JUN,1910,279.5
JUL,1910,365.1
AUG,1910,328.8
SEP,1910,258.5
OCT,1910,73.8
NOV,1910,21.7
DEC,1910,0
JAN,1911,9.4
FEB,1911,0.1
MAR,1911,28.2
APR,1911,13.1
MAY,1911,41.7
JUN,1911,312.3
JUL,1911,199
AUG,1911,425.5
SEP,1911,279.1
OCT,1911,122.8
NOV,1911,17.8
DEC,1911,0
JAN,1912,5.5
FEB,1912,8.5
MAR,1912,23.9
APR,1912,25.4
MAY,1912,62.7
JUN,1912,146.8
JUL,1912,362.4
AUG,1912,302.9
SEP,1912,104.7
OCT,1912,14
NOV,1912,72.6
DEC,1912,0
JAN,1913,0
FEB,1913,38
MAR,1913,18.1
APR,1913,1.4
MAY,1913,106.1
JUN,1913,379.9
JUL,1913,258.8
AUG,1913,363
SEP,1913,270.3
OCT,1913,61
NOV,1913,0.5
DEC,1913,32.8
JAN,1914,0.2
FEB,1914,22.7
MAR,1914,8
APR,1914,29
MAY,1914,77
JUN,1914,84.4
JUL,1914,269.1
AUG,1914,460.4
SEP,1914,98.4
OCT,1914,10.1
NOV,1914,0
DEC,1914,0.6
JAN,1915,8.2
FEB,1915,57.1
MAR,1915,22.5
APR,1915,6.4
MAY,1915,72.5
JUN,1915,149.1
JUL,1915,321.3
AUG,1915,415
SEP,1915,185.1
OCT,1915,75.3
NOV,1915,36.7
DEC,1915,0.3
JAN,1916,0.6
FEB,1916,16.5
MAR,1916,0.3
APR,1916,25.3
MAY,1916,25.1
JUN,1916,270.3
JUL,1916,445.6
AUG,1916,325.2
SEP,1916,265.2
OCT,1916,130.1
NOV,1916,0.4
DEC,1916,0
JAN,1917,2.7
FEB,1917,19.7
MAR,1917,7.9
APR,1917,5.8
MAY,1917,103.3
JUN,1917,227.8
JUL,1917,328.7
AUG,1917,249.3
SEP,1917,272.1
OCT,1917,116.5
NOV,1917,0
DEC,1917,0.2
JAN,1918,0.6
FEB,1918,0.1
MAR,1918,1.8
APR,1918,29.5
MAY,1918,105.4
JUN,1918,251.6
JUL,1918,240.3
AUG,1918,519.2
SEP,1918,254.4
OCT,1918,8.6
NOV,1918,0.1
DEC,1918,0
JAN,1919,40.2
FEB,1919,7.7
MAR,1919,3.8
APR,1919,11.6
MAY,1919,42.3
JUN,1919,195
JUL,1919,417.8
AUG,1919,230.1
SEP,1919,244.8
OCT,1919,58.6
NOV,1919,0
DEC,1919,0.7
JAN,1920,0
FEB,1920,19.2
MAR,1920,31
APR,1920,2.6
MAY,1920,28.8
JUN,1920,108.9
JUL,1920,361.6
AUG,1920,228.5
SEP,1920,337.6
OCT,1920,5.6
NOV,1920,0
DEC,1920,0
JAN,1921,26.8
FEB,1921,0.6
MAR,1921,6.5
APR,1921,21.2
MAY,1921,26.3
JUN,1921,132.4
JUL,1921,303.8
AUG,1921,422
SEP,1921,295.8
OCT,1921,37
NOV,1921,0
DEC,1921,0
JAN,1922,12.2
FEB,1922,4.6
MAR,1922,0
APR,1922,9.6
MAY,1922,22
JUN,1922,345.8
JUL,1922,427.3
AUG,1922,363.5
SEP,1922,241.3
OCT,1922,15.7
NOV,1922,0.7
DEC,1922,6.5
JAN,1923,1.3
FEB,1923,35.1
MAR,1923,1.5
APR,1923,13.5
MAY,1923,38.1
JUN,1923,171.7
JUL,1923,253.9
AUG,1923,243.2
SEP,1923,148.9
OCT,1923,74.4
NOV,1923,0.7
DEC,1923,0.4
JAN,1924,2.5
FEB,1924,12.7
MAR,1924,1.8
APR,1924,8.8
MAY,1924,14.8
JUN,1924,170.6
JUL,1924,514
AUG,1924,295.7
SEP,1924,320.3
OCT,1924,53.1
NOV,1924,61.7
DEC,1924,0.2
JAN,1925,7.7
FEB,1925,1.8
MAR,1925,7.7
APR,1925,52.9
MAY,1925,38.6
JUN,1925,130.4
JUL,1925,322.9
AUG,1925,331.5
SEP,1925,269.4
OCT,1925,17.6
NOV,1925,11
DEC,1925,0
JAN,1926,16.3
FEB,1926,0.6
MAR,1926,29.7
APR,1926,12.8
MAY,1926,47
JUN,1926,48.1
JUL,1926,451.5
AUG,1926,276
SEP,1926,211.6
OCT,1926,17.6
NOV,1926,1.8
DEC,1926,8.7
JAN,1927,24.2
FEB,1927,36.4
MAR,1927,31.9
APR,1927,3.1
MAY,1927,52.9
JUN,1927,115.9
JUL,1927,301.5
AUG,1927,242.7
SEP,1927,231.4
OCT,1927,21.5
NOV,1927,38.6
DEC,1927,0.2
JAN,1928,41.2
FEB,1928,21.5
MAR,1928,0.1
APR,1928,18.3
MAY,1928,54.3
JUN,1928,208
JUL,1928,377.2
AUG,1928,272.9
SEP,1928,83.3
OCT,1928,164.3
NOV,1928,0.9
DEC,1928,7.6
JAN,1929,51.6
FEB,1929,1.1
MAR,1929,11.4
APR,1929,16.2
MAY,1929,33.1
JUN,1929,190.2
JUL,1929,328.8
AUG,1929,326.3
SEP,1929,124.7
OCT,1929,231.4
NOV,1929,0
DEC,1929,44.4
JAN,1930,11.6
FEB,1930,7.6
MAR,1930,13.6
APR,1930,6.6
MAY,1930,28.6
JUN,1930,144.6
JUL,1930,298.2
AUG,1930,247.8
SEP,1930,290.9
OCT,1930,30.4
NOV,1930,24
DEC,1930,10.4
JAN,1931,1.3
FEB,1931,32.4
MAR,1931,11.4
APR,1931,1.6
MAY,1931,27.5
JUN,1931,75.9
JUL,1931,441.3
AUG,1931,218.8
SEP,1931,248.2
OCT,1931,76.1
NOV,1931,11.2
DEC,1931,0.7
JAN,1932,0
FEB,1932,8.2
MAR,1932,0.5
APR,1932,14.8
MAY,1932,26.6
JUN,1932,152.1
JUL,1932,164.3
AUG,1932,249.3
SEP,1932,191.2
OCT,1932,32.4
NOV,1932,78.7
DEC,1932,8.9
JAN,1933,28.3
FEB,1933,13.1
MAR,1933,0.7
APR,1933,62.1
MAY,1933,90.3
JUN,1933,197
JUL,1933,377.3
AUG,1933,377.8
SEP,1933,167.8
OCT,1933,77.6
NOV,1933,0.3
DEC,1933,0.3
JAN,1934,30.1
FEB,1934,13.7
MAR,1934,3
APR,1934,9.1
MAY,1934,22
JUN,1934,165.5
JUL,1934,432.6
AUG,1934,251.3
SEP,1934,231.2
OCT,1934,55.2
NOV,1934,9.8
DEC,1934,2.8
JAN,1935,21
FEB,1935,19.6
MAR,1935,0.6
APR,1935,0.7
MAY,1935,21.9
JUN,1935,127.9
JUL,1935,193.8
AUG,1935,481.7
SEP,1935,370.3
OCT,1935,2.6
NOV,1935,0.1
DEC,1935,0.1
JAN,1936,7.7
FEB,1936,6.9
MAR,1936,4.6
APR,1936,7.7
MAY,1936,84.3
JUN,1936,188.9
JUL,1936,462.2
AUG,1936,261.5
SEP,1936,449.2
OCT,1936,88.8
NOV,1936,0.4
DEC,1936,10.3
JAN,1937,0
FEB,1937,66.3
MAR,1937,0.8
APR,1937,10.7
MAY,1937,80
JUN,1937,113.6
JUL,1937,217.9
AUG,1937,441.8
SEP,1937,179.3
OCT,1937,194.6
NOV,1937,0.3
DEC,1937,1.1
JAN,1938,12.4
FEB,1938,17
MAR,1938,0
APR,1938,2.9
MAY,1938,115.5
JUN,1938,382.4
JUL,1938,362.1
AUG,1938,385.1
SEP,1938,201.4
OCT,1938,27.1
NOV,1938,0.8
DEC,1938,0
JAN,1939,5
FEB,1939,42.3
MAR,1939,11.3
APR,1939,1.7
MAY,1939,41.5
JUN,1939,230.4
JUL,1939,315
AUG,1939,277.1
SEP,1939,262
OCT,1939,56.9
NOV,1939,0
DEC,1939,0
JAN,1940,0.9
FEB,1940,43.8
MAR,1940,65.5
APR,1940,5
MAY,1940,31.9
JUN,1940,114.6
JUL,1940,317.6
AUG,1940,314.9
SEP,1940,171.6
OCT,1940,4.9
NOV,1940,0
DEC,1940,17.5
JAN,1941,16.2
FEB,1941,2.8
MAR,1941,0.7
APR,1941,4.6
MAY,1941,67.1
JUN,1941,177.7
JUL,1941,248.8
AUG,1941,466
SEP,1941,190.2
OCT,1941,47.8
NOV,1941,1.1
DEC,1941,0
JAN,1942,34.4
FEB,1942,43.5
MAR,1942,14.7
APR,1942,18.2
MAY,1942,28.1
JUN,1942,174.7
JUL,1942,253.5
AUG,1942,330.4
SEP,1942,347.2
OCT,1942,7
NOV,1942,0
DEC,1942,0.9
JAN,1943,34.7
FEB,1943,16.9
MAR,1943,0.2
APR,1943,40.7
MAY,1943,37
JUN,1943,169.8
JUL,1943,296
AUG,1943,322.1
SEP,1943,215.4
OCT,1943,37
NOV,1943,0
DEC,1943,0
JAN,1944,27.3
FEB,1944,32.6
MAR,1944,42
APR,1944,34.1
MAY,1944,21.9
JUN,1944,223.9
JUL,1944,253.5
AUG,1944,322.8
SEP,1944,221.3
OCT,1944,48.5
NOV,1944,0.2
DEC,1944,0.8
JAN,1945,50.7
FEB,1945,24
MAR,1945,1.4
APR,1945,32.4
MAY,1945,57.8
JUN,1945,120.5
JUL,1945,226.9
AUG,1945,265.6
SEP,1945,305.5
OCT,1945,154.8
NOV,1945,0
DEC,1945,3.2
JAN,1946,0
FEB,1946,21.3
MAR,1946,5
APR,1946,52.3
MAY,1946,88.6
JUN,1946,168.7
JUL,1946,354.7
AUG,1946,267.8
SEP,1946,271.8
OCT,1946,148.7
NOV,1946,14.9
DEC,1946,0
JAN,1947,5.6
FEB,1947,5.6
MAR,1947,10.2
APR,1947,7.5
MAY,1947,57.7
JUN,1947,89.4
JUL,1947,394.4
AUG,1947,244.6
SEP,1947,215.3
OCT,1947,61.5
NOV,1947,0.1
DEC,1947,0.3
JAN,1948,11.1
FEB,1948,7.5
MAR,1948,3.6
APR,1948,11.3
MAY,1948,46.3
JUN,1948,114.6
JUL,1948,409
AUG,1948,329.8
SEP,1948,248.9
OCT,1948,81
NOV,1948,36.2
DEC,1948,0
JAN,1949,16.5
FEB,1949,42.8
MAR,1949,5.7
APR,1949,35.5
MAY,1949,93.1
JUN,1949,200.2
JUL,1949,341.7
AUG,1949,386.5
SEP,1949,217.9
OCT,1949,103.4
NOV,1949,1.1
DEC,1949,0
JAN,1950,9.8
FEB,1950,11.8
MAR,1950,22.1
APR,1950,2.2
MAY,1950,43.3
JUN,1950,346.5
JUL,1950,257
AUG,1950,313.3
SEP,1950,113.4
OCT,1950,3
NOV,1950,0.1
DEC,1950,2.1
JAN,1951,7.3
FEB,1951,1.5
MAR,1951,5.8
APR,1951,8.2
MAY,1951,22.8
JUN,1951,144.5
JUL,1951,307.8
AUG,1951,204.5
SEP,1951,114.3
OCT,1951,28.7
NOV,1951,4.7
DEC,1951,0.1
JAN,1952,1.1
FEB,1952,10.3
MAR,1952,20.1
APR,1952,24.6
MAY,1952,57
JUN,1952,272.5
JUL,1952,212.5
AUG,1952,291.9
SEP,1952,297.7
OCT,1952,15.4
NOV,1952,3.4
DEC,1952,0.4
JAN,1953,29.7
FEB,1953,4.2
MAR,1953,8.7
APR,1953,16.7
MAY,1953,37.4
JUN,1953,224.7
JUL,1953,431.8
AUG,1953,263.3
SEP,1953,342.2
OCT,1953,18.4
NOV,1953,0.9
DEC,1953,0.8
JAN,1954,12.5
FEB,1954,8.4
MAR,1954,0.8
APR,1954,0.6
MAY,1954,40.9
JUN,1954,166.6
JUL,1954,366.1
AUG,1954,308.6
SEP,1954,129.5
OCT,1954,15.1
NOV,1954,0.2
DEC,1954,1.3
JAN,1955,20
FEB,1955,6.7
MAR,1955,2.3
APR,1955,11.9
MAY,1955,28.2
JUN,1955,172.5
JUL,1955,505.7
AUG,1955,268.7
SEP,1955,192.2
OCT,1955,35.7
NOV,1955,0.3
DEC,1955,0.1
JAN,1956,19.3
FEB,1956,4.7
MAR,1956,9.6
APR,1956,5.3
MAY,1956,75.4
JUN,1956,319.4
JUL,1956,200.6
AUG,1956,286.3
SEP,1956,359.8
OCT,1956,168.8
NOV,1956,36
DEC,1956,8.1
JAN,1957,75.2
FEB,1957,2.8
MAR,1957,11.6
APR,1957,0.5
