Month,Year,Rainfall
JAN,1901,48.9
FEB,1901,116.5
MAR,1901,27.8
APR,1901,5.5
MAY,1901,18.4
JUN,1901,101.6
JUL,1901,381
AUG,1901,476.7
SEP,1901,182.8
OCT,1901,27.3
NOV,1901,0.4
DEC,1901,0
JAN,1902,0.6
FEB,1902,6.5
MAR,1902,0.4
APR,1902,13.9
MAY,1902,10.3
JUN,1902,37.2
JUL,1902,403.8
AUG,1902,236.6
SEP,1902,198.1
OCT,1902,4.7
NOV,1902,8.1
DEC,1902,3.7
JAN,1903,6.2
FEB,1903,13.9
MAR,1903,0.4
APR,1903,6.8
MAY,1903,51.1
JUN,1903,110.7
JUL,1903,365.9
AUG,1903,396
SEP,1903,212
OCT,1903,168
NOV,1903,0.1
DEC,1903,0
JAN,1904,0
FEB,1904,8.6
MAR,1904,32.3
APR,1904,0.2
MAY,1904,77.5
JUN,1904,369.5
JUL,1904,303.6
AUG,1904,483.6
SEP,1904,86.8
OCT,1904,129.3
NOV,1904,1
DEC,1904,0
JAN,1905,50.3
FEB,1905,22.6
MAR,1905,19
APR,1905,24.6
MAY,1905,31.8
JUN,1905,40.4
JUL,1905,443.7
AUG,1905,270.8
SEP,1905,338.8
OCT,1905,8.9
NOV,1905,0
DEC,1905,0
JAN,1906,25
FEB,1906,91
MAR,1906,52.5
APR,1906,0
MAY,1906,4.1
JUN,1906,210.1
JUL,1906,445.2
AUG,1906,258.3
SEP,1906,242.3
OCT,1906,41.2
NOV,1906,10.2
DEC,1906,14.7
JAN,1907,4
FEB,1907,40.2
MAR,1907,41.7
APR,1907,39.4
MAY,1907,4.5
JUN,1907,286.5
JUL,1907,233.6
AUG,1907,494.4
SEP,1907,141.8
OCT,1907,0.1
NOV,1907,7.3
DEC,1907,15.3
JAN,1908,8.4
FEB,1908,67.1
MAR,1908,6.3
APR,1908,1.5
MAY,1908,6.5
JUN,1908,182.4
JUL,1908,465.9
AUG,1908,590
SEP,1908,146.7
OCT,1908,12.9
NOV,1908,0
DEC,1908,1.1
JAN,1909,11.3
FEB,1909,5.8
MAR,1909,3.1
APR,1909,112.8
MAY,1909,6.1
JUN,1909,266.1
JUL,1909,473.9
AUG,1909,210.8
SEP,1909,142.8
OCT,1909,6.7
NOV,1909,0
DEC,1909,44.7
JAN,1910,9
FEB,1910,0.6
MAR,1910,3.7
APR,1910,21.5
MAY,1910,13.3
JUN,1910,246
JUL,1910,296.6
AUG,1910,441.4
SEP,1910,265.2
OCT,1910,92.6
NOV,1910,17.4
DEC,1910,0
JAN,1911,2.2
FEB,1911,0
MAR,1911,21.7
APR,1911,0.8
MAY,1911,9
JUN,1911,366.7
JUL,1911,215.7
AUG,1911,474.6
SEP,1911,244.6
OCT,1911,131.6
NOV,1911,37.4
DEC,1911,0
JAN,1912,3.1
FEB,1912,73.9
MAR,1912,1
APR,1912,22.6
MAY,1912,11.3
JUN,1912,62.3
JUL,1912,422.5
AUG,1912,411.9
SEP,1912,194
OCT,1912,13
NOV,1912,11.3
DEC,1912,0
JAN,1913,4.3
FEB,1913,85.4
MAR,1913,31.8
APR,1913,4.1
MAY,1913,35.8
JUN,1913,246
JUL,1913,374.4
AUG,1913,285.6
SEP,1913,122.2
OCT,1913,24.9
NOV,1913,6.2
DEC,1913,14
JAN,1914,0
FEB,1914,7.9
MAR,1914,21
APR,1914,38.6
MAY,1914,51.5
JUN,1914,186.1
JUL,1914,493.8
AUG,1914,373
SEP,1914,234.1
OCT,1914,5
NOV,1914,0.2
DEC,1914,6.8
JAN,1915,25
FEB,1915,42.4
MAR,1915,19.7
APR,1915,16.6
MAY,1915,21.2
JUN,1915,131.3
JUL,1915,364.6
AUG,1915,435.9
SEP,1915,251
OCT,1915,121
NOV,1915,27.2
DEC,1915,0
JAN,1916,0
FEB,1916,26.5
MAR,1916,2.1
APR,1916,6.9
MAY,1916,20.2
JUN,1916,325.5
JUL,1916,289.4
AUG,1916,374.6
SEP,1916,199.2
OCT,1916,178.4
NOV,1916,20.3
DEC,1916,0
JAN,1917,3.6
FEB,1917,63.7
MAR,1917,26.6
APR,1917,10.8
MAY,1917,44
JUN,1917,296.9
JUL,1917,374
AUG,1917,475.2
SEP,1917,287.8
OCT,1917,144.1
NOV,1917,0.3
DEC,1917,0.7
JAN,1918,14.1
FEB,1918,4.5
MAR,1918,1.9
APR,1918,10.7
MAY,1918,48.3
JUN,1918,431.2
JUL,1918,238
AUG,1918,490.9
SEP,1918,122.5
OCT,1918,1.7
NOV,1918,4.7
DEC,1918,8.8
JAN,1919,98.3
FEB,1919,65.2
MAR,1919,30.1
APR,1919,13.5
MAY,1919,33
JUN,1919,396.5
JUL,1919,392.9
AUG,1919,511.2
SEP,1919,152.4
OCT,1919,150.6
NOV,1919,13.9
DEC,1919,1.4
JAN,1920,1.7
FEB,1920,2.6
MAR,1920,21.9
APR,1920,25.6
MAY,1920,23.4
JUN,1920,97
JUL,1920,542.5
AUG,1920,391.5
SEP,1920,92
OCT,1920,5.2
NOV,1920,0
DEC,1920,0
JAN,1921,39.6
FEB,1921,1.6
MAR,1921,0
APR,1921,6.2
MAY,1921,0
JUN,1921,335.4
JUL,1921,311.4
AUG,1921,401.8
SEP,1921,210.9
OCT,1921,12.3
NOV,1921,0
DEC,1921,0
JAN,1922,21.1
FEB,1922,1.2
MAR,1922,0.5
APR,1922,12.7
MAY,1922,9.5
JUN,1922,180.2
JUL,1922,416.7
AUG,1922,305.2
SEP,1922,297.6
OCT,1922,23.5
NOV,1922,38.9
DEC,1922,1.7
JAN,1923,3.9
FEB,1923,27.1
MAR,1923,15.2
APR,1923,9.7
MAY,1923,5.3
JUN,1923,103.8
JUL,1923,374.6
AUG,1923,582.3
SEP,1923,194.9
OCT,1923,61.9
NOV,1923,8
DEC,1923,0.5
JAN,1924,32.3
FEB,1924,11.1
MAR,1924,5.9
APR,1924,9
MAY,1924,18
JUN,1924,83.5
JUL,1924,310.3
AUG,1924,329.5
SEP,1924,330.6
OCT,1924,79.5
NOV,1924,124.5
DEC,1924,0.1
JAN,1925,0.2
FEB,1925,0.5
MAR,1925,0.3
APR,1925,10.6
MAY,1925,88.6
JUN,1925,368.8
JUL,1925,560.4
AUG,1925,476.6
SEP,1925,166.8
OCT,1925,45.1
NOV,1925,19.1
DEC,1925,0
JAN,1926,33.2
FEB,1926,10.7
MAR,1926,99.7
APR,1926,63.3
MAY,1926,45.3
JUN,1926,55.3
JUL,1926,374.4
AUG,1926,555.5
SEP,1926,330.5
OCT,1926,63.4
NOV,1926,0.2
DEC,1926,3.3
JAN,1927,11.7
FEB,1927,57.9
MAR,1927,24.1
APR,1927,2.3
MAY,1927,15.9
JUN,1927,193.3
JUL,1927,468.3
AUG,1927,488.8
SEP,1927,171.9
OCT,1927,75.2
NOV,1927,27.8
DEC,1927,0
JAN,1928,6.8
FEB,1928,11.3
MAR,1928,8.8
APR,1928,13.6
MAY,1928,16.7
JUN,1928,210.1
JUL,1928,384.4
AUG,1928,272.7
SEP,1928,192.5
OCT,1928,97.8
NOV,1928,0
DEC,1928,4.4
JAN,1929,23.1
FEB,1929,28.9
