Month,Year,Rainfall
JAN,1901,18.8
FEB,1901,80.9
MAR,1901,7.2
APR,1901,28.7
MAY,1901,68.7
JUN,1901,77.7
JUL,1901,113
AUG,1901,133.7
SEP,1901,125.3
OCT,1901,173.4
NOV,1901,164.8
DEC,1901,1.5
JAN,1902,2
FEB,1902,0
MAR,1902,2.8
APR,1902,23.9
MAY,1902,37.6
JUN,1902,72.6
JUL,1902,144.5
AUG,1902,236.1
SEP,1902,204.5
OCT,1902,262
NOV,1902,50.4
DEC,1902,27.1
JAN,1903,0.8
FEB,1903,13.3
MAR,1903,0.2
APR,1903,6.2
MAY,1903,73.4
JUN,1903,154
JUL,1903,248.6
AUG,1903,258
SEP,1903,216.5
OCT,1903,159.1
NOV,1903,173.9
DEC,1903,12.1
JAN,1904,1.3
FEB,1904,0
MAR,1904,5.4
APR,1904,3
MAY,1904,136.3
JUN,1904,107.8
JUL,1904,120.2
AUG,1904,117.7
SEP,1904,116.8
OCT,1904,240.9
NOV,1904,0
DEC,1904,10.7
JAN,1905,1.1
FEB,1905,16.7
MAR,1905,68
APR,1905,37
MAY,1905,68.8
JUN,1905,84.4
JUL,1905,64.6
AUG,1905,210.8
SEP,1905,170.2
OCT,1905,66
NOV,1905,7.4
DEC,1905,0
JAN,1906,3.9
FEB,1906,23.5
MAR,1906,9.9
APR,1906,2.3
MAY,1906,11
JUN,1906,252.6
JUL,1906,155.8
AUG,1906,241.1
SEP,1906,126.9
OCT,1906,92.1
NOV,1906,21.5
DEC,1906,80.8
JAN,1907,0.6
FEB,1907,3
MAR,1907,38.9
APR,1907,80.9
MAY,1907,18.9
JUN,1907,224.5
JUL,1907,119.7
AUG,1907,118.2
SEP,1907,94.7
OCT,1907,37
NOV,1907,52.4
DEC,1907,29.1
JAN,1908,54.1
FEB,1908,1.3
MAR,1908,1.7
APR,1908,7.2
MAY,1908,40.9
JUN,1908,57.2
JUL,1908,120.9
AUG,1908,162
SEP,1908,320.9
OCT,1908,73.9
NOV,1908,2.1
DEC,1908,0
JAN,1909,1.3
FEB,1909,1.3
MAR,1909,0.2
APR,1909,112.2
MAY,1909,34
JUN,1909,109.7
JUL,1909,154.2
AUG,1909,193.1
SEP,1909,169.8
OCT,1909,13.4
NOV,1909,3.1
DEC,1909,75.2
JAN,1910,0.9
FEB,1910,2.4
MAR,1910,0.2
APR,1910,31.9
MAY,1910,22.6
JUN,1910,179.6
JUL,1910,222.2
AUG,1910,204.5
SEP,1910,216.8
OCT,1910,286.4
NOV,1910,87.2
DEC,1910,0
JAN,1911,0
FEB,1911,0
MAR,1911,10.3
APR,1911,14.4
MAY,1911,31.2
JUN,1911,150.5
JUL,1911,158.1
AUG,1911,76.2
SEP,1911,160.4
OCT,1911,119.7
NOV,1911,77.6
DEC,1911,21
JAN,1912,0
FEB,1912,9.6
MAR,1912,4.8
APR,1912,15.2
MAY,1912,33.6
JUN,1912,55.9
JUL,1912,217.9
AUG,1912,230.1
SEP,1912,188.7
OCT,1912,86.1
NOV,1912,61.7
DEC,1912,0
JAN,1913,0
FEB,1913,12.9
MAR,1913,0.5
APR,1913,3.3
MAY,1913,68.2
JUN,1913,129
JUL,1913,166.9
AUG,1913,124.3
SEP,1913,119.5
OCT,1913,206.7
NOV,1913,7.2
DEC,1913,2.4
JAN,1914,0
FEB,1914,10.9
MAR,1914,5.8
APR,1914,73
MAY,1914,77.7
JUN,1914,171.7
JUL,1914,157.4
AUG,1914,178.5
SEP,1914,292.4
OCT,1914,22.8
NOV,1914,17.8
DEC,1914,5.1
JAN,1915,21.1
FEB,1915,17.9
MAR,1915,53.3
APR,1915,44.8
MAY,1915,63.5
JUN,1915,177.3
JUL,1915,134.8
AUG,1915,226.5
SEP,1915,170.5
OCT,1915,228.8
NOV,1915,208.8
DEC,1915,0
JAN,1916,0.2
FEB,1916,5.1
MAR,1916,0.5
APR,1916,16.3
MAY,1916,43.9
JUN,1916,157.9
JUL,1916,282.1
AUG,1916,197.1
SEP,1916,166.2
OCT,1916,355.9
NOV,1916,126
DEC,1916,0.1
JAN,1917,1.1
FEB,1917,25.1
MAR,1917,14.9
APR,1917,16.4
MAY,1917,105.5
JUN,1917,201.4
JUL,1917,142.4
AUG,1917,215.8
SEP,1917,219.6
OCT,1917,216
NOV,1917,126.5
DEC,1917,5
JAN,1918,25.1
FEB,1918,2.5
MAR,1918,9.5
APR,1918,13
MAY,1918,79.6
JUN,1918,109.4
JUL,1918,107.4
AUG,1918,130.9
SEP,1918,149.6
OCT,1918,30.8
NOV,1918,111.7
DEC,1918,8.5
JAN,1919,41.3
FEB,1919,22.9
MAR,1919,10.4
APR,1919,23.6
MAY,1919,70
JUN,1919,111.2
JUL,1919,194.8
AUG,1919,118.6
SEP,1919,161.8
OCT,1919,194.5
NOV,1919,183.6
DEC,1919,8.7
JAN,1920,9.6
FEB,1920,23.8
MAR,1920,4.7
APR,1920,25.1
MAY,1920,78.4
JUN,1920,83
JUL,1920,71.6
AUG,1920,124.9
SEP,1920,113.6
OCT,1920,176.5
NOV,1920,12.2
DEC,1920,0
JAN,1921,52.3
FEB,1921,0.1
MAR,1921,0.1
APR,1921,35.3
MAY,1921,11.2
JUN,1921,97.6
JUL,1921,204.6
AUG,1921,168
SEP,1921,228.7
OCT,1921,192.6
NOV,1921,24.7
DEC,1921,0
JAN,1922,10.9
FEB,1922,0
MAR,1922,0
APR,1922,5.3
MAY,1922,35.8
JUN,1922,103.3
JUL,1922,145.6
AUG,1922,132.6
SEP,1922,117.5
OCT,1922,128
NOV,1922,174
DEC,1922,0.2
JAN,1923,0.2
FEB,1923,58.3
MAR,1923,13.5
APR,1923,14.9
MAY,1923,39.1
JUN,1923,44.3
JUL,1923,128.8
AUG,1923,53.4
SEP,1923,260.6
OCT,1923,267.5
NOV,1923,245.6
DEC,1923,0.1
JAN,1924,3.7
FEB,1924,6.2
MAR,1924,0.6
APR,1924,8.8
MAY,1924,66.1
JUN,1924,66.2
JUL,1924,111.6
AUG,1924,197.6
SEP,1924,349.8
OCT,1924,131
NOV,1924,240.3
DEC,1924,0
JAN,1925,2.9
FEB,1925,0.1
MAR,1925,5.6
APR,1925,40.2
MAY,1925,196.4
JUN,1925,151.4
JUL,1925,197.8
AUG,1925,223.9
SEP,1925,103.4
OCT,1925,262.6
NOV,1925,46.1
DEC,1925,8.1
JAN,1926,13.7
FEB,1926,7.7
MAR,1926,78.7
APR,1926,57.1
MAY,1926,36.4
JUN,1926,72.4
JUL,1926,191.4
AUG,1926,173.3
SEP,1926,162.8
OCT,1926,76.7
NOV,1926,0.5
DEC,1926,0
JAN,1927,14.1
FEB,1927,8.4
MAR,1927,18.5
APR,1927,6.3
MAY,1927,40
JUN,1927,196.4
JUL,1927,172.4
AUG,1927,197.2
SEP,1927,157
OCT,1927,66.1
NOV,1927,176.5
DEC,1927,0
JAN,1928,0
FEB,1928,2.8
MAR,1928,1.4
APR,1928,55.1
MAY,1928,31
JUN,1928,88.7
JUL,1928,189
AUG,1928,136.4
SEP,1928,208.2
OCT,1928,385.9
NOV,1928,2.2
DEC,1928,0.7
JAN,1929,2.7
FEB,1929,37.4
MAR,1929,1.5
APR,1929,19.7
MAY,1929,41
JUN,1929,190
JUL,1929,78.3
AUG,1929,138.4
SEP,1929,146.3
OCT,1929,173.1
NOV,1929,5.3
DEC,1929,25.4
JAN,1930,0.5
FEB,1930,32.4
MAR,1930,6.6
APR,1930,23.2
MAY,1930,117.3
JUN,1930,189.6
JUL,1930,112.4
AUG,1930,133
SEP,1930,136.7
OCT,1930,284.1
NOV,1930,181.9
DEC,1930,5.1
JAN,1931,0.5
FEB,1931,0.4
MAR,1931,5.2
APR,1931,8.8
MAY,1931,46.9
JUN,1931,142.2
JUL,1931,177.7
AUG,1931,120.5
SEP,1931,231.7
OCT,1931,388.8
NOV,1931,164
DEC,1931,0.3
JAN,1932,0
FEB,1932,53.2
MAR,1932,0.1
APR,1932,20.8
MAY,1932,47.2
JUN,1932,79.6
JUL,1932,203.3
AUG,1932,122.3
SEP,1932,147.8
OCT,1932,117.2
NOV,1932,180
DEC,1932,0.1
JAN,1933,4.1
FEB,1933,0
MAR,1933,6.8
APR,1933,23.3
MAY,1933,88
JUN,1933,106
JUL,1933,187.1
AUG,1933,135.6
SEP,1933,193
OCT,1933,251.3
NOV,1933,67.3
DEC,1933,24.8
JAN,1934,0
FEB,1934,0.2
MAR,1934,0.6
APR,1934,19.9
MAY,1934,21.7
JUN,1934,100.5
JUL,1934,202.2
AUG,1934,207.5
SEP,1934,131.5
OCT,1934,116.2
NOV,1934,80.6
DEC,1934,3.2
JAN,1935,1.2
FEB,1935,0.1
MAR,1935,4.2
APR,1935,24.7
MAY,1935,10.5
JUN,1935,94.6
JUL,1935,158.9
AUG,1935,122.6
SEP,1935,191.8
OCT,1935,141
NOV,1935,1.6
DEC,1935,0
JAN,1936,8.7
FEB,1936,127.1
MAR,1936,5.8
APR,1936,22.4
MAY,1936,145.2
JUN,1936,162.7
JUL,1936,211.9
AUG,1936,188.3
SEP,1936,123.9
OCT,1936,233.4
NOV,1936,91.2
DEC,1936,8.1
JAN,1937,0
FEB,1937,71.8
MAR,1937,15.2
APR,1937,86.3
MAY,1937,30.3
JUN,1937,59.3
JUL,1937,172.5
AUG,1937,153.7
SEP,1937,108.7
OCT,1937,185.2
NOV,1937,8.9
DEC,1937,0.2
JAN,1938,0.1
FEB,1938,31.9
MAR,1938,7.6
APR,1938,3.5
MAY,1938,82.6
JUN,1938,158.9
JUL,1938,161.3
AUG,1938,176.1
SEP,1938,294.2
OCT,1938,115.2
NOV,1938,174.4
DEC,1938,0.4
JAN,1939,3
FEB,1939,0
MAR,1939,29.7
APR,1939,19.7
MAY,1939,11.3
JUN,1939,80.2
JUL,1939,138.7
AUG,1939,121.9
SEP,1939,150.1
OCT,1939,416.7
NOV,1939,95.8
DEC,1939,3.2
JAN,1940,0.2
FEB,1940,5.3
MAR,1940,65.6
APR,1940,15
MAY,1940,202.1
JUN,1940,120.3
JUL,1940,157.4
AUG,1940,186.6
SEP,1940,122.1
OCT,1940,106.3
NOV,1940,75.8
DEC,1940,12.4
JAN,1941,2.6
FEB,1941,13.8
MAR,1941,4.1
APR,1941,8.2
MAY,1941,58.5
JUN,1941,192.7
JUL,1941,83
AUG,1941,97.4
SEP,1941,184.1
OCT,1941,266.4
NOV,1941,107.8
DEC,1941,7.8
JAN,1942,2.9
FEB,1942,5.6
MAR,1942,2.1
APR,1942,37.2
MAY,1942,30.5
JUN,1942,84.7
JUL,1942,130.9
AUG,1942,196.1
SEP,1942,142.1
OCT,1942,159.7
NOV,1942,85.6
DEC,1942,2.4
JAN,1943,20.2
FEB,1943,5.3
MAR,1943,1.6
APR,1943,72.5
MAY,1943,46
JUN,1943,142.1
JUL,1943,129.5
AUG,1943,116.6
SEP,1943,195.4
OCT,1943,208.2
NOV,1943,40.2
DEC,1943,0.2
JAN,1944,4.9
FEB,1944,19.4
MAR,1944,96.6
APR,1944,24.8
MAY,1944,42.5
JUN,1944,132.2
JUL,1944,179.8
AUG,1944,157.6
SEP,1944,159.4
OCT,1944,304.7
NOV,1944,33.9
DEC,1944,0
JAN,1945,1
FEB,1945,0
MAR,1945,0
APR,1945,48
MAY,1945,39.9
JUN,1945,46.6
JUL,1945,193.3
AUG,1945,185.8
SEP,1945,201.2
OCT,1945,242
NOV,1945,19.1
DEC,1945,14.7
JAN,1946,0
FEB,1946,3.8
MAR,1946,5.4
APR,1946,66
MAY,1946,60.7
JUN,1946,127.6
JUL,1946,179.4
AUG,1946,157.7
SEP,1946,113.3
OCT,1946,94.4
NOV,1946,160
DEC,1946,2
JAN,1947,10.3
FEB,1947,3
MAR,1947,0.8
APR,1947,15.4
MAY,1947,18.3
JUN,1947,86.5
JUL,1947,217.4
AUG,1947,216.1
SEP,1947,209.8
OCT,1947,154.7
NOV,1947,58.3
DEC,1947,135.5
JAN,1948,1.4
FEB,1948,26.8
MAR,1948,7.4
APR,1948,24.8
MAY,1948,44.6
JUN,1948,92.7
JUL,1948,193.5
AUG,1948,113.8
SEP,1948,232.7
OCT,1948,103.7
NOV,1948,181.6
DEC,1948,1.5
JAN,1949,7.7
FEB,1949,0.6
MAR,1949,2.5
APR,1949,32.2
MAY,1949,71.2
JUN,1949,97.3
JUL,1949,231.2
AUG,1949,179.2
SEP,1949,254.8
OCT,1949,319.4
NOV,1949,21.3
DEC,1949,0
JAN,1950,0
FEB,1950,17.2
MAR,1950,31
APR,1950,7
MAY,1950,52.8
JUN,1950,97.8
JUL,1950,221.8
AUG,1950,132.3
SEP,1950,192.5
OCT,1950,130.1
NOV,1950,103.2
DEC,1950,0.3
JAN,1951,1.2
FEB,1951,0
MAR,1951,27.9
APR,1951,46.1
MAY,1951,75.4
JUN,1951,133.7
JUL,1951,285.2
AUG,1951,186.5
SEP,1951,174.1
OCT,1951,89.7
NOV,1951,74.2
DEC,1951,2.2
JAN,1952,0
FEB,1952,17.4
MAR,1952,12.2
APR,1952,28.8
MAY,1952,94.2
JUN,1952,87.4
JUL,1952,130.1
AUG,1952,128.8
SEP,1952,130.2
OCT,1952,251.8
NOV,1952,0
DEC,1952,35.7
JAN,1953,13.2
FEB,1953,0.6
MAR,1953,0
APR,1953,21.5
MAY,1953,43.4
JUN,1953,136.7
JUL,1953,149.6
AUG,1953,190.6
SEP,1953,183.7
OCT,1953,234.8
NOV,1953,15.6
DEC,1953,0.3
JAN,1954,0.3
FEB,1954,0
MAR,1954,9
APR,1954,8
MAY,1954,37.5
JUN,1954,129.7
JUL,1954,218.5
AUG,1954,205.7
SEP,1954,266.5
OCT,1954,263
NOV,1954,0
DEC,1954,15.3
JAN,1955,5.1
FEB,1955,0.3
MAR,1955,18.6
APR,1955,14.2
MAY,1955,250.1
JUN,1955,118.8
JUL,1955,128.9
AUG,1955,263.6
SEP,1955,177
OCT,1955,325.9
NOV,1955,76.2
DEC,1955,0.3
JAN,1956,4.2
FEB,1956,3.2
MAR,1956,0.5
APR,1956,28.6
