Month,Year,Rainfall
JAN,1901,1.8
FEB,1901,0.6
MAR,1901,10.7
APR,1901,52.4
MAY,1901,81.6
JUN,1901,960.9
JUL,1901,991.2
AUG,1901,606.4
SEP,1901,108
OCT,1901,120.5
NOV,1901,104.9
DEC,1901,17.8
JAN,1902,3.2
FEB,1902,0.3
MAR,1902,4.9
APR,1902,10.2
MAY,1902,54.6
JUN,1902,698.4
JUL,1902,1401.6
AUG,1902,454.2
SEP,1902,708.4
OCT,1902,180.4
NOV,1902,50.8
DEC,1902,132.2
JAN,1903,0.7
FEB,1903,0
MAR,1903,0
APR,1903,4.1
MAY,1903,202.8
JUN,1903,536.5
JUL,1903,1405.5
AUG,1903,593.8
SEP,1903,304.4
OCT,1903,185
NOV,1903,79.3
DEC,1903,5.3
JAN,1904,2.4
FEB,1904,0
MAR,1904,4.8
APR,1904,23.7
MAY,1904,93.2
JUN,1904,1108.2
JUL,1904,1070
AUG,1904,465.6
SEP,1904,245.3
OCT,1904,127.2
NOV,1904,0.7
DEC,1904,0
JAN,1905,0
FEB,1905,0.2
MAR,1905,0
APR,1905,6.4
MAY,1905,83.1
JUN,1905,767.3
JUL,1905,777.3
AUG,1905,586.9
SEP,1905,172.9
OCT,1905,222.2
NOV,1905,36.1
DEC,1905,0
JAN,1906,23
FEB,1906,0
MAR,1906,0
APR,1906,0.5
MAY,1906,29.8
JUN,1906,593.6
JUL,1906,1173.4
AUG,1906,535
SEP,1906,273.3
OCT,1906,128.5
NOV,1906,22.1
DEC,1906,56.8
JAN,1907,7
FEB,1907,0
MAR,1907,2.7
APR,1907,91.3
MAY,1907,19
JUN,1907,845.9
JUL,1907,1166.3
AUG,1907,1026.1
SEP,1907,223.6
OCT,1907,87.7
NOV,1907,55.8
DEC,1907,9.8
JAN,1908,0
FEB,1908,3.1
MAR,1908,0.9
APR,1908,46.1
MAY,1908,38
JUN,1908,708.6
JUL,1908,1904.9
AUG,1908,766.6
SEP,1908,128
OCT,1908,56.8
NOV,1908,2.5
DEC,1908,0
JAN,1909,4
FEB,1909,1
MAR,1909,3.7
APR,1909,6.3
MAY,1909,200.1
JUN,1909,943.1
JUL,1909,1285.6
AUG,1909,315.6
SEP,1909,293.8
OCT,1909,68.8
NOV,1909,47.8
DEC,1909,3.2
JAN,1910,0
FEB,1910,0
MAR,1910,5
APR,1910,6.2
MAY,1910,40.2
JUN,1910,1042.2
JUL,1910,589.5
AUG,1910,651.2
SEP,1910,441.7
OCT,1910,177.8
NOV,1910,67
DEC,1910,0
JAN,1911,0
FEB,1911,0
MAR,1911,0
APR,1911,3.2
MAY,1911,71
JUN,1911,749.5
JUL,1911,830.1
AUG,1911,538.3
SEP,1911,110.3
OCT,1911,160.8
NOV,1911,41.6
DEC,1911,17.5
JAN,1912,1.1
FEB,1912,0
MAR,1912,0
APR,1912,30.5
MAY,1912,64
JUN,1912,787.6
JUL,1912,1261.5
AUG,1912,789.2
SEP,1912,160.8
