Month,Year,Rainfall
JAN,1901,48.5
FEB,1901,38.1
MAR,1901,15.7
APR,1901,10.7
MAY,1901,6.2
JUN,1901,61
JUL,1901,367.5
AUG,1901,589.2
SEP,1901,189.9
OCT,1901,5.9
NOV,1901,0
DEC,1901,0
JAN,1902,14.9
FEB,1902,8.9
MAR,1902,0
APR,1902,3.6
MAY,1902,2.7
JUN,1902,28
JUL,1902,411.9
AUG,1902,227
SEP,1902,236.6
OCT,1902,17
NOV,1902,27.6
DEC,1902,6.1
JAN,1903,5.6
FEB,1903,2.9
MAR,1903,0.3
APR,1903,0.9
MAY,1903,37.5
JUN,1903,67.5
JUL,1903,261.4
AUG,1903,366.7
SEP,1903,257.4
OCT,1903,177.9
NOV,1903,0
DEC,1903,0
JAN,1904,2
FEB,1904,15.3
MAR,1904,48.2
APR,1904,0
MAY,1904,8.6
JUN,1904,109.9
JUL,1904,443.2
AUG,1904,316.6
SEP,1904,135.6
OCT,1904,44.8
NOV,1904,3.2
DEC,1904,16.9
JAN,1905,15.9
FEB,1905,8
MAR,1905,14.3
APR,1905,12.3
MAY,1905,10.2
JUN,1905,34.4
JUL,1905,292.4
AUG,1905,243.3
SEP,1905,250.9
OCT,1905,2.9
NOV,1905,0
DEC,1905,1.6
JAN,1906,12.1
FEB,1906,28.3
MAR,1906,30.8
APR,1906,0
MAY,1906,3.5
JUN,1906,226.1
JUL,1906,444.2
AUG,1906,190.1
SEP,1906,417
OCT,1906,7.1
NOV,1906,1.7
DEC,1906,8.8
JAN,1907,7
FEB,1907,103.1
MAR,1907,4.5
APR,1907,30.5
MAY,1907,5.1
JUN,1907,90.9
JUL,1907,221.9
AUG,1907,512.3
SEP,1907,20.1
OCT,1907,0
NOV,1907,13
DEC,1907,1.2
JAN,1908,18.2
FEB,1908,17
MAR,1908,9.4
APR,1908,1.4
MAY,1908,3.4
JUN,1908,117.7
JUL,1908,528.9
AUG,1908,588.6
SEP,1908,127.5
OCT,1908,13
NOV,1908,0.4
DEC,1908,5
JAN,1909,19.8
FEB,1909,16.3
MAR,1909,5.3
APR,1909,72.4
MAY,1909,6.2
JUN,1909,208.5
JUL,1909,387
AUG,1909,240.5
SEP,1909,123.6
OCT,1909,0.2
NOV,1909,0
DEC,1909,42.2
JAN,1910,10
FEB,1910,0.1
MAR,1910,0.2
APR,1910,2.6
MAY,1910,9.6
JUN,1910,221.3
JUL,1910,225.6
AUG,1910,377.5
SEP,1910,258
OCT,1910,49
NOV,1910,68.3
DEC,1910,0
JAN,1911,22.7
FEB,1911,0.8
MAR,1911,15.9
APR,1911,0.8
MAY,1911,3.9
JUN,1911,204.7
JUL,1911,175.9
AUG,1911,362.6
SEP,1911,296.4
OCT,1911,62.9
NOV,1911,50.5
DEC,1911,0
JAN,1912,8.4
FEB,1912,46
MAR,1912,0.2
APR,1912,4.8
MAY,1912,3.1
JUN,1912,35.6
JUL,1912,460.4
AUG,1912,373.5
SEP,1912,165.8
OCT,1912,1
NOV,1912,49.2
DEC,1912,2.5
JAN,1913,1.3
FEB,1913,58.4
MAR,1913,22.7
APR,1913,0
MAY,1913,24.2
JUN,1913,201.6
JUL,1913,262.5
AUG,1913,281.3
SEP,1913,63.1
OCT,1913,2.7
NOV,1913,0.7
DEC,1913,17.7
JAN,1914,0.1
FEB,1914,9.3
MAR,1914,56.1
APR,1914,19.8
MAY,1914,21.3
JUN,1914,107.6
JUL,1914,544.5
AUG,1914,339.8
SEP,1914,138.4
OCT,1914,8.4
NOV,1914,1.9
DEC,1914,2.8
JAN,1915,16.2
FEB,1915,36.7
MAR,1915,52.6
APR,1915,8.3
MAY,1915,10.4
JUN,1915,178.2
JUL,1915,378.4
AUG,1915,416.2
SEP,1915,159.7
OCT,1915,116.2
NOV,1915,6.7
DEC,1915,2.8
JAN,1916,0
FEB,1916,26.6
MAR,1916,0.1
APR,1916,2.2
MAY,1916,6.3
JUN,1916,286
JUL,1916,250.5
AUG,1916,452.7
SEP,1916,253.2
OCT,1916,177.4
NOV,1916,25.2
DEC,1916,0
JAN,1917,5.8
FEB,1917,39.3
MAR,1917,25.4
APR,1917,6.4
MAY,1917,63.2
JUN,1917,223.8
JUL,1917,396.4
AUG,1917,466.3
SEP,1917,345.9
OCT,1917,63
NOV,1917,0
DEC,1917,3.8
JAN,1918,1.2
FEB,1918,6.5
MAR,1918,2.3
APR,1918,1.2
MAY,1918,29.1
JUN,1918,233.1
JUL,1918,191.9
AUG,1918,331.9
SEP,1918,102.9
OCT,1918,0.2
NOV,1918,18.7
DEC,1918,11.5
JAN,1919,120.7
FEB,1919,29.7
MAR,1919,10.8
APR,1919,9.2
MAY,1919,23.2
JUN,1919,158.9
JUL,1919,479.8
AUG,1919,713
SEP,1919,105.6
OCT,1919,82.3
NOV,1919,10.8
DEC,1919,3.3
JAN,1920,12.2
FEB,1920,1.7
MAR,1920,17
APR,1920,6.3
MAY,1920,12.7
JUN,1920,93.8
JUL,1920,426.4
AUG,1920,237.8
SEP,1920,91.6
OCT,1920,0.1
NOV,1920,0
DEC,1920,0
JAN,1921,24.4
FEB,1921,3.4
MAR,1921,0
APR,1921,0.5
MAY,1921,0
JUN,1921,216.6
JUL,1921,255.1
AUG,1921,379.5
SEP,1921,251.6
OCT,1921,0.9
NOV,1921,0
DEC,1921,0
JAN,1922,39.1
FEB,1922,6.1
MAR,1922,0.5
APR,1922,2.5
MAY,1922,0.9
JUN,1922,132.7
JUL,1922,459.2
AUG,1922,321
SEP,1922,231.1
OCT,1922,6.6
NOV,1922,35
DEC,1922,3.2
JAN,1923,5.1
FEB,1923,9.8
MAR,1923,20
APR,1923,2.1
MAY,1923,2.3
JUN,1923,27.2
JUL,1923,466.7
AUG,1923,676.3
SEP,1923,193.4
OCT,1923,31.5
NOV,1923,0.2
DEC,1923,9.2
JAN,1924,29.4
FEB,1924,9
MAR,1924,7.2
APR,1924,1.1
MAY,1924,1.4
JUN,1924,43.5
JUL,1924,547.3
AUG,1924,377.7
SEP,1924,244.6
OCT,1924,29.9
NOV,1924,13.8
DEC,1924,10.5
JAN,1925,0.1
FEB,1925,0
MAR,1925,0
APR,1925,0.2
MAY,1925,29.8
JUN,1925,191.9
JUL,1925,575
AUG,1925,287.6
SEP,1925,204
OCT,1925,11.7
NOV,1925,53.8
DEC,1925,0.3
JAN,1926,21.1
FEB,1926,3.1
MAR,1926,49.2
APR,1926,41
MAY,1926,31
JUN,1926,26.3
JUL,1926,327.2
AUG,1926,551.4
SEP,1926,538.7
OCT,1926,135.9
NOV,1926,1.2
DEC,1926,0.9
JAN,1927,8.4
FEB,1927,18.7
MAR,1927,44.4
APR,1927,1.8
MAY,1927,2.5
JUN,1927,100.1
JUL,1927,430.4
AUG,1927,382.8
SEP,1927,93.6
OCT,1927,67.1
NOV,1927,77.7
DEC,1927,8.4
JAN,1928,15.7
FEB,1928,52.8
MAR,1928,9.1
APR,1928,1
MAY,1928,2.5
JUN,1928,152.7
JUL,1928,475
AUG,1928,185
SEP,1928,63.1
OCT,1928,96.6
NOV,1928,0
DEC,1928,53.5
JAN,1929,30
FEB,1929,17.4
MAR,1929,0.2
APR,1929,11.2
MAY,1929,1.7
JUN,1929,94.3
JUL,1929,524.9
AUG,1929,399.2
SEP,1929,103
OCT,1929,17.7
NOV,1929,0
DEC,1929,47.9
JAN,1930,2.1
FEB,1930,3.5
MAR,1930,3
APR,1930,31.3
MAY,1930,6.9
JUN,1930,134
JUL,1930,597.9
AUG,1930,268.4
SEP,1930,109.2
OCT,1930,33.9
NOV,1930,5.2
DEC,1930,8.5
JAN,1931,13.7
FEB,1931,29.5
MAR,1931,9
APR,1931,3.3
MAY,1931,3.2
JUN,1931,69.6
JUL,1931,294.5
AUG,1931,458.1
SEP,1931,290.9
OCT,1931,151.6
NOV,1931,16.2
DEC,1931,2.6
JAN,1932,0
FEB,1932,22.5
MAR,1932,13.9
APR,1932,2.4
MAY,1932,6.3
JUN,1932,105.1
JUL,1932,534.5
AUG,1932,198
SEP,1932,242.8
OCT,1932,22.5
NOV,1932,3.1
DEC,1932,0
JAN,1933,8.4
FEB,1933,44
MAR,1933,18.8
APR,1933,29.5
MAY,1933,74.2
JUN,1933,143.8
JUL,1933,360.6
AUG,1933,321.1
SEP,1933,294.4
OCT,1933,61.4
NOV,1933,8.9
DEC,1933,3.3
JAN,1934,15.9
FEB,1934,0.1
MAR,1934,10.5
APR,1934,2.2
MAY,1934,0.2
JUN,1934,228.5
JUL,1934,320.7
AUG,1934,447.1
SEP,1934,395.1
OCT,1934,19.9
NOV,1934,20.9
DEC,1934,12.1
JAN,1935,21.5
FEB,1935,17.2
MAR,1935,0.2
APR,1935,19.1
MAY,1935,0.5
JUN,1935,88.3
JUL,1935,624.4
AUG,1935,292.6
SEP,1935,200.6
OCT,1935,2.4
NOV,1935,0.2
DEC,1935,12.9
JAN,1936,10.2
FEB,1936,31.6
MAR,1936,22
APR,1936,10.4
MAY,1936,15.7
JUN,1936,233.3
JUL,1936,421.9
AUG,1936,415.2
SEP,1936,217
OCT,1936,49
NOV,1936,71.8
DEC,1936,6.1
JAN,1937,0.1
FEB,1937,59.7
MAR,1937,11.2
APR,1937,43.5
MAY,1937,2.4
JUN,1937,186.9
JUL,1937,465.5
AUG,1937,344.7
SEP,1937,179.4
OCT,1937,100
NOV,1937,3.6
DEC,1937,1.1
JAN,1938,52.3
FEB,1938,11.5
MAR,1938,6.4
APR,1938,2.6
MAY,1938,22.3
JUN,1938,300.7
JUL,1938,403.4
AUG,1938,322
