Month,Year,Rainfall
JAN,1901,21.6
FEB,1901,8.9
MAR,1901,2.9
APR,1901,0.7
MAY,1901,5
JUN,1901,15
JUL,1901,164.8
AUG,1901,175.6
SEP,1901,7.5
OCT,1901,9.8
NOV,1901,0
DEC,1901,0.8
JAN,1902,4.1
FEB,1902,0.7
MAR,1902,0
APR,1902,1.8
MAY,1902,9.9
JUN,1902,34.6
JUL,1902,247.6
AUG,1902,116.7
SEP,1902,145.6
OCT,1902,14.4
NOV,1902,0
DEC,1902,2.8
JAN,1903,1.9
FEB,1903,0.7
MAR,1903,1.3
APR,1903,0.1
MAY,1903,12.9
JUN,1903,15.6
JUL,1903,238.2
AUG,1903,229.1
SEP,1903,168.5
OCT,1903,17.8
NOV,1903,0
DEC,1903,0
JAN,1904,4.3
FEB,1904,5.5
MAR,1904,21.7
APR,1904,0.2
MAY,1904,27.5
JUN,1904,49.9
JUL,1904,289.7
AUG,1904,223.5
SEP,1904,50.2
OCT,1904,1.5
NOV,1904,5.8
DEC,1904,14.7
JAN,1905,4.1
FEB,1905,8.8
MAR,1905,3.2
APR,1905,1.6
MAY,1905,2
JUN,1905,14.4
JUL,1905,130.5
AUG,1905,30.9
SEP,1905,83.8
OCT,1905,0
NOV,1905,0
DEC,1905,0.6
JAN,1906,0.2
FEB,1906,23.1
MAR,1906,6.2
APR,1906,0
MAY,1906,1.6
JUN,1906,61.9
JUL,1906,262.5
AUG,1906,95.5
SEP,1906,191.4
OCT,1906,1.9
NOV,1906,0
DEC,1906,3
JAN,1907,6.3
FEB,1907,35.7
MAR,1907,7
APR,1907,14.3
MAY,1907,12.7
JUN,1907,18.5
JUL,1907,134.1
AUG,1907,319.8
SEP,1907,3.3
OCT,1907,0
NOV,1907,0
DEC,1907,0
JAN,1908,13.9
FEB,1908,0.8
MAR,1908,1.6
APR,1908,0.4
MAY,1908,6.2
JUN,1908,42.6
JUL,1908,395.2
AUG,1908,349
SEP,1908,58.7
OCT,1908,0.2
NOV,1908,1.4
DEC,1908,0.1
JAN,1909,4.9
FEB,1909,1.4
MAR,1909,0
APR,1909,43.2
MAY,1909,5.2
JUN,1909,115.3
JUL,1909,299.4
AUG,1909,207.4
SEP,1909,82.5
OCT,1909,1.7
NOV,1909,0
DEC,1909,20.8
JAN,1910,7.9
FEB,1910,1.1
MAR,1910,0
APR,1910,1.9
MAY,1910,1.2
JUN,1910,124.6
JUL,1910,114
AUG,1910,250.2
SEP,1910,134.2
OCT,1910,48.2
NOV,1910,2
DEC,1910,0
JAN,1911,13.6
FEB,1911,0.5
MAR,1911,18.3
APR,1911,0.7
MAY,1911,0.1
JUN,1911,69.3
JUL,1911,42.6
AUG,1911,73.8
SEP,1911,173.6
OCT,1911,6.4
NOV,1911,21.2
DEC,1911,0.2
JAN,1912,9.7
FEB,1912,5.2
MAR,1912,1.7
APR,1912,2.7
MAY,1912,5.5
JUN,1912,30.8
JUL,1912,304.7
AUG,1912,237.6
SEP,1912,48.5
OCT,1912,2
NOV,1912,5.1
DEC,1912,1.8
JAN,1913,0
FEB,1913,9.5
MAR,1913,0.8
APR,1913,0.1
MAY,1913,46
JUN,1913,111.6
JUL,1913,160.7
AUG,1913,107
SEP,1913,44
OCT,1913,1.5
NOV,1913,0.4
DEC,1913,16.6
JAN,1914,0
FEB,1914,0.9
MAR,1914,0.9
APR,1914,2
MAY,1914,5.8
JUN,1914,88.3
JUL,1914,325.3
AUG,1914,125.6
SEP,1914,107.8
OCT,1914,11.3
NOV,1914,8.6
DEC,1914,0
JAN,1915,19
FEB,1915,30.2
MAR,1915,33.2
APR,1915,2.3
MAY,1915,5
JUN,1915,33.7
JUL,1915,70
AUG,1915,108.8
SEP,1915,29.5
OCT,1915,69.1
NOV,1915,0
DEC,1915,0.8
JAN,1916,0
FEB,1916,3.2
MAR,1916,0
APR,1916,0.3
MAY,1916,10
JUN,1916,87.6
JUL,1916,159.4
AUG,1916,435.8
SEP,1916,122.3
OCT,1916,24.7
NOV,1916,1.9
DEC,1916,0
JAN,1917,3.6
FEB,1917,8.8
MAR,1917,4.1
APR,1917,11
MAY,1917,90.9
JUN,1917,149.2
JUL,1917,265.4
AUG,1917,383.5
SEP,1917,333.9
OCT,1917,99.8
NOV,1917,0
DEC,1917,0.3
JAN,1918,4
FEB,1918,0
MAR,1918,2.4
APR,1918,0.7
MAY,1918,2.6
JUN,1918,28.3
JUL,1918,49.6
AUG,1918,163.3
SEP,1918,19
OCT,1918,0.1
NOV,1918,3.5
DEC,1918,0.1
JAN,1919,29.2
FEB,1919,0
MAR,1919,0.7
APR,1919,5.3
MAY,1919,14.1
JUN,1919,31.4
JUL,1919,265
AUG,1919,356.4
SEP,1919,53
OCT,1919,0.3
NOV,1919,23.2
DEC,1919,8.3
JAN,1920,8.6
FEB,1920,3.7
MAR,1920,2.8
APR,1920,0.5
MAY,1920,45.8
JUN,1920,150.5
JUL,1920,295.4
AUG,1920,78.3
SEP,1920,10.8
OCT,1920,0.1
NOV,1920,0
DEC,1920,0
JAN,1921,18.3
FEB,1921,0
MAR,1921,0
APR,1921,0.2
MAY,1921,0
JUN,1921,22.3
JUL,1921,178.9
AUG,1921,153.2
SEP,1921,173.1
OCT,1921,1
NOV,1921,0
DEC,1921,0.7
JAN,1922,6
FEB,1922,0.4
MAR,1922,0
APR,1922,0.3
MAY,1922,9
JUN,1922,83.9
JUL,1922,242.2
AUG,1922,144.3
SEP,1922,169.3
OCT,1922,0.8
NOV,1922,1.6
DEC,1922,12.1
JAN,1923,2
FEB,1923,8.5
MAR,1923,3.7
APR,1923,0.6
MAY,1923,12.8
JUN,1923,9.4
JUL,1923,325.3
AUG,1923,262.7
SEP,1923,52.8
OCT,1923,1.2
NOV,1923,0.4
DEC,1923,10.6
JAN,1924,13.6
FEB,1924,5.8
MAR,1924,0
APR,1924,0.1
MAY,1924,5.2
JUN,1924,33.4
JUL,1924,271.8
AUG,1924,262.8
SEP,1924,262.2
OCT,1924,40.4
NOV,1924,3.7
DEC,1924,25.4
JAN,1925,0.1
FEB,1925,0
MAR,1925,0
APR,1925,0.1
MAY,1925,14.7
JUN,1925,163.2
JUL,1925,209.3
AUG,1925,56.2
SEP,1925,16.9
OCT,1925,3.7
NOV,1925,19.5
DEC,1925,0
JAN,1926,6.1
FEB,1926,1.1
MAR,1926,28.7
APR,1926,2.5
MAY,1926,18.6
JUN,1926,13.9
JUL,1926,216.1
AUG,1926,342.6
SEP,1926,202.3
OCT,1926,0.2
NOV,1926,0
DEC,1926,0.2
JAN,1927,0
FEB,1927,9.4
MAR,1927,0.5
APR,1927,1.9
MAY,1927,5.7
JUN,1927,19
JUL,1927,272.9
AUG,1927,283.7
SEP,1927,69.9
OCT,1927,7.7
NOV,1927,26
DEC,1927,29.3
JAN,1928,2.9
FEB,1928,16.4
MAR,1928,0.6
APR,1928,0.1
MAY,1928,2.2
JUN,1928,23.4
JUL,1928,236.7
AUG,1928,187.1
SEP,1928,37.9
OCT,1928,84.2
NOV,1928,10.4
DEC,1928,6.4
JAN,1929,3.6
FEB,1929,1.5
MAR,1929,0
APR,1929,4
MAY,1929,6.9
JUN,1929,50.9
JUL,1929,270.8
AUG,1929,194
SEP,1929,34.4
OCT,1929,0.6
NOV,1929,0
DEC,1929,9.1
JAN,1930,16.7
FEB,1930,1
MAR,1930,0.2
APR,1930,0.4
MAY,1930,22.2
JUN,1930,72.7
JUL,1930,296.9
AUG,1930,158.7
SEP,1930,40.4
OCT,1930,51.9
NOV,1930,0.1
DEC,1930,0
JAN,1931,0.4
FEB,1931,2.2
MAR,1931,2.2
APR,1931,0.1
MAY,1931,9.8
JUN,1931,11.5
JUL,1931,224.5
AUG,1931,401.4
SEP,1931,60.4
OCT,1931,60.5
NOV,1931,0.3
DEC,1931,1.1
JAN,1932,0.3
FEB,1932,0.6
MAR,1932,14
APR,1932,5.4
MAY,1932,3.9
JUN,1932,21.7
JUL,1932,219
AUG,1932,187.1
SEP,1932,88.9
OCT,1932,2.3
NOV,1932,0
DEC,1932,0.6
JAN,1933,0.3
FEB,1933,5.8
MAR,1933,1.5
APR,1933,22.3
MAY,1933,30.1
JUN,1933,209.1
JUL,1933,170.7
AUG,1933,284.9
SEP,1933,185.6
OCT,1933,13.4
NOV,1933,12.3
DEC,1933,1.9
JAN,1934,4.5
FEB,1934,0
MAR,1934,13.3
APR,1934,0.3
MAY,1934,0.2
JUN,1934,118.3
JUL,1934,136.1
AUG,1934,420.4
SEP,1934,105
OCT,1934,0
NOV,1934,2
DEC,1934,8.7
JAN,1935,14.8
FEB,1935,5.8
MAR,1935,0.7
APR,1935,10.5
MAY,1935,1.3
JUN,1935,34.2
JUL,1935,299.4
AUG,1935,119.7
SEP,1935,170.1
OCT,1935,16.5
NOV,1935,1.1
DEC,1935,10.7
JAN,1936,1.7
FEB,1936,4.9
MAR,1936,13.8
APR,1936,0.3
MAY,1936,3.8
JUN,1936,133.6
JUL,1936,115.5
AUG,1936,140
SEP,1936,107.1
OCT,1936,0
NOV,1936,18.4
DEC,1936,3.1
JAN,1937,0
FEB,1937,12.2
MAR,1937,0.5
APR,1937,1
MAY,1937,7.8
JUN,1937,98.7
JUL,1937,365.4
AUG,1937,60.5
SEP,1937,113.6
OCT,1937,3.3
NOV,1937,0.6
DEC,1937,6.8
JAN,1938,6.2
FEB,1938,0
MAR,1938,0.1
APR,1938,0.1
MAY,1938,5.5
JUN,1938,140.3
JUL,1938,213.5
AUG,1938,117.5
SEP,1938,10.9
OCT,1938,9
NOV,1938,0
DEC,1938,0
JAN,1939,1.6
FEB,1939,12.7
MAR,1939,9.3
APR,1939,0
MAY,1939,0.1
JUN,1939,62
JUL,1939,108.3
AUG,1939,112.7
SEP,1939,92.9
OCT,1939,1.1
NOV,1939,0
DEC,1939,0
JAN,1940,26
FEB,1940,16.9
MAR,1940,15.9
APR,1940,2.1
MAY,1940,5.7
JUN,1940,61.3
JUL,1940,189.5
AUG,1940,290.7
SEP,1940,33.7
OCT,1940,2.5
NOV,1940,8.3
DEC,1940,0.4
JAN,1941,11.7
FEB,1941,9
MAR,1941,2
APR,1941,0
MAY,1941,10.1
JUN,1941,39.9
JUL,1941,110.2
AUG,1941,247.6
SEP,1941,70.8
OCT,1941,1.1
NOV,1941,0
DEC,1941,3.3
JAN,1942,15.9
FEB,1942,9.9
MAR,1942,0
APR,1942,2.1
MAY,1942,8
JUN,1942,61.3
JUL,1942,399.5
AUG,1942,320.8
SEP,1942,120.7
OCT,1942,0
NOV,1942,0
DEC,1942,1.1
JAN,1943,7.4
FEB,1943,0.1
MAR,1943,0
APR,1943,4.8
MAY,1943,6.6
JUN,1943,52.6
JUL,1943,400.2
AUG,1943,111.1
SEP,1943,133.6
OCT,1943,0.1
NOV,1943,0
DEC,1943,0.1
JAN,1944,20.1
FEB,1944,6.9
MAR,1944,24.4
APR,1944,7.9
MAY,1944,1.7
JUN,1944,75.5
JUL,1944,309.9
AUG,1944,411.9
SEP,1944,31.7
OCT,1944,14.5
NOV,1944,0.9
DEC,1944,1.5
JAN,1945,15.5
FEB,1945,0
MAR,1945,0.1
APR,1945,6.8
MAY,1945,11.2
JUN,1945,125.9
JUL,1945,346
AUG,1945,215.1
SEP,1945,138
OCT,1945,3.2
NOV,1945,0
DEC,1945,0
JAN,1946,0
FEB,1946,10.3
MAR,1946,0
APR,1946,1.4
MAY,1946,7.8
JUN,1946,124.6
JUL,1946,184.3
AUG,1946,429.8
SEP,1946,84.5
OCT,1946,8.7
NOV,1946,12.7
DEC,1946,23.5
JAN,1947,6.6
FEB,1947,2.5
MAR,1947,0.6
APR,1947,0.5
MAY,1947,0.8
JUN,1947,14.2
JUL,1947,118.3
AUG,1947,284.1
SEP,1947,272
OCT,1947,10.3
NOV,1947,0.1
DEC,1947,4.9
JAN,1948,39.2
FEB,1948,11.9
MAR,1948,1.9
APR,1948,0.3
MAY,1948,0.9
JUN,1948,29.7
JUL,1948,221.2
AUG,1948,243
SEP,1948,94.9
OCT,1948,12.2
NOV,1948,8.3
DEC,1948,0
JAN,1949,1.1
FEB,1949,0.9
MAR,1949,0.1
APR,1949,0.2
MAY,1949,5.2
JUN,1949,32.5
JUL,1949,279.8
AUG,1949,81
SEP,1949,101
OCT,1949,5.9
NOV,1949,1.5
DEC,1949,0
JAN,1950,0.9
FEB,1950,0.2
MAR,1950,3.4
APR,1950,0
MAY,1950,6.4
JUN,1950,13.3
JUL,1950,318.8
AUG,1950,174.7
SEP,1950,221.5
OCT,1950,0
NOV,1950,0
DEC,1950,0.7
JAN,1951,1.9
FEB,1951,0
MAR,1951,6.2
APR,1951,2.8
MAY,1951,8
JUN,1951,51.8
JUL,1951,97.8
AUG,1951,156.3
SEP,1951,18.8
OCT,1951,0.7
NOV,1951,18.6
DEC,1951,0
JAN,1952,0.7
FEB,1952,3.3
MAR,1952,0.9
APR,1952,2.1
MAY,1952,0.3
JUN,1952,109.2
JUL,1952,360.4
AUG,1952,224.1
SEP,1952,7.5
OCT,1952,0.2
NOV,1952,0
DEC,1952,3.9
JAN,1953,32.3
FEB,1953,0
MAR,1953,0
APR,1953,1.4
MAY,1953,2.3
JUN,1953,59.8
JUL,1953,164.3
AUG,1953,272.2
SEP,1953,50.3
OCT,1953,2.2
NOV,1953,0
DEC,1953,1
JAN,1954,3.9
FEB,1954,19.6
MAR,1954,4.8
APR,1954,0
MAY,1954,0.1
JUN,1954,42.5
JUL,1954,253.4
AUG,1954,77.6
SEP,1954,240.1
OCT,1954,23.6
NOV,1954,0.4
DEC,1954,0
JAN,1955,9.5
FEB,1955,3.6
MAR,1955,0.7
APR,1955,0
MAY,1955,3.4
JUN,1955,100.3
JUL,1955,61.1
AUG,1955,358.6
SEP,1955,233
OCT,1955,74.3
NOV,1955,0
DEC,1955,0.1
JAN,1956,6
FEB,1956,0.6
MAR,1956,9.8
APR,1956,0.2
MAY,1956,1.7
JUN,1956,35.1
JUL,1956,440.6
AUG,1956,215.4
SEP,1956,51.5
OCT,1956,161.9
NOV,1956,0.8
DEC,1956,5.3
JAN,1957,26.5
FEB,1957,0.1
MAR,1957,13.4
APR,1957,0.6
MAY,1957,3.7
JUN,1957,63.4
JUL,1957,243.6
AUG,1957,222.4
SEP,1957,71.2
OCT,1957,12.6
NOV,1957,1.6
DEC,1957,3.2
JAN,1958,3.9
FEB,1958,0.7
MAR,1958,0.8
APR,1958,0.5
MAY,1958,1.4
JUN,1958,46.2
JUL,1958,288.8
AUG,1958,153.9
SEP,1958,224.8
OCT,1958,14.5
NOV,1958,6.1
DEC,1958,1.1
JAN,1959,6
FEB,1959,0.1
MAR,1959,0.2
APR,1959,3.8
MAY,1959,34.8
JUN,1959,36.8
JUL,1959,252.3
AUG,1959,248.9
SEP,1959,152.6
OCT,1959,43
NOV,1959,7.5
DEC,1959,0.3
JAN,1960,1.8
FEB,1960,0
MAR,1960,7
APR,1960,1.2
MAY,1960,5.3
JUN,1960,63.1
JUL,1960,152.1
AUG,1960,332
SEP,1960,20.2
OCT,1960,7.4
NOV,1960,0
DEC,1960,1.5
JAN,1961,11.9
FEB,1961,7
MAR,1961,0
APR,1961,0.6
MAY,1961,5
JUN,1961,39.2
JUL,1961,227.8
AUG,1961,225.7
SEP,1961,337.2
OCT,1961,23
NOV,1961,6
DEC,1961,0.9
JAN,1962,1.1
FEB,1962,1.5
MAR,1962,3.6
APR,1962,2.1
MAY,1962,2.9
JUN,1962,5.1
JUL,1962,262.4
AUG,1962,176
SEP,1962,139.9
OCT,1962,0
NOV,1962,1.7
DEC,1962,7.8
JAN,1963,0.4
FEB,1963,1.4
MAR,1963,1
APR,1963,2.7
MAY,1963,2
JUN,1963,33.2
JUL,1963,130.3
AUG,1963,283.9
SEP,1963,97.3
OCT,1963,6.9
NOV,1963,17.6
DEC,1963,0.9
JAN,1964,0
FEB,1964,0
MAR,1964,0
APR,1964,0.1
MAY,1964,30.6
JUN,1964,42
JUL,1964,211.1
AUG,1964,289.6
SEP,1964,71.7
OCT,1964,0.1
NOV,1964,0
DEC,1964,1
JAN,1965,4.6
FEB,1965,4.2
MAR,1965,1.9
APR,1965,3.1
MAY,1965,3.3
JUN,1965,7
JUL,1965,201.7
AUG,1965,106.9
SEP,1965,83.4
OCT,1965,7.8
NOV,1965,0
DEC,1965,0
JAN,1966,0.1
FEB,1966,2.6
MAR,1966,0
APR,1966,0
MAY,1966,12.7
JUN,1966,74.8
JUL,1966,141.7
AUG,1966,156.2
SEP,1966,81.3
OCT,1966,0.6
NOV,1966,3.1
DEC,1966,0.2
JAN,1967,0
FEB,1967,0
MAR,1967,57.4
APR,1967,1.4
MAY,1967,2.6
JUN,1967,87.3
JUL,1967,157.3
AUG,1967,250.9
SEP,1967,163.1
OCT,1967,1.1
NOV,1967,1.3
DEC,1967,37.7
JAN,1968,8.6
FEB,1968,1.5
MAR,1968,6.6
APR,1968,0.1
MAY,1968,4.2
JUN,1968,5.2
JUL,1968,296.2
AUG,1968,181.3
SEP,1968,10.7
OCT,1968,4.9
NOV,1968,0
DEC,1968,0.2
JAN,1969,3.5
FEB,1969,1.1
MAR,1969,1.7
APR,1969,1.9
MAY,1969,4.9
JUN,1969,16.7
JUL,1969,226.4
AUG,1969,258.5
SEP,1969,117.2
OCT,1969,0.1
NOV,1969,2.1
DEC,1969,0
JAN,1970,6.7
FEB,1970,25.3
MAR,1970,1.7
APR,1970,0.1
MAY,1970,5.8
JUN,1970,91.7
JUL,1970,146.3
AUG,1970,318.9
SEP,1970,117.3
OCT,1970,4.6
NOV,1970,0
DEC,1970,0
JAN,1971,2.8
FEB,1971,0.7
MAR,1971,0.1
APR,1971,1.2
MAY,1971,33
JUN,1971,171.3
JUL,1971,288.9
AUG,1971,155
SEP,1971,117.2
OCT,1971,13.6
NOV,1971,0.6
DEC,1971,0
JAN,1972,0.4
FEB,1972,4.4
MAR,1972,0
APR,1972,1.1
MAY,1972,0.8
JUN,1972,72.4
JUL,1972,86.7
AUG,1972,259.9
SEP,1972,21.9
OCT,1972,3.3
NOV,1972,3.3
DEC,1972,0.1
JAN,1973,3.3
FEB,1973,3.2
MAR,1973,0.6
APR,1973,0.1
MAY,1973,12.8
JUN,1973,36.1
JUL,1973,260.2
AUG,1973,380.9
SEP,1973,242.4
OCT,1973,6.7
NOV,1973,0
DEC,1973,1.9
JAN,1974,0
FEB,1974,0
MAR,1974,0.4
APR,1974,0.2
MAY,1974,18.1
JUN,1974,30.6
JUL,1974,297.8
AUG,1974,165.4
SEP,1974,19.2
OCT,1974,77
NOV,1974,0
DEC,1974,3.2
JAN,1975,1.2
FEB,1975,0.5
MAR,1975,1.4
APR,1975,0.2
MAY,1975,2.3
JUN,1975,87.1
JUL,1975,271
AUG,1975,317.6
SEP,1975,173.9
OCT,1975,42.6
NOV,1975,0.1
DEC,1975,0
JAN,1976,8.7
FEB,1976,6.4
MAR,1976,0.1
APR,1976,1.4
MAY,1976,12.2
JUN,1976,90.8
JUL,1976,201.2
AUG,1976,318
SEP,1976,126.2
OCT,1976,0.2
NOV,1976,50.2
DEC,1976,0
JAN,1977,10.8
FEB,1977,2.3
MAR,1977,0.1
APR,1977,6.4
MAY,1977,18.9
JUN,1977,112.7
JUL,1977,394.9
AUG,1977,223.1
SEP,1977,115.1
OCT,1977,1.1
NOV,1977,1.9
DEC,1977,0.2
JAN,1978,0.3
FEB,1978,10.3
MAR,1978,4.1
APR,1978,2.5
MAY,1978,0
JUN,1978,83.4
JUL,1978,302.9
AUG,1978,249.5
SEP,1978,55.9
OCT,1978,4.7
NOV,1978,8
DEC,1978,5.6
JAN,1979,6.6
FEB,1979,25.8
MAR,1979,2.8
APR,1979,0.9
MAY,1979,16.5
JUN,1979,47.6
JUL,1979,206.5
AUG,1979,129.7
SEP,1979,14.7
OCT,1979,3.3
NOV,1979,58.1
DEC,1979,2.7
JAN,1980,0.7
FEB,1980,0.5
MAR,1980,3.6
APR,1980,0.1
MAY,1980,1.7
JUN,1980,141.2
JUL,1980,203
AUG,1980,150.5
SEP,1980,28
OCT,1980,1
NOV,1980,0.8
DEC,1980,16.3
JAN,1981,4.4
FEB,1981,0.8
MAR,1981,4.7
APR,1981,0.2
MAY,1981,7.7
JUN,1981,57.7
JUL,1981,299.4
AUG,1981,141.8
SEP,1981,64.6
OCT,1981,8.7
NOV,1981,23.8
DEC,1981,1.5
JAN,1982,16.7
FEB,1982,4.4
MAR,1982,7.1
APR,1982,16.6
MAY,1982,32
JUN,1982,28.6
JUL,1982,178.1
AUG,1982,294.3
SEP,1982,19.4
OCT,1982,10.7
NOV,1982,48.4
DEC,1982,4
JAN,1983,3.6
FEB,1983,1.6
MAR,1983,0.1
APR,1983,29.4
MAY,1983,31.9
JUN,1983,72.4
JUL,1983,256.5
AUG,1983,240
SEP,1983,127.9
OCT,1983,31.8
NOV,1983,0
DEC,1983,0.1
JAN,1984,1.2
FEB,1984,0.3
MAR,1984,0
APR,1984,0.3
MAY,1984,0.3
JUN,1984,32.5
JUL,1984,147.9
AUG,1984,272
SEP,1984,108.8
OCT,1984,0.1
NOV,1984,0
DEC,1984,0
JAN,1985,0.9
FEB,1985,0.1
MAR,1985,0.6
APR,1985,3.9
MAY,1985,6
JUN,1985,21
JUL,1985,176.8
AUG,1985,245
SEP,1985,37.5
OCT,1985,87.6
NOV,1985,0.2
DEC,1985,8.5
JAN,1986,3.7
FEB,1986,21.3
MAR,1986,1.1
APR,1986,0.6
MAY,1986,24.4
JUN,1986,54.3
JUL,1986,312.6
AUG,1986,146.6
SEP,1986,18.7
OCT,1986,6.6
NOV,1986,0
DEC,1986,0.1
JAN,1987,11.2
FEB,1987,4.6
MAR,1987,1.5
APR,1987,0.1
MAY,1987,20.9
JUN,1987,44.2
JUL,1987,57.1
AUG,1987,226.2
SEP,1987,27.9
OCT,1987,19
NOV,1987,0
DEC,1987,23.2
JAN,1988,1.9
FEB,1988,1.4
MAR,1988,6.4
APR,1988,4.3
MAY,1988,2.2
JUN,1988,96.4
JUL,1988,229.8
AUG,1988,204.3
SEP,1988,82.3
OCT,1988,10.3
NOV,1988,0.1
DEC,1988,0.7
JAN,1989,6.8
FEB,1989,0.1
MAR,1989,2.2
APR,1989,0.1
MAY,1989,0.4
JUN,1989,52.5
JUL,1989,130.6
AUG,1989,283.7
SEP,1989,33.1
OCT,1989,0
NOV,1989,0.5
DEC,1989,0.5
JAN,1990,0
FEB,1990,27.5
MAR,1990,1
APR,1990,0.7
MAY,1990,18.9
JUN,1990,75.4
JUL,1990,229
AUG,1990,253.3
SEP,1990,162.3
OCT,1990,6.1
NOV,1990,5.1
DEC,1990,0.8
JAN,1991,0.2
FEB,1991,2.5
MAR,1991,0.4
APR,1991,11
MAY,1991,3
JUN,1991,18.1
