Month,Year,Rainfall
JAN,1901,62.6
FEB,1901,31.3
MAR,1901,8.2
APR,1901,1.1
MAY,1901,13.6
JUN,1901,21.8
JUL,1901,226.5
AUG,1901,285.6
SEP,1901,215.4
OCT,1901,4.9
NOV,1901,0.1
DEC,1901,2.1
JAN,1902,6.1
FEB,1902,2.3
MAR,1902,2.4
APR,1902,2
MAY,1902,21.4
JUN,1902,32.5
JUL,1902,411.5
AUG,1902,155.4
SEP,1902,257.2
OCT,1902,13.2
NOV,1902,1.2
DEC,1902,0
JAN,1903,8.2
FEB,1903,0.4
MAR,1903,1.3
APR,1903,0.7
MAY,1903,15.3
JUN,1903,71.6
JUL,1903,115.3
AUG,1903,420.2
SEP,1903,258.7
OCT,1903,324.7
NOV,1903,0
DEC,1903,0
JAN,1904,7.3
FEB,1904,1.5
MAR,1904,8.3
APR,1904,0.4
MAY,1904,28.7
JUN,1904,148
JUL,1904,359.4
AUG,1904,328.8
SEP,1904,95
OCT,1904,50.6
NOV,1904,17
DEC,1904,26.3
JAN,1905,16.8
FEB,1905,23.6
MAR,1905,20
APR,1905,5.4
MAY,1905,15.4
JUN,1905,17.3
JUL,1905,302.4
AUG,1905,316.2
SEP,1905,169.5
OCT,1905,3.3
NOV,1905,0
DEC,1905,1.6
JAN,1906,5.7
FEB,1906,58.2
MAR,1906,6.7
APR,1906,0
MAY,1906,13.5
JUN,1906,140.6
JUL,1906,341.2
AUG,1906,290.9
SEP,1906,135.5
OCT,1906,5.1
NOV,1906,0
DEC,1906,0.1
JAN,1907,2.1
FEB,1907,74.9
MAR,1907,19.2
APR,1907,20.3
MAY,1907,11.1
JUN,1907,48.6
JUL,1907,173.5
AUG,1907,290.9
SEP,1907,25.7
OCT,1907,0
NOV,1907,0
DEC,1907,0.1
JAN,1908,19.2
FEB,1908,15.7
MAR,1908,7.7
APR,1908,0.8
MAY,1908,5.2
JUN,1908,63.3
JUL,1908,230.5
AUG,1908,304
SEP,1908,86.1
OCT,1908,11.9
NOV,1908,0
DEC,1908,0.3
JAN,1909,8.4
FEB,1909,5.4
MAR,1909,0
APR,1909,66.6
MAY,1909,6.6
JUN,1909,248.9
JUL,1909,399
AUG,1909,206.9
