Month,Year,Rainfall
JAN,1901,37.1
FEB,1901,58.4
MAR,1901,3.9
APR,1901,64.1
MAY,1901,121.7
JUN,1901,198
JUL,1901,280.8
AUG,1901,275.7
SEP,1901,313.5
OCT,1901,51.1
NOV,1901,83.4
DEC,1901,0
JAN,1902,0
FEB,1902,1.2
MAR,1902,44.2
APR,1902,103.8
MAY,1902,161.6
JUN,1902,140.9
JUL,1902,347.8
AUG,1902,264.8
SEP,1902,230.5
OCT,1902,32.5
NOV,1902,10.4
DEC,1902,9.9
JAN,1903,17.5
FEB,1903,24.6
MAR,1903,37.3
APR,1903,30.6
MAY,1903,78.5
JUN,1903,201.7
JUL,1903,179.6
AUG,1903,277.6
SEP,1903,300.7
OCT,1903,198
NOV,1903,8.2
DEC,1903,0
JAN,1904,0.1
FEB,1904,23.9
MAR,1904,35.6
APR,1904,17.5
MAY,1904,160.2
JUN,1904,286.7
JUL,1904,435.3
AUG,1904,241.7
SEP,1904,142.8
OCT,1904,35.1
NOV,1904,4.1
DEC,1904,0.1
JAN,1905,30.9
FEB,1905,49.6
MAR,1905,84.7
APR,1905,84.9
MAY,1905,156.8
JUN,1905,70.9
JUL,1905,525.5
AUG,1905,263.6
SEP,1905,287.6
OCT,1905,107.3
NOV,1905,0
DEC,1905,5.2
JAN,1906,46.8
FEB,1906,123.6
MAR,1906,53.3
APR,1906,1.1
MAY,1906,81.3
JUN,1906,172
JUL,1906,307.1
AUG,1906,264.6
SEP,1906,193.2
OCT,1906,140
NOV,1906,12.5
DEC,1906,0
JAN,1907,0.7
FEB,1907,24.2
MAR,1907,94.9
APR,1907,39.7
MAY,1907,92.3
JUN,1907,347.6
JUL,1907,217.5
AUG,1907,249.9
SEP,1907,232.3
OCT,1907,13.3
NOV,1907,0
DEC,1907,24.7
JAN,1908,27
FEB,1908,5.1
MAR,1908,1.9
APR,1908,5.2
MAY,1908,109.9
JUN,1908,380.4
JUL,1908,383.5
AUG,1908,290.4
SEP,1908,174.9
OCT,1908,21.3
NOV,1908,0.2
DEC,1908,0
JAN,1909,5.6
FEB,1909,6.4
MAR,1909,0.6
APR,1909,145.2
MAY,1909,97.2
JUN,1909,335
JUL,1909,232.4
AUG,1909,504.3
SEP,1909,273
OCT,1909,75.3
NOV,1909,1.3
DEC,1909,21.4
JAN,1910,23
FEB,1910,10.8
MAR,1910,9.4
APR,1910,48.4
MAY,1910,101.7
JUN,1910,241.8
JUL,1910,319.4
AUG,1910,250.9
SEP,1910,209.6
OCT,1910,170.7
NOV,1910,0.2
DEC,1910,0
JAN,1911,1.2
FEB,1911,2.9
MAR,1911,42.8
APR,1911,35.3
MAY,1911,110.4
JUN,1911,276.6
JUL,1911,168.4
AUG,1911,261.5
SEP,1911,260.2
OCT,1911,93.3
NOV,1911,12.3
DEC,1911,0
JAN,1912,1.8
FEB,1912,23.6
MAR,1912,71.6
APR,1912,48.9
MAY,1912,109.3
JUN,1912,199.4
JUL,1912,325.3
AUG,1912,255
SEP,1912,134.3
OCT,1912,99.5
NOV,1912,78.7
DEC,1912,0
JAN,1913,4.1
FEB,1913,110.7
MAR,1913,35.1
APR,1913,12.8
MAY,1913,157
JUN,1913,512
JUL,1913,367.7
AUG,1913,290.3
SEP,1913,186.2
OCT,1913,122.6
NOV,1913,18.5
DEC,1913,9.8
JAN,1914,0
FEB,1914,31
MAR,1914,21.8
APR,1914,56.4
MAY,1914,230.9
JUN,1914,192.8
JUL,1914,400.8
AUG,1914,218.8
SEP,1914,186.4
OCT,1914,28.5
NOV,1914,0
DEC,1914,16.4
JAN,1915,6.1
FEB,1915,9.1
MAR,1915,79.5
APR,1915,26.5
MAY,1915,122.5
JUN,1915,224.5
JUL,1915,228.5
AUG,1915,236.7
SEP,1915,229.3
OCT,1915,88.3
NOV,1915,59
DEC,1915,0.3
JAN,1916,0.6
FEB,1916,2.1
MAR,1916,0.5
APR,1916,58.3
MAY,1916,42.3
JUN,1916,378.5
JUL,1916,148.9
AUG,1916,320.5
SEP,1916,283.8
OCT,1916,286.7
NOV,1916,78.2
DEC,1916,0.1
JAN,1917,0.4
FEB,1917,33.6
MAR,1917,19.7
APR,1917,29.4
MAY,1917,171.4
JUN,1917,366.8
JUL,1917,321.8
AUG,1917,259.9
SEP,1917,204.7
OCT,1917,358.3
NOV,1917,9.7
DEC,1917,0
JAN,1918,1.3
FEB,1918,0
MAR,1918,22.9
APR,1918,81.1
MAY,1918,177.8
JUN,1918,374.6
JUL,1918,194.2
AUG,1918,366.8
SEP,1918,169.2
OCT,1918,4.1
NOV,1918,0.3
DEC,1918,3
JAN,1919,41.9
FEB,1919,19.3
MAR,1919,10.5
APR,1919,61.8
MAY,1919,125.3
JUN,1919,306
JUL,1919,299
AUG,1919,385.9
SEP,1919,148.9
OCT,1919,48
NOV,1919,35.7
DEC,1919,0
JAN,1920,0.4
FEB,1920,36.7
MAR,1920,152.5
APR,1920,14.6
MAY,1920,77
JUN,1920,127.8
JUL,1920,380.3
AUG,1920,294.4
SEP,1920,171.2
OCT,1920,106.1
NOV,1920,2.5
DEC,1920,0
JAN,1921,36.5
FEB,1921,10.1
MAR,1921,13.2
APR,1921,57.4
MAY,1921,53.3
JUN,1921,238.4
JUL,1921,279.6
