Month,Year,Rainfall
JAN,1901,4.2
FEB,1901,0
MAR,1901,0.6
APR,1901,1.6
MAY,1901,7
JUN,1901,60.3
JUL,1901,240.2
AUG,1901,205.4
SEP,1901,18.1
OCT,1901,16.6
NOV,1901,0
DEC,1901,0.3
JAN,1902,3.9
FEB,1902,0
MAR,1902,0
APR,1902,0.6
MAY,1902,1
JUN,1902,32.8
JUL,1902,229.8
AUG,1902,299
SEP,1902,281.2
OCT,1902,2.3
NOV,1902,1.5
DEC,1902,11.9
JAN,1903,0.3
FEB,1903,0.1
MAR,1903,1.4
APR,1903,0
MAY,1903,12.3
JUN,1903,30.1
JUL,1903,452.9
AUG,1903,202
SEP,1903,183.2
OCT,1903,5.4
NOV,1903,0
DEC,1903,0
JAN,1904,0.8
FEB,1904,10.6
MAR,1904,16.8
APR,1904,0.2
MAY,1904,3.9
JUN,1904,48.3
JUL,1904,194.8
AUG,1904,71.8
SEP,1904,138
OCT,1904,6.1
NOV,1904,0.1
DEC,1904,1.2
JAN,1905,0.1
FEB,1905,0.7
MAR,1905,1.1
APR,1905,0.3
MAY,1905,0
JUN,1905,20.1
JUL,1905,668.3
AUG,1905,37.9
SEP,1905,81.3
OCT,1905,1.4
NOV,1905,0.2
DEC,1905,0.1
JAN,1906,0
FEB,1906,12.7
MAR,1906,0
APR,1906,0
MAY,1906,0.1
JUN,1906,177.5
JUL,1906,311.5
AUG,1906,247.1
SEP,1906,134.8
OCT,1906,5.9
NOV,1906,0
DEC,1906,0.9
JAN,1907,0.3
FEB,1907,14.6
MAR,1907,0.2
APR,1907,2.1
MAY,1907,0.4
JUN,1907,72.4
JUL,1907,325
AUG,1907,564.4
SEP,1907,17.5
OCT,1907,0
NOV,1907,0
DEC,1907,0
JAN,1908,5.2
FEB,1908,0.3
MAR,1908,0.2
APR,1908,0
MAY,1908,0.1
JUN,1908,67.5
JUL,1908,562.1
AUG,1908,366
SEP,1908,25.1
OCT,1908,1
NOV,1908,0
DEC,1908,0
JAN,1909,0.1
FEB,1909,0.5
MAR,1909,0.1
APR,1909,5.5
MAY,1909,2.6
JUN,1909,160.5
JUL,1909,415.6
AUG,1909,242.6
SEP,1909,143.3
OCT,1909,1.5
NOV,1909,0
DEC,1909,5.5
JAN,1910,0.6
FEB,1910,0
MAR,1910,0
APR,1910,0.1
MAY,1910,0
JUN,1910,262.6
JUL,1910,290.2
AUG,1910,338.5
SEP,1910,44.7
OCT,1910,23.1
NOV,1910,14.8
DEC,1910,0
JAN,1911,3.5
FEB,1911,0
MAR,1911,18.9
APR,1911,0
MAY,1911,0.9
JUN,1911,158
JUL,1911,66.7
AUG,1911,93.4
SEP,1911,57.7
OCT,1911,0.5
NOV,1911,3.8
DEC,1911,0.1
JAN,1912,0.1
FEB,1912,0
MAR,1912,0
APR,1912,0.2
MAY,1912,0.6
JUN,1912,105.1
JUL,1912,624.9
AUG,1912,291.1
SEP,1912,38.9
OCT,1912,13.6
NOV,1912,44.1
DEC,1912,0
JAN,1913,0
FEB,1913,0
MAR,1913,0.1
APR,1913,0
MAY,1913,13.5
JUN,1913,364.5
JUL,1913,423.2
AUG,1913,213.8
SEP,1913,146
OCT,1913,1.1
NOV,1913,0.1
DEC,1913,0.3
JAN,1914,0
FEB,1914,3.7
MAR,1914,0
APR,1914,0.2
MAY,1914,5.4
JUN,1914,222.3
JUL,1914,488.8
AUG,1914,137.7
SEP,1914,234.9
OCT,1914,8.5
NOV,1914,6
DEC,1914,0
JAN,1915,7.5
FEB,1915,1.9
MAR,1915,12.1
APR,1915,1.6
MAY,1915,2.3
JUN,1915,128.7
JUL,1915,128.9
AUG,1915,116.3
SEP,1915,52.7
OCT,1915,112.3
NOV,1915,2.8
DEC,1915,0.2
JAN,1916,0
FEB,1916,0
MAR,1916,0.2
APR,1916,0.1
MAY,1916,8.7
JUN,1916,126.7
JUL,1916,168.3
AUG,1916,418.9
SEP,1916,193.6
OCT,1916,32.4
NOV,1916,4
DEC,1916,0
JAN,1917,0.4
FEB,1917,7.4
MAR,1917,0
APR,1917,5.3
MAY,1917,98.3
JUN,1917,126.8
JUL,1917,320.1
AUG,1917,379.2
SEP,1917,353.7
OCT,1917,233.7
NOV,1917,0
DEC,1917,0
JAN,1918,0.4
FEB,1918,0
MAR,1918,0.2
APR,1918,0
MAY,1918,12.1
JUN,1918,37.8
JUL,1918,110.5
AUG,1918,213.4
SEP,1918,17.6
OCT,1918,0.2
NOV,1918,0.5
DEC,1918,0
JAN,1919,6.1
FEB,1919,0.1
MAR,1919,0
APR,1919,1.3
MAY,1919,2.1
JUN,1919,110
JUL,1919,335.9
AUG,1919,481.2
SEP,1919,78.1
OCT,1919,33
NOV,1919,19.6
DEC,1919,0
JAN,1920,44.1
FEB,1920,1.8
MAR,1920,0
APR,1920,0.2
MAY,1920,63.2
JUN,1920,189.3
JUL,1920,268.1
AUG,1920,110.4
SEP,1920,31.7
OCT,1920,0
NOV,1920,0
DEC,1920,0
JAN,1921,0.8
FEB,1921,0
MAR,1921,0
APR,1921,0
MAY,1921,0
JUN,1921,31.1
JUL,1921,529.7
AUG,1921,205.4
SEP,1921,405.1
OCT,1921,0.4
NOV,1921,0
DEC,1921,0.2
JAN,1922,2.1
FEB,1922,0
MAR,1922,0
APR,1922,0
MAY,1922,0
JUN,1922,130.8
JUL,1922,314.8
AUG,1922,106.8
SEP,1922,314.3
OCT,1922,5
NOV,1922,4.1
DEC,1922,0.7
JAN,1923,0
FEB,1923,5.2
MAR,1923,1.5
APR,1923,4
MAY,1923,4.6
JUN,1923,2.6
JUL,1923,295
AUG,1923,157.5
SEP,1923,81.9
OCT,1923,0.9
NOV,1923,0
DEC,1923,0
JAN,1924,1.4
FEB,1924,0
MAR,1924,0.4
APR,1924,0
MAY,1924,5.5
JUN,1924,117.3
JUL,1924,297.3
AUG,1924,267
SEP,1924,198.7
OCT,1924,21
NOV,1924,0
DEC,1924,1
JAN,1925,0
FEB,1925,0
MAR,1925,0.1
APR,1925,0
MAY,1925,25.8
JUN,1925,264.6
JUL,1925,199.3
AUG,1925,81.8
SEP,1925,14.2
OCT,1925,0.4
NOV,1925,6.6
DEC,1925,0.2
JAN,1926,6.5
FEB,1926,0
MAR,1926,0.9
APR,1926,2
MAY,1926,8.5
JUN,1926,20.1
JUL,1926,406.1
AUG,1926,471
SEP,1926,359.1
OCT,1926,0.1
NOV,1926,0.1
DEC,1926,0
JAN,1927,0
FEB,1927,4.9
MAR,1927,0
APR,1927,0.2
MAY,1927,1.9
JUN,1927,139.4
JUL,1927,903.3
AUG,1927,199.2
SEP,1927,113.9
OCT,1927,26.2
NOV,1927,18.3
DEC,1927,14.8
JAN,1928,0
FEB,1928,0.2
MAR,1928,0
APR,1928,0
MAY,1928,0
JUN,1928,51.5
JUL,1928,372.7
AUG,1928,220.5
SEP,1928,138.3
OCT,1928,19.6
NOV,1928,16.4
DEC,1928,1.8
JAN,1929,1.9
FEB,1929,0
MAR,1929,0
APR,1929,5.5
MAY,1929,0.9
JUN,1929,123.6
JUL,1929,353.7
AUG,1929,150.7
SEP,1929,20.6
OCT,1929,7.2
NOV,1929,0.6
DEC,1929,11.6
JAN,1930,2
FEB,1930,0.2
MAR,1930,0.2
APR,1930,0.1
MAY,1930,1.1
JUN,1930,160.2
JUL,1930,426
AUG,1930,152.9
SEP,1930,102.8
OCT,1930,48.2
NOV,1930,0
DEC,1930,0.9
JAN,1931,0
FEB,1931,0.1
MAR,1931,0
APR,1931,0
MAY,1931,1.7
JUN,1931,18.4
JUL,1931,332.5
AUG,1931,546.3
SEP,1931,86.4
OCT,1931,113.6
NOV,1931,4.2
DEC,1931,1.3
JAN,1932,0
FEB,1932,0
MAR,1932,0.8
APR,1932,0.4
MAY,1932,0.4
JUN,1932,57.9
JUL,1932,540
AUG,1932,146.6
SEP,1932,129.2
OCT,1932,30.1
NOV,1932,0.9
DEC,1932,0.3
JAN,1933,0
FEB,1933,3.4
MAR,1933,0.7
APR,1933,3.5
MAY,1933,44.3
JUN,1933,118.3
JUL,1933,241.3
AUG,1933,473.6
SEP,1933,227.5
OCT,1933,15.1
NOV,1933,1.4
DEC,1933,7.9
JAN,1934,0.1
FEB,1934,0
MAR,1934,0.7
APR,1934,0.3
MAY,1934,0
JUN,1934,219.7
JUL,1934,266.1
AUG,1934,392.9
SEP,1934,81.2
OCT,1934,0.9
NOV,1934,17.6
DEC,1934,0
JAN,1935,7.3
FEB,1935,0
MAR,1935,0
APR,1935,1.6
MAY,1935,0.4
JUN,1935,82.4
JUL,1935,356
AUG,1935,107.1
SEP,1935,187.6
OCT,1935,14.2
NOV,1935,0.1
DEC,1935,0.3
JAN,1936,0
FEB,1936,1.8
MAR,1936,1.3
APR,1936,0
MAY,1936,0.8
JUN,1936,189.4
JUL,1936,133.4
AUG,1936,52.9
SEP,1936,175.8
OCT,1936,1.3
NOV,1936,52.5
DEC,1936,0
JAN,1937,0
FEB,1937,4
MAR,1937,0.2
APR,1937,0.1
MAY,1937,0
JUN,1937,260.6
JUL,1937,577.8
AUG,1937,32
SEP,1937,320.1
OCT,1937,3.3
NOV,1937,0.1
DEC,1937,4.8
JAN,1938,0
FEB,1938,0.1
MAR,1938,0
APR,1938,0
MAY,1938,15.8
JUN,1938,265
JUL,1938,342.6
AUG,1938,134.6
SEP,1938,26.3
OCT,1938,30.3
NOV,1938,0
DEC,1938,0
JAN,1939,0
FEB,1939,1.1
MAR,1939,3.1
APR,1939,0
MAY,1939,0
JUN,1939,30.3
JUL,1939,210.3
AUG,1939,265.3
SEP,1939,91.6
OCT,1939,1.3
NOV,1939,2.4
DEC,1939,0.2
JAN,1940,11.3
FEB,1940,4.4
MAR,1940,10.1
APR,1940,2
MAY,1940,1.5
JUN,1940,152.6
JUL,1940,208.3
AUG,1940,241.8
SEP,1940,119.8
OCT,1940,91.5
NOV,1940,26.7
DEC,1940,0
JAN,1941,1
FEB,1941,12.5
MAR,1941,0.1
APR,1941,0.7
MAY,1941,0.9
JUN,1941,42.5
JUL,1941,671.9
AUG,1941,187.7
SEP,1941,40.7
OCT,1941,3.3
NOV,1941,0
DEC,1941,0.4
JAN,1942,2
FEB,1942,13.7
MAR,1942,0
APR,1942,0
MAY,1942,9
JUN,1942,130.1
JUL,1942,501.1
AUG,1942,367.8
SEP,1942,162.6
OCT,1942,0
NOV,1942,0
DEC,1942,0.3
JAN,1943,0.1
FEB,1943,0
MAR,1943,0
APR,1943,0.6
MAY,1943,19
JUN,1943,132.8
JUL,1943,484.2
AUG,1943,80.9
SEP,1943,152.2
OCT,1943,42.6
NOV,1943,0.4
DEC,1943,0
JAN,1944,2.9
FEB,1944,0
MAR,1944,5.1
APR,1944,2.3
MAY,1944,2.3
JUN,1944,110.1
JUL,1944,625.9
AUG,1944,502.7
SEP,1944,72.2
OCT,1944,16.9
NOV,1944,0
DEC,1944,0
JAN,1945,7
FEB,1945,0
MAR,1945,0
APR,1945,1.9
MAY,1945,0.7
JUN,1945,160.9
JUL,1945,518.8
AUG,1945,245.3
SEP,1945,339.5
OCT,1945,2.7
NOV,1945,0
DEC,1945,0
JAN,1946,0
FEB,1946,2.1
MAR,1946,0
APR,1946,1.1
MAY,1946,4.2
JUN,1946,233.3
JUL,1946,291.7
AUG,1946,469.6
SEP,1946,104.6
OCT,1946,1.1
NOV,1946,34.4
DEC,1946,5.5
JAN,1947,0.4
FEB,1947,0
MAR,1947,0
APR,1947,40.4
MAY,1947,0
JUN,1947,5.4
JUL,1947,216.7
AUG,1947,257.1
SEP,1947,252.7
OCT,1947,8.3
NOV,1947,2.3
DEC,1947,0
JAN,1948,11.7
FEB,1948,0.4
MAR,1948,0
APR,1948,0
MAY,1948,0.7
JUN,1948,65.5
JUL,1948,185.9
AUG,1948,115.9
SEP,1948,49.8
OCT,1948,18.2
NOV,1948,25.1
DEC,1948,0.6
JAN,1949,0
FEB,1949,0.1
MAR,1949,0
APR,1949,0
MAY,1949,2.5
JUN,1949,35.2
JUL,1949,290
AUG,1949,205.5
SEP,1949,241.1
OCT,1949,23.5
NOV,1949,2.5
DEC,1949,0
JAN,1950,0
FEB,1950,0
MAR,1950,0
APR,1950,0
MAY,1950,0.1
JUN,1950,11.7
JUL,1950,730.7
AUG,1950,76.9
SEP,1950,306.6
OCT,1950,3.3
NOV,1950,0
DEC,1950,0
JAN,1951,0
FEB,1951,0
MAR,1951,0.4
APR,1951,0.3
MAY,1951,2.1
JUN,1951,65.6
JUL,1951,218.6
AUG,1951,162.6
SEP,1951,7.3
OCT,1951,13.9
NOV,1951,7.3
DEC,1951,0.3
JAN,1952,0
FEB,1952,0
MAR,1952,0
APR,1952,0
MAY,1952,0.2
JUN,1952,138.7
JUL,1952,487.7
AUG,1952,136.4
SEP,1952,11.6
OCT,1952,1.8
NOV,1952,0
DEC,1952,0
JAN,1953,12.6
FEB,1953,0
MAR,1953,0
APR,1953,0.1
MAY,1953,0.3
JUN,1953,143.6
JUL,1953,240
AUG,1953,552.9
SEP,1953,104.5
OCT,1953,1
NOV,1953,0
DEC,1953,0.4
JAN,1954,0.1
FEB,1954,2
MAR,1954,5.5
APR,1954,0
MAY,1954,0.2
JUN,1954,114.3
JUL,1954,355
