Month,Year,Rainfall
JAN,1901,35.4
FEB,1901,28.9
MAR,1901,11.1
APR,1901,0
MAY,1901,5.1
JUN,1901,13.2
JUL,1901,126.4
AUG,1901,151.5
SEP,1901,10.5
OCT,1901,2
NOV,1901,0
DEC,1901,6.1
JAN,1902,0
FEB,1902,0.7
MAR,1902,2.9
APR,1902,10.2
MAY,1902,15.8
JUN,1902,74.6
JUL,1902,149.3
AUG,1902,97.1
SEP,1902,59.8
OCT,1902,9.3
NOV,1902,0
DEC,1902,0
JAN,1903,14.7
FEB,1903,0.5
MAR,1903,2.3
APR,1903,0.5
MAY,1903,8.5
JUN,1903,8.6
JUL,1903,151.6
AUG,1903,138.2
SEP,1903,97.7
OCT,1903,4
NOV,1903,0
DEC,1903,2.3
JAN,1904,7.6
FEB,1904,0.7
MAR,1904,48
APR,1904,0.5
MAY,1904,29.3
JUN,1904,34.3
JUL,1904,109.7
AUG,1904,162.9
SEP,1904,102.3
OCT,1904,1.5
NOV,1904,10.4
DEC,1904,20.3
JAN,1905,44.8
FEB,1905,20.8
MAR,1905,14
APR,1905,1.3
MAY,1905,7.4
JUN,1905,20.1
JUL,1905,93.6
AUG,1905,23.1
SEP,1905,92.6
OCT,1905,0
NOV,1905,0
DEC,1905,5.1
JAN,1906,3.6
FEB,1906,64.1
MAR,1906,31.4
APR,1906,0.1
MAY,1906,1.4
JUN,1906,70.2
JUL,1906,128.9
AUG,1906,103.8
SEP,1906,185.2
OCT,1906,0
NOV,1906,0
DEC,1906,5
JAN,1907,14.3
FEB,1907,42.8
MAR,1907,25.9
APR,1907,33.5
MAY,1907,7.8
JUN,1907,20
JUL,1907,123.2
AUG,1907,175.3
SEP,1907,1
OCT,1907,0.1
NOV,1907,0
DEC,1907,0
JAN,1908,31.4
FEB,1908,6.1
MAR,1908,0.1
APR,1908,7.6
MAY,1908,22.4
JUN,1908,14.5
JUL,1908,196.6
AUG,1908,398.2
SEP,1908,10.1
OCT,1908,0.3
NOV,1908,1.1
DEC,1908,0.6
JAN,1909,5.9
FEB,1909,13.1
MAR,1909,0
APR,1909,78.1
MAY,1909,2.8
JUN,1909,123.7
JUL,1909,228.7
AUG,1909,118.9
SEP,1909,162.4
OCT,1909,3.1
NOV,1909,0
DEC,1909,32.7
JAN,1910,19.7
FEB,1910,5.1
MAR,1910,0.1
APR,1910,2.1
MAY,1910,3.1
JUN,1910,69
JUL,1910,107.9
AUG,1910,150.4
SEP,1910,159.7
OCT,1910,87.3
NOV,1910,0
DEC,1910,0.8
JAN,1911,66.5
FEB,1911,1.3
MAR,1911,53.3
APR,1911,0.7
MAY,1911,0.1
JUN,1911,53.1
JUL,1911,26.3
AUG,1911,49.3
SEP,1911,208.7
OCT,1911,10.7
NOV,1911,39.7
DEC,1911,0
JAN,1912,43.4
FEB,1912,12.5
MAR,1912,9
APR,1912,9.2
MAY,1912,2.8
JUN,1912,26.5
JUL,1912,161.1
AUG,1912,134.2
SEP,1912,119.5
OCT,1912,0
NOV,1912,10.5
DEC,1912,0.5
JAN,1913,1.1
FEB,1913,42.9
MAR,1913,22.4
APR,1913,1.9
MAY,1913,69.7
JUN,1913,111.8
JUL,1913,142.9
AUG,1913,82.3
SEP,1913,22.6
OCT,1913,0.7
NOV,1913,0.9
DEC,1913,9.3
JAN,1914,2.3
FEB,1914,7
MAR,1914,4.7
APR,1914,22.7
MAY,1914,21
JUN,1914,51.1
JUL,1914,252
AUG,1914,100
SEP,1914,182.9
OCT,1914,18.7
NOV,1914,2
DEC,1914,0.3
JAN,1915,30.7
FEB,1915,49.1
MAR,1915,40.9
APR,1915,7.1
MAY,1915,8
JUN,1915,39.9
JUL,1915,66.9
AUG,1915,69.9
SEP,1915,101.7
OCT,1915,6.4
NOV,1915,0
DEC,1915,1.8
JAN,1916,0.5
FEB,1916,15.7
MAR,1916,0.2
APR,1916,2.3
MAY,1916,12.5
JUN,1916,71.2
JUL,1916,139.7
AUG,1916,217.7
SEP,1916,107.8
OCT,1916,61.6
NOV,1916,0
DEC,1916,0
JAN,1917,6.1
FEB,1917,7.4
MAR,1917,3.2
APR,1917,34.5
MAY,1917,25.8
JUN,1917,64.6
JUL,1917,164.3
AUG,1917,210.9
SEP,1917,361.5
OCT,1917,101
NOV,1917,0
DEC,1917,7.5
JAN,1918,10
FEB,1918,0
MAR,1918,11.1
APR,1918,9.9
MAY,1918,1.1
JUN,1918,34.3
JUL,1918,20
AUG,1918,142.1
SEP,1918,5
OCT,1918,0.3
NOV,1918,0.8
DEC,1918,0
JAN,1919,61
FEB,1919,2.7
MAR,1919,8.4
APR,1919,2.3
MAY,1919,14.8
JUN,1919,7
JUL,1919,208.7
AUG,1919,172.1
SEP,1919,50.6
OCT,1919,0
NOV,1919,3.4
DEC,1919,22.8
JAN,1920,11.2
FEB,1920,12.9
MAR,1920,13.2
APR,1920,0.2
MAY,1920,21.6
JUN,1920,73
JUL,1920,194.8
AUG,1920,30.8
SEP,1920,9.6
