Month,Year,Rainfall
JAN,1901,137.8
FEB,1901,174.5
MAR,1901,75
APR,1901,19.2
MAY,1901,89.6
JUN,1901,32.7
JUL,1901,280.5
AUG,1901,459.7
SEP,1901,53
OCT,1901,3.9
NOV,1901,0
DEC,1901,19.1
JAN,1902,6.5
FEB,1902,27
MAR,1902,104.4
APR,1902,76.2
MAY,1902,61.3
JUN,1902,78.8
JUL,1902,258.6
AUG,1902,199.3
SEP,1902,113.4
OCT,1902,23.6
NOV,1902,2.5
DEC,1902,0
JAN,1903,76.5
FEB,1903,21.4
MAR,1903,213.7
APR,1903,25.4
MAY,1903,54.7
JUN,1903,32.2
JUL,1903,157.7
AUG,1903,256.5
SEP,1903,107.9
OCT,1903,5.8
NOV,1903,0.2
DEC,1903,41.4
JAN,1904,79.3
FEB,1904,22.4
MAR,1904,131.7
APR,1904,48
MAY,1904,90.3
JUN,1904,33.1
JUL,1904,241.1
AUG,1904,184.3
SEP,1904,56.4
OCT,1904,51.6
NOV,1904,17.3
DEC,1904,32
JAN,1905,81.3
FEB,1905,76.8
MAR,1905,160.2
APR,1905,39.3
MAY,1905,50.4
JUN,1905,43.6
JUL,1905,191.1
AUG,1905,132.8
SEP,1905,119.1
OCT,1905,0.3
NOV,1905,0.9
DEC,1905,34.4
JAN,1906,44.1
FEB,1906,143.9
MAR,1906,89.5
APR,1906,5.3
MAY,1906,29.9
JUN,1906,152.6
JUL,1906,168.7
AUG,1906,433.7
SEP,1906,230.9
OCT,1906,2.9
NOV,1906,0
DEC,1906,15.9
JAN,1907,124.2
FEB,1907,145.1
MAR,1907,144.9
APR,1907,73
MAY,1907,34.2
JUN,1907,23.7
JUL,1907,95.7
AUG,1907,200.6
SEP,1907,18.9
OCT,1907,14.9
NOV,1907,0
DEC,1907,0
JAN,1908,38.4
FEB,1908,76.1
MAR,1908,12.3
APR,1908,181.7
MAY,1908,43.6
JUN,1908,46.8
JUL,1908,225.6
AUG,1908,287.4
SEP,1908,43
OCT,1908,2.8
NOV,1908,7.3
DEC,1908,22.5
JAN,1909,111
FEB,1909,82.1
MAR,1909,25.4
APR,1909,31.7
MAY,1909,19
JUN,1909,107.6
JUL,1909,292.4
AUG,1909,234.5
SEP,1909,105.9
OCT,1909,17.6
NOV,1909,0
DEC,1909,49.9
JAN,1910,49.9
FEB,1910,48.9
MAR,1910,42.7
APR,1910,48.9
MAY,1910,46.8
JUN,1910,133.5
JUL,1910,408.3
AUG,1910,355.4
SEP,1910,174.2
OCT,1910,37
NOV,1910,5.5
DEC,1910,55.8
JAN,1911,246.3
FEB,1911,21.9
MAR,1911,277.3
APR,1911,35.1
MAY,1911,8.8
JUN,1911,121
JUL,1911,103.2
AUG,1911,240.9
SEP,1911,174.4
OCT,1911,24
NOV,1911,75.2
DEC,1911,5.8
JAN,1912,95.6
FEB,1912,34.7
MAR,1912,55.7
APR,1912,60.1
MAY,1912,54.3
JUN,1912,36.9
JUL,1912,357.6
AUG,1912,346.8
SEP,1912,126.6
OCT,1912,1
NOV,1912,26.9
DEC,1912,11.4
JAN,1913,21.3
FEB,1913,126.6
MAR,1913,72.4
APR,1913,35.5
MAY,1913,114.6
JUN,1913,168
JUL,1913,215.4
AUG,1913,239
SEP,1913,40.3
OCT,1913,14.1
NOV,1913,20.3
DEC,1913,51.8
JAN,1914,15.9
FEB,1914,88.8
MAR,1914,105.5
APR,1914,110.8
MAY,1914,76.1
JUN,1914,135.1
JUL,1914,495.4
AUG,1914,292.7
SEP,1914,269.6
OCT,1914,71.6
NOV,1914,22.5
DEC,1914,51.9
JAN,1915,62.2
FEB,1915,100.4
MAR,1915,90
APR,1915,66.6
MAY,1915,19.4
JUN,1915,67.5
JUL,1915,249
AUG,1915,380.6
SEP,1915,157.7
OCT,1915,23.4
NOV,1915,0
DEC,1915,20
JAN,1916,10.4
FEB,1916,75.3
MAR,1916,33.7
APR,1916,41.8
MAY,1916,35.3
JUN,1916,238.9
JUL,1916,275.8
AUG,1916,254.9
SEP,1916,118.9
OCT,1916,86.9
NOV,1916,0
DEC,1916,0.2
JAN,1917,20.4
FEB,1917,30
MAR,1917,61.8
APR,1917,162.9
MAY,1917,79.8
JUN,1917,135.1
JUL,1917,376.3
AUG,1917,309.8
SEP,1917,330.3
OCT,1917,174.4
NOV,1917,0
DEC,1917,22.7
JAN,1918,21.2
FEB,1918,22.3
MAR,1918,171.2
APR,1918,103.4
MAY,1918,14.3
JUN,1918,135.6
JUL,1918,200.6
AUG,1918,208.9
SEP,1918,21.5
OCT,1918,7.9
NOV,1918,51
DEC,1918,26.9
JAN,1919,141.3
FEB,1919,47.4
MAR,1919,75.6
APR,1919,60.4
MAY,1919,43.5
JUN,1919,80.1
JUL,1919,417.3
AUG,1919,227.8
SEP,1919,66.5
OCT,1919,0.7
NOV,1919,9.8
DEC,1919,42.9
JAN,1920,53
FEB,1920,58.1
MAR,1920,126.1
APR,1920,32.8
MAY,1920,109.4
JUN,1920,55.6
JUL,1920,385.1
AUG,1920,168
SEP,1920,76
OCT,1920,3.3
NOV,1920,0
DEC,1920,17.4
JAN,1921,87.8
FEB,1921,20.9
