Month,Year,Rainfall
JAN,1901,66.4
FEB,1901,69.3
MAR,1901,69.6
APR,1901,132.2
MAY,1901,105.8
JUN,1901,53.4
JUL,1901,171.7
AUG,1901,181.3
SEP,1901,101.8
OCT,1901,24.1
NOV,1901,0
DEC,1901,4.4
JAN,1902,6.5
FEB,1902,9.7
MAR,1902,91.3
APR,1902,100.5
MAY,1902,70.7
JUN,1902,113.3
JUL,1902,108.4
AUG,1902,136.9
SEP,1902,62.2
OCT,1902,15.1
NOV,1902,44
DEC,1902,1.8
JAN,1903,96.2
FEB,1903,21.5
MAR,1903,238.6
APR,1903,58.7
MAY,1903,57.3
JUN,1903,18.9
JUL,1903,332.5
AUG,1903,218.6
SEP,1903,176.9
OCT,1903,10.7
NOV,1903,15
DEC,1903,41.8
JAN,1904,110.6
FEB,1904,17.3
MAR,1904,145.2
APR,1904,64.5
MAY,1904,67.8
JUN,1904,25.9
JUL,1904,182.3
AUG,1904,132.2
SEP,1904,62.3
OCT,1904,50
NOV,1904,24.8
DEC,1904,99.2
JAN,1905,146.7
FEB,1905,76.3
MAR,1905,161.4
APR,1905,71.7
MAY,1905,65.2
JUN,1905,43.3
JUL,1905,145.2
AUG,1905,111.5
SEP,1905,239.7
OCT,1905,5.8
NOV,1905,0.6
DEC,1905,90.2
JAN,1906,81
FEB,1906,160.4
MAR,1906,167.2
APR,1906,49.3
MAY,1906,39.4
JUN,1906,52.2
JUL,1906,107
AUG,1906,257.4
SEP,1906,237
OCT,1906,5.3
NOV,1906,0
DEC,1906,36.9
JAN,1907,99.6
FEB,1907,195.8
MAR,1907,132.2
APR,1907,151
MAY,1907,57
JUN,1907,85.9
JUL,1907,85.1
AUG,1907,220.3
SEP,1907,24.9
OCT,1907,13.9
NOV,1907,3.1
DEC,1907,0.8
JAN,1908,86.4
FEB,1908,51.4
MAR,1908,28.1
APR,1908,195.8
MAY,1908,45.3
JUN,1908,26.1
JUL,1908,233.3
AUG,1908,345.9
SEP,1908,118.9
OCT,1908,9
NOV,1908,1.2
DEC,1908,86
JAN,1909,91.9
FEB,1909,149.3
MAR,1909,56.1
APR,1909,48
MAY,1909,43.1
JUN,1909,68.2
JUL,1909,252.2
AUG,1909,264.7
SEP,1909,237.7
OCT,1909,55.2
NOV,1909,0.1
DEC,1909,73.4
JAN,1910,123.6
FEB,1910,85.1
MAR,1910,65.6
APR,1910,99.7
MAY,1910,33
JUN,1910,126.2
JUL,1910,193.7
AUG,1910,276.1
SEP,1910,39.4
OCT,1910,0.4
NOV,1910,0.1
DEC,1910,66.7
JAN,1911,344.8
FEB,1911,52.3
MAR,1911,285.4
APR,1911,53.1
MAY,1911,18.7
JUN,1911,76.7
JUL,1911,95.1
AUG,1911,144.4
SEP,1911,72.8
OCT,1911,15.1
NOV,1911,93.6
DEC,1911,28.1
JAN,1912,169.8
FEB,1912,39.7
MAR,1912,107.5
APR,1912,102.8
MAY,1912,61.1
JUN,1912,22.9
JUL,1912,192.7
AUG,1912,152.9
