Month,Year,Rainfall
JAN,1901,92.7
FEB,1901,66.6
MAR,1901,11.1
APR,1901,18.4
MAY,1901,33.5
JUN,1901,70.9
JUL,1901,269.4
AUG,1901,415.1
SEP,1901,248
OCT,1901,37.3
NOV,1901,11.5
DEC,1901,0
JAN,1902,4.2
FEB,1902,7.7
MAR,1902,13.2
APR,1902,28.5
MAY,1902,59.8
JUN,1902,89.9
JUL,1902,456.1
AUG,1902,204.9
SEP,1902,306.6
OCT,1902,17.6
NOV,1902,5.9
DEC,1902,3.2
JAN,1903,25.1
FEB,1903,19.5
MAR,1903,10.7
APR,1903,32.8
MAY,1903,56.4
JUN,1903,142.1
JUL,1903,206.1
AUG,1903,280.8
SEP,1903,190.2
OCT,1903,210.1
NOV,1903,0.5
DEC,1903,0
JAN,1904,2.5
FEB,1904,17
MAR,1904,38.1
APR,1904,9.1
MAY,1904,116.1
JUN,1904,308.9
JUL,1904,494.1
AUG,1904,336.1
SEP,1904,125.6
OCT,1904,30.6
NOV,1904,2.3
DEC,1904,0.4
JAN,1905,38.4
FEB,1905,53.3
MAR,1905,61.6
APR,1905,32.9
MAY,1905,66.2
JUN,1905,41.5
JUL,1905,420.3
AUG,1905,293.7
SEP,1905,322.8
OCT,1905,21.3
NOV,1905,0
DEC,1905,2.7
JAN,1906,45.8
FEB,1906,128.5
MAR,1906,35.9
APR,1906,1.7
MAY,1906,33.9
JUN,1906,170.9
JUL,1906,355.6
AUG,1906,251.6
SEP,1906,185.4
OCT,1906,96.8
NOV,1906,7.1
DEC,1906,1.1
JAN,1907,2
FEB,1907,59.3
MAR,1907,76
APR,1907,26.3
MAY,1907,27.4
JUN,1907,338.1
JUL,1907,230.4
AUG,1907,469.4
SEP,1907,200.2
OCT,1907,1.7
NOV,1907,0
DEC,1907,24.8
JAN,1908,12.2
FEB,1908,46.4
MAR,1908,4.8
APR,1908,0.6
MAY,1908,48.6
JUN,1908,210.1
JUL,1908,326.2
AUG,1908,368
SEP,1908,171.6
OCT,1908,25.5
NOV,1908,0.1
DEC,1908,0.1
JAN,1909,32.2
FEB,1909,10.1
MAR,1909,0.9
APR,1909,78.8
MAY,1909,27.2
JUN,1909,314
JUL,1909,319.9
AUG,1909,360.3
SEP,1909,267.8
OCT,1909,23.4
NOV,1909,0
DEC,1909,13.3
