Month,Year,Rainfall
JAN,1901,28.7
FEB,1901,44.7
MAR,1901,51.6
APR,1901,160
MAY,1901,174.7
JUN,1901,824.6
JUL,1901,743
AUG,1901,357.5
SEP,1901,197.7
OCT,1901,266.9
NOV,1901,350.8
DEC,1901,48.4
JAN,1902,6.7
FEB,1902,2.6
MAR,1902,57.3
APR,1902,83.9
MAY,1902,134.5
JUN,1902,390.9
JUL,1902,1205
AUG,1902,315.8
SEP,1902,491.6
OCT,1902,358.4
NOV,1902,158.3
DEC,1902,121.5
JAN,1903,3.2
FEB,1903,18.6
MAR,1903,3.1
APR,1903,83.6
MAY,1903,249.7
JUN,1903,558.6
JUL,1903,1022.5
AUG,1903,420.2
SEP,1903,341.8
OCT,1903,354.1
NOV,1903,157
DEC,1903,59
JAN,1904,23.7
FEB,1904,3
MAR,1904,32.2
APR,1904,71.5
MAY,1904,235.7
JUN,1904,1098.2
JUL,1904,725.5
AUG,1904,351.8
SEP,1904,222.7
OCT,1904,328.1
NOV,1904,33.9
DEC,1904,3.3
JAN,1905,1.2
FEB,1905,22.3
MAR,1905,9.4
APR,1905,105.9
MAY,1905,263.3
JUN,1905,850.2
JUL,1905,520.5
AUG,1905,293.6
SEP,1905,217.2
OCT,1905,383.5
NOV,1905,74.4
DEC,1905,0.2
JAN,1906,26.7
FEB,1906,7.4
MAR,1906,9.9
APR,1906,59.4
MAY,1906,160.8
JUN,1906,414.9
JUL,1906,954.2
AUG,1906,442.8
SEP,1906,131.2
OCT,1906,251.7
NOV,1906,163.1
DEC,1906,86
JAN,1907,18.8
FEB,1907,4.8
MAR,1907,55.7
APR,1907,170.8
MAY,1907,101.4
JUN,1907,770.9
JUL,1907,760.4
AUG,1907,981.5
SEP,1907,225
OCT,1907,309.7
NOV,1907,219.1
DEC,1907,52.8
JAN,1908,8
FEB,1908,20.8
MAR,1908,38.2
APR,1908,102.9
MAY,1908,142.6
JUN,1908,592.6
JUL,1908,902.2
AUG,1908,352.9
SEP,1908,175.9
OCT,1908,253.3
NOV,1908,47.9
DEC,1908,11
JAN,1909,54.1
FEB,1909,11.8
MAR,1909,61.3
APR,1909,93.8
MAY,1909,473.2
JUN,1909,704.7
JUL,1909,782.3
AUG,1909,258
SEP,1909,195.4
OCT,1909,212.1
NOV,1909,171.1
DEC,1909,32.3
JAN,1910,2.7
FEB,1910,25.7
MAR,1910,23.3
APR,1910,124.5
MAY,1910,148.8
JUN,1910,680
JUL,1910,484.1
AUG,1910,473.8
SEP,1910,248.6
OCT,1910,356.6
NOV,1910,280.4
DEC,1910,0.1
JAN,1911,3
FEB,1911,4.3
MAR,1911,18.2
APR,1911,51
MAY,1911,180.6
JUN,1911,990
JUL,1911,705.3
AUG,1911,178.6
SEP,1911,60.2
OCT,1911,302.3
NOV,1911,145.7
DEC,1911,87.6
JAN,1912,1.9
FEB,1912,15
MAR,1912,11.2
APR,1912,122.7
MAY,1912,217.3
JUN,1912,948.2
JUL,1912,833.6
AUG,1912,534.4
SEP,1912,136.8
OCT,1912,469.5
NOV,1912,138.7
DEC,1912,22
JAN,1913,3.1
FEB,1913,5.2
MAR,1913,20.7
APR,1913,75.7
MAY,1913,198.8
JUN,1913,541.7
JUL,1913,763.2
AUG,1913,247.2
SEP,1913,176.9
OCT,1913,422.5
NOV,1913,109.9
DEC,1913,45.8
JAN,1914,0.7
FEB,1914,6.8
MAR,1914,18.1
APR,1914,32.7
MAY,1914,164.2
JUN,1914,565.3
JUL,1914,857.7
AUG,1914,402.2
SEP,1914,241
OCT,1914,374.4
NOV,1914,100.9
DEC,1914,135.2
JAN,1915,16.9
FEB,1915,23.5
MAR,1915,42.7
APR,1915,106
MAY,1915,154.5
JUN,1915,696.1
JUL,1915,775.6
AUG,1915,298.8
SEP,1915,396.6
OCT,1915,196.6
NOV,1915,302.5
DEC,1915,14.9
JAN,1916,0
FEB,1916,7.8
MAR,1916,22
APR,1916,82.4
MAY,1916,199
JUN,1916,920.2
JUL,1916,513.9
AUG,1916,396.9
SEP,1916,339.3
OCT,1916,320.7
NOV,1916,134.3
DEC,1916,8.9
JAN,1917,2.9
FEB,1917,47.6
MAR,1917,79.4
APR,1917,38.1
MAY,1917,122.9
JUN,1917,703.7
JUL,1917,342.7
AUG,1917,335.1
SEP,1917,470.3
OCT,1917,264.1
NOV,1917,256.4
DEC,1917,41.6
JAN,1918,42.9
FEB,1918,5
MAR,1918,32.8
APR,1918,51.3
MAY,1918,683
JUN,1918,464.3
JUL,1918,167.5
AUG,1918,376
SEP,1918,96.4
OCT,1918,233.2
NOV,1918,295.4
DEC,1918,54.1
JAN,1919,43
FEB,1919,6.1
MAR,1919,33.9
APR,1919,65.9
MAY,1919,247
JUN,1919,636.8
JUL,1919,648
AUG,1919,484.2
SEP,1919,255.9
OCT,1919,249.2
NOV,1919,280.1
DEC,1919,53
JAN,1920,35.2
FEB,1920,5.5
MAR,1920,24.1
APR,1920,172
MAY,1920,87.7
JUN,1920,964.3
JUL,1920,940.8
AUG,1920,235
SEP,1920,178
OCT,1920,350.1
NOV,1920,302.3
DEC,1920,8.2
JAN,1921,43
FEB,1921,4.7
MAR,1921,15
APR,1921,171.3
MAY,1921,104.1
JUN,1921,489.1
JUL,1921,639.8
AUG,1921,641.9
SEP,1921,156.7
OCT,1921,302.4
NOV,1921,136.2
DEC,1921,15.8
JAN,1922,30.5
FEB,1922,21.4
MAR,1922,16.3
APR,1922,89.6
MAY,1922,293.6
JUN,1922,663.1
JUL,1922,1025.1
AUG,1922,320.6
SEP,1922,222.4
OCT,1922,266.3
NOV,1922,293.7
DEC,1922,25.1
JAN,1923,24.7
FEB,1923,0.7
MAR,1923,78.9
APR,1923,43.5
MAY,1923,80
JUN,1923,722.5
JUL,1923,1008.7
AUG,1923,943
SEP,1923,254.3
OCT,1923,203.1
NOV,1923,83.9
DEC,1923,41.6
JAN,1924,19.3
FEB,1924,2.9
MAR,1924,66.6
APR,1924,111
MAY,1924,185.4
JUN,1924,1011.7
JUL,1924,1526.5
AUG,1924,624
SEP,1924,289.1
OCT,1924,176.5
NOV,1924,162.9
DEC,1924,50.4
JAN,1925,4.1
FEB,1925,16.5
MAR,1925,76.9
APR,1925,93.4
MAY,1925,258.2
JUN,1925,688.8
JUL,1925,593.5
AUG,1925,554.1
SEP,1925,158.8
OCT,1925,295.4
NOV,1925,223.7
DEC,1925,98.8
JAN,1926,28.6
FEB,1926,5.8
MAR,1926,23.1
APR,1926,55.8
MAY,1926,222.6
JUN,1926,563.9
JUL,1926,885.2
AUG,1926,536
SEP,1926,322.7
OCT,1926,216.7
NOV,1926,88.8
DEC,1926,16.2
JAN,1927,18.8
FEB,1927,35.3
MAR,1927,49.6
APR,1927,86.5
MAY,1927,265.4
JUN,1927,720.2
JUL,1927,888.2
AUG,1927,315
SEP,1927,335.6
OCT,1927,135.8
NOV,1927,137.6
DEC,1927,6.8
JAN,1928,12.7
FEB,1928,65.9
MAR,1928,51.3
APR,1928,121.1
MAY,1928,81.9
JUN,1928,590.7
JUL,1928,420.6
AUG,1928,553.2
SEP,1928,75.9
OCT,1928,321.5
NOV,1928,155.2
DEC,1928,52.7
JAN,1929,12.8
FEB,1929,29.8
MAR,1929,58.9
APR,1929,210.7
MAY,1929,148
JUN,1929,946.6
JUL,1929,844
AUG,1929,293.9
SEP,1929,268.9
OCT,1929,350.4
NOV,1929,158.2
