Month,Year,Rainfall
JAN,1901,5.6
FEB,1901,0.1
MAR,1901,0.4
APR,1901,35.7
MAY,1901,19.9
JUN,1901,746.1
JUL,1901,1075.5
AUG,1901,748
SEP,1901,117.4
OCT,1901,38.6
NOV,1901,5.4
DEC,1901,0.1
JAN,1902,0.3
FEB,1902,0
MAR,1902,0
APR,1902,0.4
MAY,1902,7.6
JUN,1902,428.2
JUL,1902,943.6
AUG,1902,515.1
SEP,1902,613.8
OCT,1902,74.3
NOV,1902,42.7
DEC,1902,48
JAN,1903,0
FEB,1903,0
MAR,1903,0.1
APR,1903,0
MAY,1903,201.1
JUN,1903,470.5
JUL,1903,1298.6
AUG,1903,673.9
SEP,1903,285.1
OCT,1903,140.8
NOV,1903,12.4
DEC,1903,1.7
JAN,1904,0
FEB,1904,0.1
MAR,1904,6.6
APR,1904,6.3
MAY,1904,4.6
JUN,1904,975.8
JUL,1904,771.7
AUG,1904,321.3
SEP,1904,217
OCT,1904,90.3
NOV,1904,0
DEC,1904,0
JAN,1905,0.1
FEB,1905,0.1
MAR,1905,0
APR,1905,0.4
MAY,1905,8.6
JUN,1905,293.7
JUL,1905,770.6
AUG,1905,305.5
SEP,1905,208.3
OCT,1905,83.5
NOV,1905,12.1
DEC,1905,0
JAN,1906,5
FEB,1906,0.9
MAR,1906,0
APR,1906,0
MAY,1906,2.9
JUN,1906,547.4
JUL,1906,1090.9
AUG,1906,506.7
SEP,1906,222.5
OCT,1906,31.6
NOV,1906,10.2
DEC,1906,0.7
JAN,1907,1.7
FEB,1907,1
MAR,1907,0
APR,1907,20.1
MAY,1907,0
JUN,1907,583.1
JUL,1907,1170.9
AUG,1907,811.5
SEP,1907,164
OCT,1907,11.4
NOV,1907,1.9
DEC,1907,0.9
JAN,1908,0.9
FEB,1908,1.1
MAR,1908,0
APR,1908,2.3
MAY,1908,1
JUN,1908,440
JUL,1908,1391.8
AUG,1908,649.8
SEP,1908,222.4
OCT,1908,24.6
NOV,1908,1.6
DEC,1908,0
JAN,1909,0.1
FEB,1909,0
MAR,1909,0.1
APR,1909,0.3
MAY,1909,7.8
JUN,1909,759.5
JUL,1909,1301.8
AUG,1909,381.5
SEP,1909,384.4
OCT,1909,17.5
NOV,1909,7.4
DEC,1909,0.1
JAN,1910,0
FEB,1910,0
MAR,1910,0.3
APR,1910,0
MAY,1910,2.6
JUN,1910,832.4
JUL,1910,407.8
AUG,1910,763.2
SEP,1910,374.6
OCT,1910,121.4
NOV,1910,41.7
DEC,1910,0
JAN,1911,0.2
FEB,1911,0
MAR,1911,3.2
APR,1911,0
MAY,1911,17.1
JUN,1911,543.6
JUL,1911,585.6
AUG,1911,750.3
SEP,1911,175.5
OCT,1911,34.2
NOV,1911,21.4
DEC,1911,3.6
JAN,1912,0
FEB,1912,0
MAR,1912,0
APR,1912,4.1
MAY,1912,28.9
JUN,1912,671
JUL,1912,1242.9
AUG,1912,541.7
SEP,1912,135.2
OCT,1912,71.9
NOV,1912,97.5
DEC,1912,0
JAN,1913,0
FEB,1913,0
MAR,1913,0
APR,1913,1.3
MAY,1913,18.7
JUN,1913,897.9
JUL,1913,1074.3
AUG,1913,321.8
SEP,1913,194.4
OCT,1913,107.5
NOV,1913,1.6
DEC,1913,0
JAN,1914,0
FEB,1914,0.8
MAR,1914,0
APR,1914,0.8
MAY,1914,1.6
JUN,1914,706.9
JUL,1914,1370.3
AUG,1914,797.6
SEP,1914,549.9
OCT,1914,21.9
NOV,1914,11.2
DEC,1914,3.6
JAN,1915,0
FEB,1915,4.7
MAR,1915,5.9
APR,1915,10.2
MAY,1915,7.7
JUN,1915,845.1
JUL,1915,734.4
AUG,1915,355.1
SEP,1915,412.2
OCT,1915,137.4
NOV,1915,12.8
DEC,1915,0.3
JAN,1916,0
FEB,1916,0
MAR,1916,0
APR,1916,2.4
MAY,1916,39.9
JUN,1916,832.7
JUL,1916,765.6
AUG,1916,851.1
SEP,1916,620.1
OCT,1916,204.7
NOV,1916,86.1
DEC,1916,0
JAN,1917,0
FEB,1917,18.4
MAR,1917,1.2
APR,1917,0.3
MAY,1917,17.5
JUN,1917,807.6
JUL,1917,675.1
AUG,1917,902.5
SEP,1917,567.7
OCT,1917,408
NOV,1917,32.6
DEC,1917,0
JAN,1918,0.1
FEB,1918,0
MAR,1918,3.3
APR,1918,0.1
MAY,1918,345.4
JUN,1918,334.1
JUL,1918,424.7
AUG,1918,578.1
SEP,1918,123.6
OCT,1918,5.8
NOV,1918,52
DEC,1918,0
JAN,1919,2.5
FEB,1919,0
MAR,1919,0
APR,1919,0
MAY,1919,9.6
JUN,1919,643.6
JUL,1919,1120.2
AUG,1919,643.5
SEP,1919,276.8
OCT,1919,124.5
NOV,1919,20.6
DEC,1919,10.5
JAN,1920,14
FEB,1920,1.2
MAR,1920,0
APR,1920,12
MAY,1920,5.1
JUN,1920,424.9
JUL,1920,824
AUG,1920,360.8
SEP,1920,226.7
OCT,1920,52.4
NOV,1920,2.9
DEC,1920,0
JAN,1921,0.3
FEB,1921,0
MAR,1921,0.1
APR,1921,4.8
MAY,1921,0
JUN,1921,658.1
JUL,1921,1102.5
AUG,1921,611.8
SEP,1921,450.4
OCT,1921,57.5
NOV,1921,13.7
DEC,1921,0
JAN,1922,0
FEB,1922,0
MAR,1922,0
APR,1922,6.3
MAY,1922,13.4
JUN,1922,774.3
JUL,1922,1290.6
AUG,1922,339.3
SEP,1922,261.1
OCT,1922,41.4
NOV,1922,90
DEC,1922,1.2
JAN,1923,0
FEB,1923,0.5
MAR,1923,4.7
APR,1923,1.3
MAY,1923,7.8
JUN,1923,259.4
JUL,1923,1643.9
AUG,1923,480.7
SEP,1923,363.7
OCT,1923,8.3
NOV,1923,0.1
DEC,1923,0
JAN,1924,0
FEB,1924,0
MAR,1924,0.1
APR,1924,0.1
MAY,1924,0.4
JUN,1924,522.5
JUL,1924,932.2
AUG,1924,641.7
SEP,1924,324.4
OCT,1924,19
NOV,1924,3.8
DEC,1924,0
JAN,1925,0.1
FEB,1925,0
MAR,1925,7.4
APR,1925,5.2
MAY,1925,121
JUN,1925,800.9
JUL,1925,655.5
AUG,1925,501.5
SEP,1925,120.4
OCT,1925,74.6
NOV,1925,18.6
DEC,1925,0
JAN,1926,31.8
FEB,1926,0
MAR,1926,0
APR,1926,0
MAY,1926,1.5
JUN,1926,306.1
JUL,1926,1203.6
AUG,1926,1149.6
SEP,1926,432.9
OCT,1926,39.2
NOV,1926,1.1
DEC,1926,0
JAN,1927,0
FEB,1927,0.2
MAR,1927,0.2
APR,1927,0
MAY,1927,5.5
JUN,1927,785.6
JUL,1927,1030.3
AUG,1927,416.6
SEP,1927,240.9
OCT,1927,178.8
NOV,1927,87.3
DEC,1927,1.6
JAN,1928,0
FEB,1928,1.3
MAR,1928,0.2
APR,1928,3.1
MAY,1928,1.1
JUN,1928,657
JUL,1928,1159.4
AUG,1928,939.9
SEP,1928,264.5
OCT,1928,137.9
NOV,1928,7.7
DEC,1928,0.4
JAN,1929,1
FEB,1929,0
MAR,1929,3.2
APR,1929,14.9
MAY,1929,6.2
JUN,1929,773.8
JUL,1929,767.6
AUG,1929,516
SEP,1929,250.9
OCT,1929,152.4
NOV,1929,11.2
DEC,1929,12.1
JAN,1930,0
FEB,1930,0.2
MAR,1930,0.1
APR,1930,0.3
MAY,1930,12.5
JUN,1930,1024.9
JUL,1930,690.5
AUG,1930,427.3
SEP,1930,542.6
OCT,1930,136.2
NOV,1930,10.6
DEC,1930,0.6
JAN,1931,0
FEB,1931,0
MAR,1931,0.1
APR,1931,1.7
MAY,1931,1.8
JUN,1931,344.9
JUL,1931,1867.2
AUG,1931,944.9
SEP,1931,307.1
OCT,1931,458.9
NOV,1931,51.5
DEC,1931,21.2
JAN,1932,0.5
FEB,1932,0
MAR,1932,0
APR,1932,2.9
MAY,1932,45.9
JUN,1932,435.3
JUL,1932,1248.1
AUG,1932,485.6
SEP,1932,456.2
OCT,1932,259.1
NOV,1932,21.1
DEC,1932,8.2
JAN,1933,0
FEB,1933,0.1
MAR,1933,1.6
APR,1933,15.3
MAY,1933,129.2
JUN,1933,816.5
JUL,1933,909
AUG,1933,758.6
SEP,1933,485.8
OCT,1933,179.7
NOV,1933,19.2
DEC,1933,28.4
JAN,1934,0.7
FEB,1934,0
MAR,1934,0.3
APR,1934,2.7
MAY,1934,0.7
