Month,Year,Rainfall
JAN,1901,22.6
FEB,1901,86.4
MAR,1901,114.8
APR,1901,263.8
MAY,1901,37.3
JUN,1901,459
JUL,1901,0
AUG,1901,0
SEP,1901,46.7
OCT,1901,183.7
NOV,1901,229.9
DEC,1901,15
JAN,1902,99.3
FEB,1902,9.6
MAR,1902,32.6
APR,1902,40.4
MAY,1902,179.1
JUN,1902,374.2
JUL,1902,413.3
AUG,1902,170
SEP,1902,214.3
OCT,1902,384.2
NOV,1902,192.8
DEC,1902,49
JAN,1903,63.5
FEB,1903,95
MAR,1903,0
APR,1903,29.5
MAY,1903,144.1
JUN,1903,212.4
JUL,1903,261.8
AUG,1903,202
SEP,1903,292.1
OCT,1903,79.1
NOV,1903,39.49068486590035
DEC,1903,18.93485755326786
JAN,1904,0
FEB,1904,0
MAR,1904,13.5
APR,1904,13.2
MAY,1904,143.3
JUN,1904,261.3
JUL,1904,256
AUG,1904,38.9
SEP,1904,219.9
OCT,1904,153.6
NOV,1904,8.3
DEC,1904,68.9
JAN,1905,62.4
FEB,1905,0
MAR,1905,0
APR,1905,0
MAY,1905,166.7
JUN,1905,400.7
JUL,1905,68.7
AUG,1905,377.5
SEP,1905,107.5
OCT,1905,232.1
NOV,1905,159.3
DEC,1905,0
JAN,1906,17.8
FEB,1906,0
MAR,1906,24.4
APR,1906,33.8
MAY,1906,213
JUN,1906,465
JUL,1906,348.6
AUG,1906,260.5
SEP,1906,25.9
OCT,1906,252.3
NOV,1906,106.5
DEC,1906,63.8
JAN,1907,60.6
FEB,1907,49.3
MAR,1907,0
APR,1907,123.5
MAY,1907,77
JUN,1907,241.1
JUL,1907,199.5
AUG,1907,165.6
SEP,1907,25.8
OCT,1907,176.3
NOV,1907,292.7
DEC,1907,47.4
JAN,1908,18
FEB,1908,9.2
MAR,1908,5.6
APR,1908,162
MAY,1908,150.9
JUN,1908,471.7
JUL,1908,184.9
AUG,1908,73.9
SEP,1908,437
OCT,1908,251.2
NOV,1908,98
DEC,1908,96.7
JAN,1909,70.4
FEB,1909,0
MAR,1909,34.2
APR,1909,92.4
MAY,1909,48.4
JUN,1909,204
JUL,1909,122.4
AUG,1909,368.8
SEP,1909,105.1
OCT,1909,340.5
NOV,1909,45
DEC,1909,32.3
JAN,1910,2.3
FEB,1910,0
MAR,1910,32.8
APR,1910,34.3
MAY,1910,201.1
JUN,1910,340.4
JUL,1910,155.2
AUG,1910,292.4
SEP,1910,301.8
OCT,1910,317.1
NOV,1910,171.8
DEC,1910,0
JAN,1911,22.4
FEB,1911,0
MAR,1911,0
APR,1911,0
MAY,1911,104.2
JUN,1911,425.3
JUL,1911,245.5
AUG,1911,60.3
SEP,1911,67.9
OCT,1911,316.1
NOV,1911,276
DEC,1911,170
JAN,1912,11.4
FEB,1912,54.6
MAR,1912,8.1
APR,1912,118.6
MAY,1912,165.1
JUN,1912,417.8
JUL,1912,171.7
AUG,1912,152.2
SEP,1912,68.9
OCT,1912,267.8
NOV,1912,126.2
DEC,1912,92.5
JAN,1913,77
FEB,1913,1.8
MAR,1913,50.3
APR,1913,53.4
MAY,1913,244
JUN,1913,251.8
JUL,1913,215.5
AUG,1913,235.5
SEP,1913,38.6
OCT,1913,154.3
NOV,1913,111.4
DEC,1913,84.9
JAN,1914,10.4
FEB,1914,0
MAR,1914,53.3
APR,1914,10.2
MAY,1914,120.7
JUN,1914,377.1
JUL,1914,347.5
AUG,1914,220.4
SEP,1914,26.5
OCT,1914,437
NOV,1914,172
DEC,1914,258.9
JAN,1915,0
FEB,1915,0
MAR,1915,22.9
APR,1915,50.5
MAY,1915,143.3
JUN,1915,183.4
JUL,1915,461.6
AUG,1915,76
SEP,1915,222.1
OCT,1915,151.6
NOV,1915,155.8
DEC,1915,78.3
JAN,1916,0.3
FEB,1916,13.2
MAR,1916,32
APR,1916,28.7
MAY,1916,130.5
JUN,1916,327.6
JUL,1916,445.9
AUG,1916,31.8
SEP,1916,275.4
OCT,1916,85.2
NOV,1916,17.5
DEC,1916,10.4
JAN,1917,18.93777193401864
FEB,1917,68.6
MAR,1917,27.39550346806984
APR,1917,43.081711690174586
MAY,1917,85.6465105162525
JUN,1917,230.04770444763244
JUL,1917,347.0637799043057
AUG,1917,289.7621563471191
SEP,1917,197.3118631906246
OCT,1917,95.31471291866043
NOV,1917,39.49068486590035
DEC,1917,18.93485755326786
JAN,1919,74.4
FEB,1919,1.3
MAR,1919,39.4
APR,1919,25.6
MAY,1919,249.8
JUN,1919,352.1
JUL,1919,367.4
AUG,1919,175.6
SEP,1919,196.9
OCT,1919,181
NOV,1919,150.2
DEC,1919,112.8
JAN,1920,82.6
FEB,1920,21.60437380497136
MAR,1920,35.6
APR,1920,49.4
MAY,1920,203.1
JUN,1920,530
JUL,1920,134.2
AUG,1920,116.9
SEP,1920,247.6
OCT,1920,258.8
NOV,1920,359.6
DEC,1920,33.1
JAN,1921,37.6
FEB,1921,0
MAR,1921,16.8
APR,1921,82.4
MAY,1921,156.3
JUN,1921,326.2
JUL,1921,163.7
AUG,1921,235.5
SEP,1921,197.3118631906246
OCT,1921,170.3
NOV,1921,110.3
DEC,1921,93
JAN,1922,17.8
FEB,1922,56.7
MAR,1922,0
APR,1922,214.1
MAY,1922,112.8
JUN,1922,232.9
JUL,1922,258
AUG,1922,190.4
SEP,1922,425.2
OCT,1922,152.7
NOV,1922,210
DEC,1922,57.9
JAN,1923,43.7
FEB,1923,1.6
MAR,1923,25
APR,1923,0
MAY,1923,13.5
JUN,1923,372.8
JUL,1923,314.6
AUG,1923,198.9
SEP,1923,189.3
OCT,1923,149.7
NOV,1923,65.2
DEC,1923,197.9
JAN,1924,23.8
FEB,1924,1
MAR,1924,4.7
APR,1924,57.6
MAY,1924,224.9
JUN,1924,567.3
JUL,1924,339.2
AUG,1924,396.4
SEP,1924,236.8
OCT,1924,96.5
NOV,1924,15.2
DEC,1924,8.6
JAN,1925,2.3
FEB,1925,7.5
MAR,1925,15.5
APR,1925,32.6
MAY,1925,244.2
JUN,1925,327.5
JUL,1925,192.3
AUG,1925,295.3
SEP,1925,63.5
OCT,1925,109.3
NOV,1925,144.9
DEC,1925,242
JAN,1926,262.8
FEB,1926,16
MAR,1926,33.6
APR,1926,60.2
MAY,1926,335.8
JUN,1926,392
JUL,1926,303.9
AUG,1926,118.2
SEP,1926,97.2
OCT,1926,83.4
NOV,1926,119.3
DEC,1926,13.8
