Month,Year,Rainfall
JAN,1901,18.8
FEB,1901,0.6
MAR,1901,7.7
APR,1901,36.6
MAY,1901,30.4
JUN,1901,107.7
JUL,1901,215.9
AUG,1901,194.1
SEP,1901,83.7
OCT,1901,68.7
NOV,1901,4.4
DEC,1901,0.5
JAN,1902,7.8
FEB,1902,0
MAR,1902,0.1
APR,1902,5
MAY,1902,9.8
JUN,1902,102.6
JUL,1902,210.9
AUG,1902,114.5
SEP,1902,169.5
OCT,1902,60.4
NOV,1902,40.5
DEC,1902,62.9
JAN,1903,7.6
FEB,1903,0
MAR,1903,0
APR,1903,3.2
MAY,1903,77.2
JUN,1903,86.3
JUL,1903,281.8
AUG,1903,155.5
SEP,1903,142.3
OCT,1903,74.2
NOV,1903,7.6
DEC,1903,2.2
JAN,1904,0.4
FEB,1904,4.7
MAR,1904,1.7
APR,1904,3
MAY,1904,18.7
JUN,1904,114.6
JUL,1904,126.5
AUG,1904,59.5
SEP,1904,183
OCT,1904,91.1
NOV,1904,0
DEC,1904,0.4
JAN,1905,0
FEB,1905,1.2
MAR,1905,0
APR,1905,2.3
MAY,1905,23.6
JUN,1905,65
JUL,1905,252.8
AUG,1905,79
SEP,1905,52.6
OCT,1905,52.9
NOV,1905,8.3
DEC,1905,0
JAN,1906,10.5
FEB,1906,0.8
MAR,1906,0
APR,1906,0.1
MAY,1906,9.3
JUN,1906,184.8
JUL,1906,199.3
AUG,1906,205
SEP,1906,88.8
OCT,1906,19.1
NOV,1906,15.5
DEC,1906,11.1
JAN,1907,0.5
FEB,1907,3.7
MAR,1907,1.5
APR,1907,54.5
MAY,1907,0.6
JUN,1907,118
JUL,1907,262.3
AUG,1907,267.8
SEP,1907,94.1
OCT,1907,7.6
NOV,1907,3.6
DEC,1907,0.9
JAN,1908,0.3
FEB,1908,0
MAR,1908,4.7
APR,1908,6.3
MAY,1908,5.8
JUN,1908,85.1
JUL,1908,263
AUG,1908,169.9
SEP,1908,166.6
OCT,1908,16.3
NOV,1908,4
DEC,1908,0
JAN,1909,1.2
FEB,1909,0.1
MAR,1909,0.7
APR,1909,1.4
MAY,1909,38.5
JUN,1909,179.6
JUL,1909,247
AUG,1909,101.6
SEP,1909,146.2
OCT,1909,31.1
NOV,1909,3.1
DEC,1909,4.7
JAN,1910,0
FEB,1910,0
MAR,1910,1
APR,1910,0
MAY,1910,13.1
JUN,1910,204.6
JUL,1910,172
AUG,1910,228.6
SEP,1910,195.7
OCT,1910,70
NOV,1910,30.2
DEC,1910,0
JAN,1911,2
FEB,1911,0.1
MAR,1911,2.2
APR,1911,0.2
MAY,1911,12
JUN,1911,136.9
JUL,1911,137.7
AUG,1911,153.2
SEP,1911,29.9
OCT,1911,23.6
NOV,1911,42.9
DEC,1911,3.8
JAN,1912,0
FEB,1912,0.4
MAR,1912,0
APR,1912,9
MAY,1912,20.9
JUN,1912,88.3
JUL,1912,307.6
AUG,1912,150
SEP,1912,34.7
OCT,1912,86
NOV,1912,67.7
DEC,1912,0.3
JAN,1913,0
FEB,1913,0.2
MAR,1913,0
APR,1913,8.4
MAY,1913,34
JUN,1913,259.9
JUL,1913,210.8
AUG,1913,86.6
SEP,1913,82.8
OCT,1913,43.7
NOV,1913,0.6
DEC,1913,5.5
JAN,1914,0
FEB,1914,0.4
MAR,1914,0.3
APR,1914,3.7
MAY,1914,15.2
JUN,1914,188.3
JUL,1914,348.8
AUG,1914,204.3
SEP,1914,211.6
OCT,1914,22.1
NOV,1914,36.6
DEC,1914,7.6
JAN,1915,8.6
FEB,1915,6.6
MAR,1915,13.9
APR,1915,21.9
MAY,1915,12.1
JUN,1915,195.2
JUL,1915,225.4
AUG,1915,80
SEP,1915,228.5
OCT,1915,76.8
NOV,1915,20.9
DEC,1915,18
JAN,1916,0
FEB,1916,0.2
MAR,1916,0.4
APR,1916,4.9
MAY,1916,55.2
JUN,1916,144.8
JUL,1916,257.6
AUG,1916,185.9
SEP,1916,217.5
OCT,1916,136.8
NOV,1916,69.1
DEC,1916,0.1
JAN,1917,0.1
FEB,1917,20
MAR,1917,4.8
APR,1917,7.7
MAY,1917,15.6
JUN,1917,174.3
JUL,1917,120.6
AUG,1917,187
SEP,1917,205.2
OCT,1917,169.5
NOV,1917,33.4
DEC,1917,0
JAN,1918,5.1
FEB,1918,0.6
MAR,1918,2.6
APR,1918,1
MAY,1918,90.5
JUN,1918,51.7
JUL,1918,68.4
AUG,1918,112.4
SEP,1918,55.1
OCT,1918,13.3
NOV,1918,30
DEC,1918,7.5
JAN,1919,3
FEB,1919,0.5
MAR,1919,1.2
APR,1919,2.7
MAY,1919,38.2
JUN,1919,173.5
JUL,1919,198.9
AUG,1919,153.8
SEP,1919,231.7
OCT,1919,45.1
NOV,1919,28.4
DEC,1919,1.9
JAN,1920,41.5
FEB,1920,0.2
MAR,1920,0.1
APR,1920,9.7
MAY,1920,8
JUN,1920,120.7
JUL,1920,185.9
AUG,1920,94.1
SEP,1920,113.8
OCT,1920,26
NOV,1920,0.3
DEC,1920,0
JAN,1921,1.6
FEB,1921,0
MAR,1921,0.3
APR,1921,9
MAY,1921,1.1
JUN,1921,105.8
JUL,1921,291.6
AUG,1921,125
SEP,1921,128.7
OCT,1921,47.5
NOV,1921,23.7
DEC,1921,0
JAN,1922,18.3
FEB,1922,2.6
MAR,1922,0
APR,1922,16.7
MAY,1922,27.4
JUN,1922,161.7
JUL,1922,218.2
AUG,1922,79.4
SEP,1922,97.1
OCT,1922,41.2
NOV,1922,141.1
DEC,1922,1.4
JAN,1923,1.9
FEB,1923,1.7
MAR,1923,32.7
APR,1923,8.7
MAY,1923,10.5
JUN,1923,30.7
JUL,1923,290
AUG,1923,126.5
SEP,1923,169.5
OCT,1923,6.4
NOV,1923,0
DEC,1923,2.3
JAN,1924,2.1
FEB,1924,0
MAR,1924,2.8
APR,1924,19.7
MAY,1924,4.6
JUN,1924,80.3
JUL,1924,173.8
AUG,1924,220.6
SEP,1924,185.8
OCT,1924,49.7
NOV,1924,3.6
DEC,1924,5.3
JAN,1925,0
FEB,1925,0
MAR,1925,3.1
APR,1925,1.5
MAY,1925,38.9
JUN,1925,177.7
JUL,1925,152
AUG,1925,115.2
SEP,1925,94.7
OCT,1925,33.9
NOV,1925,40.7
DEC,1925,4
JAN,1926,34.3
FEB,1926,0.6
MAR,1926,0.1
APR,1926,0.2
MAY,1926,11.2
JUN,1926,85.9
JUL,1926,230.6
AUG,1926,258
SEP,1926,147.7
OCT,1926,8.1
NOV,1926,8.3
DEC,1926,2.2
JAN,1927,0
FEB,1927,1
MAR,1927,0.9
APR,1927,4.6
MAY,1927,9.3
JUN,1927,184.9
JUL,1927,318.7
AUG,1927,85.4
SEP,1927,183.6
OCT,1927,51.3
NOV,1927,83.3
DEC,1927,2
JAN,1928,0.1
FEB,1928,10.3
MAR,1928,3.7
APR,1928,8
MAY,1928,0.3
JUN,1928,143.3
JUL,1928,217.7
AUG,1928,159.6
SEP,1928,209
OCT,1928,62.5
NOV,1928,3.1
DEC,1928,14.1
JAN,1929,1
FEB,1929,6.4
MAR,1929,2
APR,1929,37.1
MAY,1929,6.4
JUN,1929,155.9
JUL,1929,168.2
AUG,1929,73.7
SEP,1929,151.6
OCT,1929,82.5
NOV,1929,3.4
DEC,1929,2.2
JAN,1930,0
FEB,1930,0
MAR,1930,0.7
APR,1930,3.2
MAY,1930,29.8
JUN,1930,178.1
JUL,1930,233.7
AUG,1930,106.5
SEP,1930,247
OCT,1930,87.4
NOV,1930,37.7
DEC,1930,5
JAN,1931,0
FEB,1931,0
MAR,1931,0.6
APR,1931,14
MAY,1931,2.9
JUN,1931,109.7
JUL,1931,316.3
AUG,1931,233.5
SEP,1931,178.9
OCT,1931,180.9
NOV,1931,70.2
DEC,1931,25.3
JAN,1932,0
FEB,1932,0.5
MAR,1932,8.6
APR,1932,22.3
MAY,1932,27.3
JUN,1932,67.3
JUL,1932,351.7
AUG,1932,221.3
SEP,1932,162.8
OCT,1932,148.4
NOV,1932,30.8
DEC,1932,4
JAN,1933,1.4
FEB,1933,0.5
MAR,1933,3.4
APR,1933,8.5
MAY,1933,76.5
JUN,1933,182.3
JUL,1933,194.7
AUG,1933,259.4
SEP,1933,286.1
OCT,1933,93.3
NOV,1933,24
DEC,1933,22.3
JAN,1934,3.7
FEB,1934,0
MAR,1934,1.9
APR,1934,7.3
MAY,1934,8
JUN,1934,138.2
JUL,1934,217
AUG,1934,222.3
SEP,1934,136.8
OCT,1934,41.2
NOV,1934,82
DEC,1934,0
JAN,1935,2.5
FEB,1935,0
MAR,1935,0
APR,1935,3.7
MAY,1935,1.4
JUN,1935,149.6
JUL,1935,208.6
AUG,1935,195.5
SEP,1935,126.7
OCT,1935,119.4
NOV,1935,7.7
DEC,1935,3.9
JAN,1936,1.3
FEB,1936,6.2
MAR,1936,4.3
APR,1936,3.8
MAY,1936,21.1
JUN,1936,169.2
JUL,1936,113.9
AUG,1936,106.3
SEP,1936,161.5
OCT,1936,17.2
NOV,1936,130.4
DEC,1936,0.3
JAN,1937,0
FEB,1937,2
MAR,1937,2
APR,1937,47.7
MAY,1937,4.7
JUN,1937,146.7
JUL,1937,319.4
AUG,1937,63.6
SEP,1937,219.9
OCT,1937,96.1
NOV,1937,1.3
DEC,1937,11
JAN,1938,0.6
FEB,1938,1
MAR,1938,23.5
APR,1938,12.2
MAY,1938,50.4
JUN,1938,239.9
JUL,1938,286.6
AUG,1938,169.4
SEP,1938,191.5
OCT,1938,141.3
NOV,1938,7.6
DEC,1938,2.3
JAN,1939,0.2
FEB,1939,0.2
MAR,1939,4.1
APR,1939,6.3
MAY,1939,1.1
JUN,1939,127.6
JUL,1939,303.9
AUG,1939,219.9
SEP,1939,88.5
OCT,1939,41.8
NOV,1939,27.3
DEC,1939,0.8
JAN,1940,1.3
FEB,1940,1.8
