Month,Year,Rainfall
JAN,1901,15.8
FEB,1901,3.3
MAR,1901,32.1
APR,1901,48.5
MAY,1901,26.5
JUN,1901,193.1
JUL,1901,184.1
AUG,1901,249.8
SEP,1901,74
OCT,1901,81.6
NOV,1901,0
DEC,1901,0
JAN,1902,1.3
FEB,1902,0
MAR,1902,0.4
APR,1902,7.2
MAY,1902,0.8
JUN,1902,52.4
JUL,1902,120.9
AUG,1902,85.2
SEP,1902,273.3
OCT,1902,61.3
NOV,1902,84.4
DEC,1902,56.9
JAN,1903,2.6
FEB,1903,0.8
MAR,1903,0
APR,1903,1.7
MAY,1903,58.3
JUN,1903,104.4
JUL,1903,264.2
AUG,1903,281.9
SEP,1903,173.3
OCT,1903,139.9
NOV,1903,0.3
DEC,1903,5.3
JAN,1904,0
FEB,1904,0.9
MAR,1904,12.1
APR,1904,0.3
MAY,1904,7.2
JUN,1904,79.2
JUL,1904,118.4
AUG,1904,57.3
SEP,1904,339
OCT,1904,76.2
NOV,1904,0
DEC,1904,0
JAN,1905,1.3
FEB,1905,2
MAR,1905,0
APR,1905,6.6
MAY,1905,4.8
JUN,1905,84.6
JUL,1905,94.8
AUG,1905,137.6
SEP,1905,157.8
OCT,1905,15.4
NOV,1905,0.9
DEC,1905,0
JAN,1906,19.8
FEB,1906,0
MAR,1906,0.1
APR,1906,0
MAY,1906,0.2
JUN,1906,220.6
JUL,1906,254.9
AUG,1906,156.9
SEP,1906,82.1
OCT,1906,19.8
NOV,1906,3.9
DEC,1906,12.4
JAN,1907,1
FEB,1907,6.6
MAR,1907,1.1
APR,1907,61.3
MAY,1907,0
JUN,1907,90.4
JUL,1907,198.9
AUG,1907,155.2
SEP,1907,34.7
OCT,1907,5
NOV,1907,0
DEC,1907,3.7
JAN,1908,0
FEB,1908,0.8
MAR,1908,13
APR,1908,2.9
MAY,1908,1.6
JUN,1908,100.7
JUL,1908,124.4
AUG,1908,176.8
SEP,1908,261.9
OCT,1908,0.4
NOV,1908,0
DEC,1908,0
JAN,1909,5.5
FEB,1909,1.6
MAR,1909,8.4
APR,1909,4.2
MAY,1909,22.2
JUN,1909,217.2
JUL,1909,194.3
AUG,1909,173.8
SEP,1909,223.5
OCT,1909,21.4
NOV,1909,0.4
DEC,1909,20.3
JAN,1910,0
FEB,1910,0
MAR,1910,0.9
APR,1910,0
MAY,1910,3.1
JUN,1910,202.1
JUL,1910,166.7
AUG,1910,188.5
SEP,1910,467.9
OCT,1910,59.7
NOV,1910,45.3
DEC,1910,0
JAN,1911,6.4
FEB,1911,0
MAR,1911,0
APR,1911,0
MAY,1911,3
JUN,1911,85.5
JUL,1911,231.9
AUG,1911,175
SEP,1911,68.6
OCT,1911,0.2
NOV,1911,41.8
DEC,1911,0
JAN,1912,0
FEB,1912,13.7
MAR,1912,0
APR,1912,6.5
MAY,1912,9.5
JUN,1912,62.9
JUL,1912,177.3
AUG,1912,145.9
SEP,1912,34.6
OCT,1912,22.8
NOV,1912,15.2
DEC,1912,0
JAN,1913,0
FEB,1913,3.4
MAR,1913,0
APR,1913,15.1
MAY,1913,38.6
JUN,1913,173
JUL,1913,245.9
AUG,1913,80.1
SEP,1913,63.7
OCT,1913,21
NOV,1913,0
DEC,1913,15.9
JAN,1914,0
FEB,1914,10.4
MAR,1914,5.2
APR,1914,0.9
MAY,1914,16.3
JUN,1914,297
JUL,1914,177.2
AUG,1914,151.7
SEP,1914,258.3
OCT,1914,23.9
NOV,1914,20.9
DEC,1914,27.3
JAN,1915,28
FEB,1915,2.6
MAR,1915,55.9
APR,1915,18.9
MAY,1915,11.5
JUN,1915,207.8
JUL,1915,146.8
AUG,1915,96.1
SEP,1915,299.1
OCT,1915,99.7
NOV,1915,10.1
DEC,1915,25.1
JAN,1916,0
FEB,1916,5
MAR,1916,3
APR,1916,1.7
MAY,1916,43.6
JUN,1916,149.8
JUL,1916,374.7
AUG,1916,139.7
SEP,1916,305.1
OCT,1916,115
NOV,1916,40.3
DEC,1916,0
JAN,1917,1.7
FEB,1917,63.5
MAR,1917,10.8
APR,1917,7
MAY,1917,17.1
JUN,1917,176.8
JUL,1917,144.6
AUG,1917,259.3
SEP,1917,348.7
OCT,1917,101.2
NOV,1917,37.5
DEC,1917,0
JAN,1918,0.7
FEB,1918,0
MAR,1918,0.2
APR,1918,0.6
MAY,1918,121.4
JUN,1918,93.5
JUL,1918,65.9
AUG,1918,78.6
SEP,1918,89.9
OCT,1918,4.7
NOV,1918,9.8
DEC,1918,20.7
JAN,1919,11.9
FEB,1919,0.9
MAR,1919,0.3
APR,1919,5.1
MAY,1919,11.2
JUN,1919,149.7
JUL,1919,119.9
AUG,1919,85.3
SEP,1919,228
OCT,1919,28
NOV,1919,21.4
DEC,1919,1.1
JAN,1920,27
FEB,1920,0
MAR,1920,0.3
APR,1920,3.1
MAY,1920,2.1
JUN,1920,60.4
JUL,1920,50.5
AUG,1920,86.1
SEP,1920,127.7
OCT,1920,3.8
NOV,1920,0
DEC,1920,0
JAN,1921,2.1
FEB,1921,0
MAR,1921,0
APR,1921,2.4
MAY,1921,0
JUN,1921,151
JUL,1921,174.8
AUG,1921,70.2
SEP,1921,113.4
OCT,1921,41.9
NOV,1921,6.6
DEC,1921,0
JAN,1922,54.4
FEB,1922,1.9
MAR,1922,0
APR,1922,2.8
MAY,1922,19.3
JUN,1922,220.3
JUL,1922,119.5
AUG,1922,39.4
SEP,1922,206.4
OCT,1922,47.8
NOV,1922,122.7
DEC,1922,1.4
JAN,1923,4
FEB,1923,0.5
MAR,1923,55.9
APR,1923,9.9
MAY,1923,0.6
JUN,1923,20.5
JUL,1923,300.4
AUG,1923,72
SEP,1923,300.1
OCT,1923,0.2
NOV,1923,0
DEC,1923,0.8
JAN,1924,3.2
FEB,1924,0
MAR,1924,7.7
APR,1924,8.1
MAY,1924,0.2
JUN,1924,49.2
JUL,1924,130.4
AUG,1924,180.7
