Month,Year,Rainfall
JAN,1901,11.7
FEB,1901,18.1
MAR,1901,29.4
APR,1901,206.2
MAY,1901,124
JUN,1901,443.3
JUL,1901,331.4
AUG,1901,466
SEP,1901,304.1
OCT,1901,166.7
NOV,1901,67.4
DEC,1901,0
JAN,1902,4.8
FEB,1902,0.5
MAR,1902,36.3
APR,1902,297.8
MAY,1902,215.5
JUN,1902,480.1
JUL,1902,392.4
AUG,1902,312.8
SEP,1902,318.7
OCT,1902,102.4
NOV,1902,8.9
DEC,1902,4.7
JAN,1903,6.5
FEB,1903,40.5
MAR,1903,139.8
APR,1903,45.5
MAY,1903,159.9
JUN,1903,458.6
JUL,1903,300.2
AUG,1903,470.6
SEP,1903,366.1
OCT,1903,166.4
NOV,1903,76.7
DEC,1903,0.1
JAN,1904,2.3
FEB,1904,46.9
MAR,1904,47.5
APR,1904,290.3
MAY,1904,230.5
JUN,1904,455.3
JUL,1904,423.5
AUG,1904,423.6
SEP,1904,375.8
OCT,1904,128.9
NOV,1904,90
DEC,1904,5
JAN,1905,9.1
FEB,1905,35.3
MAR,1905,306.5
APR,1905,161.7
MAY,1905,193.6
JUN,1905,339.7
JUL,1905,450.1
AUG,1905,429.9
SEP,1905,320.1
OCT,1905,246.4
NOV,1905,8
DEC,1905,27.1
JAN,1906,7
FEB,1906,71.5
MAR,1906,72.5
APR,1906,99
MAY,1906,302.7
JUN,1906,417.4
JUL,1906,475.2
AUG,1906,439.2
SEP,1906,439.1
OCT,1906,142.8
NOV,1906,44.9
DEC,1906,3.2
JAN,1907,39.1
FEB,1907,30.4
MAR,1907,92.8
APR,1907,189.1
MAY,1907,156
JUN,1907,414.1
JUL,1907,400.9
AUG,1907,291.4
SEP,1907,336.1
OCT,1907,114.6
NOV,1907,3.9
DEC,1907,53.4
JAN,1908,26.4
FEB,1908,15
MAR,1908,4.3
APR,1908,141.1
MAY,1908,252.1
JUN,1908,360
JUL,1908,531.5
AUG,1908,371.9
SEP,1908,317.8
OCT,1908,192.6
NOV,1908,106.5
DEC,1908,0
JAN,1909,6
FEB,1909,4.7
MAR,1909,3.1
APR,1909,201.8
MAY,1909,235.1
JUN,1909,415.3
JUL,1909,348.9
AUG,1909,540
SEP,1909,245.8
OCT,1909,167.7
NOV,1909,71.4
DEC,1909,69
JAN,1910,26
FEB,1910,10.9
MAR,1910,30.7
APR,1910,138.4
MAY,1910,228
JUN,1910,444.8
JUL,1910,405
AUG,1910,439.8
SEP,1910,336.2
OCT,1910,196
NOV,1910,12.3
DEC,1910,0
JAN,1911,47.3
FEB,1911,11.9
MAR,1911,102.2
APR,1911,141.3
MAY,1911,331.3
JUN,1911,444.9
JUL,1911,471.5
AUG,1911,397.9
SEP,1911,287.8
OCT,1911,226
NOV,1911,17.4
DEC,1911,0.3
JAN,1912,1
FEB,1912,36.7
MAR,1912,127.8
APR,1912,305.9
MAY,1912,222.5
JUN,1912,344.7
JUL,1912,392.6
AUG,1912,394.8
SEP,1912,262.8
OCT,1912,179.1
NOV,1912,34.9
DEC,1912,6.1
JAN,1913,4.3
FEB,1913,63.4
MAR,1913,109.9
APR,1913,138.1
MAY,1913,264.1
JUN,1913,559.1
JUL,1913,509.2
AUG,1913,426.7
SEP,1913,222.1
OCT,1913,202.9
NOV,1913,83.6
DEC,1913,29.7
JAN,1914,5
FEB,1914,93.3
MAR,1914,129.7
APR,1914,255.9
MAY,1914,276.5
JUN,1914,342.6
JUL,1914,437.4
AUG,1914,501.5
SEP,1914,262
OCT,1914,106
NOV,1914,13.8
DEC,1914,105.4
JAN,1915,13.9
FEB,1915,35.5
MAR,1915,89.4
APR,1915,198.9
MAY,1915,448.9
JUN,1915,465.2
JUL,1915,478
AUG,1915,510.5
SEP,1915,310.4
OCT,1915,231.1
NOV,1915,37.7
DEC,1915,0.4
JAN,1916,13.2
FEB,1916,17.5
MAR,1916,37.3
APR,1916,212.5
MAY,1916,131.8
JUN,1916,363.8
JUL,1916,491.4
AUG,1916,419.3
SEP,1916,388.5
OCT,1916,417.5
NOV,1916,55
DEC,1916,7.1
JAN,1917,1.3
FEB,1917,81.8
MAR,1917,25.6
APR,1917,289.1
MAY,1917,121.7
JUN,1917,356.6
JUL,1917,387.3
AUG,1917,375.8
SEP,1917,371.7
OCT,1917,147.9
NOV,1917,63.3
DEC,1917,0.1
JAN,1918,3.8
FEB,1918,6.1
MAR,1918,138.6
APR,1918,224.8
MAY,1918,361.9
JUN,1918,573.8
JUL,1918,638.5
AUG,1918,569.3
SEP,1918,363.9
OCT,1918,75.7
NOV,1918,52.3
DEC,1918,4.5
JAN,1919,17.5
FEB,1919,18.1
MAR,1919,17.3
APR,1919,151.1
MAY,1919,132.7
JUN,1919,358.4
JUL,1919,403.5
AUG,1919,372.9
SEP,1919,375
OCT,1919,111.1
NOV,1919,84.8
DEC,1919,5.7
JAN,1920,5.1
FEB,1920,56.8
MAR,1920,272.7
APR,1920,143.7
MAY,1920,167.9
JUN,1920,363.3
JUL,1920,443.6
AUG,1920,449.6
SEP,1920,326.2
OCT,1920,137
NOV,1920,7.1
DEC,1920,2.7
JAN,1921,46.9
FEB,1921,24.1
MAR,1921,179.2
APR,1921,178.2
MAY,1921,271.3
JUN,1921,443.8
JUL,1921,387.8
AUG,1921,382.4
SEP,1921,430.7
OCT,1921,286.7
NOV,1921,4.7
DEC,1921,2.4
JAN,1922,8.5
FEB,1922,4.5
MAR,1922,17.3
APR,1922,119.3
MAY,1922,182.1
JUN,1922,569.1
JUL,1922,479.6
AUG,1922,536.6
SEP,1922,330.9
OCT,1922,170.8
NOV,1922,38.2
DEC,1922,5.8
JAN,1923,0
FEB,1923,64.9
MAR,1923,13.5
APR,1923,216.2
MAY,1923,296.1
JUN,1923,506.2
JUL,1923,411.9
AUG,1923,488.5
SEP,1923,374.9
OCT,1923,210.9
NOV,1923,93.7
DEC,1923,8.7
JAN,1924,3.7
FEB,1924,45.2
MAR,1924,14.1
APR,1924,170.9
MAY,1924,295.1
JUN,1924,478.6
JUL,1924,462.7
AUG,1924,482.2
SEP,1924,356.2
OCT,1924,179.2
NOV,1924,213.7
DEC,1924,0.1
JAN,1925,43
FEB,1925,36.4
MAR,1925,35
APR,1925,195.6
MAY,1925,385.5
JUN,1925,362.4
JUL,1925,461.4
AUG,1925,440.3
SEP,1925,280.1
OCT,1925,170.7
NOV,1925,37
DEC,1925,0
JAN,1926,24
FEB,1926,70.1
MAR,1926,155.5
APR,1926,177.1
MAY,1926,229.7
JUN,1926,361.1
JUL,1926,477.6
AUG,1926,441.7
SEP,1926,287.3
OCT,1926,155.6
NOV,1926,36.4
DEC,1926,47.1
JAN,1927,41.4
FEB,1927,103.5
MAR,1927,56.3
APR,1927,360.4
MAY,1927,245.2
JUN,1927,363.8
JUL,1927,498.4
AUG,1927,456.6
SEP,1927,533.9
OCT,1927,178.4
NOV,1927,48.6
DEC,1927,0.8
JAN,1928,4.3
FEB,1928,28.5
MAR,1928,52.3
APR,1928,65.3
MAY,1928,309
JUN,1928,463.2
JUL,1928,397.7
AUG,1928,468.3
SEP,1928,392.8
