Month,Year,Rainfall
JAN,1901,3.5
FEB,1901,18.8
MAR,1901,7.1
APR,1901,67.2
MAY,1901,65.5
JUN,1901,120.5
JUL,1901,151.9
AUG,1901,115.1
SEP,1901,128.8
OCT,1901,80
NOV,1901,13.6
DEC,1901,0.9
JAN,1902,0
FEB,1902,0
MAR,1902,0.3
APR,1902,22.5
MAY,1902,34.4
JUN,1902,111.3
JUL,1902,83.2
AUG,1902,78.1
SEP,1902,146.7
OCT,1902,118.8
NOV,1902,35.7
DEC,1902,85.1
JAN,1903,3.5
FEB,1903,0
MAR,1903,0.1
APR,1903,6.9
MAY,1903,53.4
JUN,1903,102.8
JUL,1903,209.4
AUG,1903,146.4
SEP,1903,189.3
OCT,1903,166.4
NOV,1903,34.3
DEC,1903,16
JAN,1904,0.2
FEB,1904,0.3
MAR,1904,8.5
APR,1904,11
MAY,1904,46.3
JUN,1904,120.6
JUL,1904,91.6
AUG,1904,48.5
SEP,1904,165.1
OCT,1904,86.5
NOV,1904,0
DEC,1904,0
JAN,1905,0
FEB,1905,6
MAR,1905,2.6
APR,1905,16
MAY,1905,51.2
JUN,1905,99.6
JUL,1905,60.1
AUG,1905,139.2
SEP,1905,42.2
OCT,1905,85
NOV,1905,4.4
DEC,1905,0
JAN,1906,21.3
FEB,1906,0
MAR,1906,0.2
APR,1906,2.6
MAY,1906,30
JUN,1906,142
JUL,1906,120.3
AUG,1906,182.1
SEP,1906,116
OCT,1906,86.2
NOV,1906,24.3
DEC,1906,58.9
JAN,1907,1.1
FEB,1907,0
MAR,1907,12.1
APR,1907,96.9
MAY,1907,5.6
JUN,1907,90.6
JUL,1907,155.1
AUG,1907,185.2
SEP,1907,165.8
OCT,1907,10.3
NOV,1907,17.9
DEC,1907,6.1
JAN,1908,1.3
FEB,1908,0.3
MAR,1908,2.4
APR,1908,16
MAY,1908,20.7
JUN,1908,62.6
JUL,1908,154.9
AUG,1908,86.1
SEP,1908,232.7
OCT,1908,16.9
NOV,1908,1.1
DEC,1908,0.1
JAN,1909,2.4
FEB,1909,0.1
MAR,1909,10.1
APR,1909,11.8
MAY,1909,55.3
JUN,1909,110.3
JUL,1909,140.4
AUG,1909,175.6
SEP,1909,106.2
OCT,1909,50
NOV,1909,12
DEC,1909,1.6
JAN,1910,0
FEB,1910,0
MAR,1910,4.5
APR,1910,2.5
MAY,1910,28.2
JUN,1910,78.2
JUL,1910,127.9
AUG,1910,195.5
SEP,1910,186.3
OCT,1910,104.1
NOV,1910,32.3
DEC,1910,0
JAN,1911,0
FEB,1911,0
MAR,1911,5.1
APR,1911,3.1
MAY,1911,43.2
JUN,1911,87.6
JUL,1911,151.5
AUG,1911,71.6
SEP,1911,67.4
OCT,1911,61.4
NOV,1911,8.8
DEC,1911,10.3
JAN,1912,0
FEB,1912,12.5
MAR,1912,0
APR,1912,42.6
MAY,1912,38.2
JUN,1912,43.7
JUL,1912,226.2
AUG,1912,158
SEP,1912,104.4
OCT,1912,104.9
NOV,1912,28.3
DEC,1912,0
JAN,1913,0
FEB,1913,0.9
MAR,1913,0
APR,1913,16.3
MAY,1913,76.7
JUN,1913,104
JUL,1913,150.9
AUG,1913,45
SEP,1913,89.3
OCT,1913,85.4
NOV,1913,2.5
DEC,1913,1.3
JAN,1914,0
FEB,1914,0
MAR,1914,0.6
APR,1914,19.5
MAY,1914,34.2
JUN,1914,74.4
JUL,1914,220.9
AUG,1914,237.1
SEP,1914,152.1
OCT,1914,24.9
NOV,1914,43
DEC,1914,18.2
JAN,1915,26.5
FEB,1915,2.4
MAR,1915,25.6
APR,1915,32.4
MAY,1915,40.3
JUN,1915,107.2
JUL,1915,150.1
AUG,1915,57.8
SEP,1915,173.6
OCT,1915,89.3
NOV,1915,42.6
DEC,1915,5.5
JAN,1916,0
FEB,1916,1.2
MAR,1916,0.2
APR,1916,22.7
MAY,1916,60.1
JUN,1916,97.4
JUL,1916,234
AUG,1916,82.4
SEP,1916,190.8
OCT,1916,197.3
NOV,1916,201.8
DEC,1916,0
JAN,1917,0
FEB,1917,21.1
MAR,1917,22.7
APR,1917,11.7
MAY,1917,20.2
JUN,1917,117
JUL,1917,77.8
AUG,1917,164.2
SEP,1917,192.6
OCT,1917,137.2
NOV,1917,59.4
DEC,1917,0
JAN,1918,5.9
FEB,1918,0.2
MAR,1918,2.3
APR,1918,22.5
MAY,1918,117.3
JUN,1918,43.3
JUL,1918,37
AUG,1918,61.2
SEP,1918,150.8
OCT,1918,19.6
NOV,1918,62.5
DEC,1918,5.5
JAN,1919,10.6
FEB,1919,0.3
MAR,1919,0.1
APR,1919,13.2
MAY,1919,64.7
JUN,1919,124.2
JUL,1919,72.7
AUG,1919,41
SEP,1919,228.5
OCT,1919,84.3
NOV,1919,85
DEC,1919,2.5
JAN,1920,2.6
FEB,1920,0
MAR,1920,0
APR,1920,25.1
MAY,1920,32.3
JUN,1920,75.3
JUL,1920,82.6
AUG,1920,56.5
SEP,1920,139.5
OCT,1920,54.3
NOV,1920,2.2
DEC,1920,0
JAN,1921,0.2
FEB,1921,0
MAR,1921,1.2
APR,1921,33.6
MAY,1921,5.4
JUN,1921,63.5
JUL,1921,158.2
AUG,1921,41.7
SEP,1921,49.4
OCT,1921,125.3
NOV,1921,104.5
DEC,1921,0
JAN,1922,24.5
FEB,1922,1.5
MAR,1922,0.2
APR,1922,30.2
MAY,1922,40.4
JUN,1922,70.7
JUL,1922,108.1
AUG,1922,40.4
SEP,1922,35.9
OCT,1922,64.9
NOV,1922,92.1
DEC,1922,0
JAN,1923,0.2
FEB,1923,13.2
MAR,1923,32.9
APR,1923,21.4
MAY,1923,28.2
JUN,1923,38.2
JUL,1923,229.4
AUG,1923,64.4
SEP,1923,163.1
OCT,1923,9.4
NOV,1923,0
DEC,1923,2.3
JAN,1924,5.1
FEB,1924,0
MAR,1924,6
APR,1924,42
MAY,1924,22
JUN,1924,68.3
JUL,1924,120.4
AUG,1924,117.9
SEP,1924,155.1
OCT,1924,37.9
NOV,1924,13.4
DEC,1924,3.1
JAN,1925,0
FEB,1925,0
MAR,1925,7.3
APR,1925,34.3
MAY,1925,79
JUN,1925,74.1
JUL,1925,113.7
AUG,1925,77.5
SEP,1925,108.7
OCT,1925,118.7
NOV,1925,16.6
DEC,1925,12.9
JAN,1926,24.8
FEB,1926,1
MAR,1926,2.1
APR,1926,4.5
MAY,1926,37.1
JUN,1926,65.5
JUL,1926,123
AUG,1926,138.4
SEP,1926,161.7
OCT,1926,22.1
NOV,1926,0.8
DEC,1926,0
JAN,1927,0
FEB,1927,1.4
