Month,Year,Rainfall
JAN,1901,39.5
FEB,1901,65.1
MAR,1901,16.1
APR,1901,51.6
MAY,1901,79
JUN,1901,78.2
JUL,1901,288.4
AUG,1901,307.7
SEP,1901,185.3
OCT,1901,76.6
NOV,1901,96.7
DEC,1901,0
JAN,1902,3.4
FEB,1902,0.2
MAR,1902,14.2
APR,1902,101.1
MAY,1902,56.7
JUN,1902,108.3
JUL,1902,437.4
AUG,1902,349.1
SEP,1902,202.7
OCT,1902,33.2
NOV,1902,13
DEC,1902,29.6
JAN,1903,19.7
FEB,1903,18.9
MAR,1903,10.5
APR,1903,34.6
MAY,1903,73.3
JUN,1903,154.3
JUL,1903,410.4
AUG,1903,295.2
SEP,1903,265.6
OCT,1903,228.5
NOV,1903,46.2
DEC,1903,11
JAN,1904,0.2
FEB,1904,12.2
MAR,1904,20.6
APR,1904,10.1
MAY,1904,100.2
JUN,1904,342.9
JUL,1904,336.7
AUG,1904,350.4
SEP,1904,227.8
OCT,1904,111.8
NOV,1904,0
DEC,1904,1.9
JAN,1905,24.3
FEB,1905,17.2
MAR,1905,66.3
APR,1905,56.9
MAY,1905,107.5
JUN,1905,92
JUL,1905,330.1
AUG,1905,281.4
SEP,1905,344.1
OCT,1905,36.4
NOV,1905,0.7
DEC,1905,0.4
JAN,1906,19.8
FEB,1906,88.3
MAR,1906,40.9
APR,1906,5
MAY,1906,46.3
JUN,1906,219
JUL,1906,348.8
AUG,1906,261.8
SEP,1906,251.7
OCT,1906,86.2
NOV,1906,13
DEC,1906,27.4
JAN,1907,0.1
FEB,1907,16.9
MAR,1907,57.4
APR,1907,105.1
MAY,1907,39.8
JUN,1907,226.3
JUL,1907,203.9
AUG,1907,531.8
SEP,1907,204.8
OCT,1907,15.9
NOV,1907,14
DEC,1907,31.2
JAN,1908,36.2
FEB,1908,0.6
MAR,1908,12.2
APR,1908,9.9
MAY,1908,59.3
JUN,1908,218.7
JUL,1908,327.2
AUG,1908,507.3
SEP,1908,213.9
OCT,1908,45.3
NOV,1908,0
DEC,1908,0
JAN,1909,5.7
FEB,1909,11.9
MAR,1909,4.8
APR,1909,148.4
MAY,1909,53.1
JUN,1909,288.2
JUL,1909,452.7
AUG,1909,234.3
SEP,1909,234
OCT,1909,42.3
NOV,1909,1.8
DEC,1909,58.1
JAN,1910,10.6
FEB,1910,0.6
MAR,1910,2.1
APR,1910,52.7
MAY,1910,60.6
JUN,1910,258.8
JUL,1910,381.8
AUG,1910,368.7
SEP,1910,237.9
OCT,1910,216.2
NOV,1910,8.5
DEC,1910,0
JAN,1911,0
FEB,1911,2.7
MAR,1911,26.2
APR,1911,18.6
MAY,1911,56.6
JUN,1911,351.6
JUL,1911,172.2
AUG,1911,406.2
SEP,1911,270
OCT,1911,92.3
NOV,1911,15
DEC,1911,5.9
JAN,1912,1
FEB,1912,62.5
MAR,1912,10.4
APR,1912,49.3
MAY,1912,39.6
JUN,1912,113
JUL,1912,388.4
AUG,1912,405.6
SEP,1912,216.4
OCT,1912,64.5
NOV,1912,46.5
DEC,1912,0
JAN,1913,1.2
FEB,1913,56.3
MAR,1913,9.6
APR,1913,12.3
MAY,1913,87.1
JUN,1913,230
JUL,1913,448
AUG,1913,356.4
SEP,1913,166.3
OCT,1913,149.7
NOV,1913,25.7
DEC,1913,1.7
JAN,1914,0
FEB,1914,20.2
MAR,1914,12.7
APR,1914,64.6
MAY,1914,175
JUN,1914,255.8
JUL,1914,397.7
AUG,1914,309.7
SEP,1914,342.2
OCT,1914,12.9
NOV,1914,1
DEC,1914,6.8
JAN,1915,15.4
FEB,1915,21.4
MAR,1915,37.3
APR,1915,25.2
MAY,1915,74.5
JUN,1915,165.1
JUL,1915,239.4
AUG,1915,313
SEP,1915,270.8
OCT,1915,149.2
NOV,1915,125.6
DEC,1915,0
JAN,1916,0
FEB,1916,4.9
MAR,1916,0.8
APR,1916,33.8
MAY,1916,45.5
JUN,1916,339.6
JUL,1916,250.7
AUG,1916,334.7
SEP,1916,197.6
OCT,1916,216.1
NOV,1916,55.8
DEC,1916,0
JAN,1917,0
FEB,1917,68.5
MAR,1917,24
APR,1917,26
MAY,1917,95.1
JUN,1917,336.3
JUL,1917,319
AUG,1917,319.4
SEP,1917,280.6
OCT,1917,364.4
NOV,1917,16.4
DEC,1917,0.3
JAN,1918,10.8
FEB,1918,0.3
MAR,1918,19.3
APR,1918,28.5
MAY,1918,127.7
JUN,1918,363.3
JUL,1918,216.5
AUG,1918,324.8
SEP,1918,190.1
OCT,1918,7.5
NOV,1918,5.1
DEC,1918,3.6
JAN,1919,59.8
FEB,1919,56.6
MAR,1919,29.5
APR,1919,30.2
