Month,Year,Rainfall
JAN,1901,55.7
FEB,1901,50.1
MAR,1901,25.2
APR,1901,2.1
MAY,1901,25.2
JUN,1901,10.4
JUL,1901,178.2
AUG,1901,145
SEP,1901,24.4
OCT,1901,3.7
NOV,1901,0
DEC,1901,3.3
JAN,1902,0
FEB,1902,0.8
MAR,1902,9.9
APR,1902,10.9
MAY,1902,29.6
JUN,1902,49.9
JUL,1902,125.6
AUG,1902,94.9
SEP,1902,67.2
OCT,1902,9
NOV,1902,0
DEC,1902,0.1
JAN,1903,29.5
FEB,1903,0.5
MAR,1903,45
APR,1903,1.3
MAY,1903,9.2
JUN,1903,5.2
JUL,1903,212.2
AUG,1903,119.1
SEP,1903,132.5
OCT,1903,6.9
NOV,1903,0
DEC,1903,9.5
JAN,1904,24.2
FEB,1904,1.7
MAR,1904,87.8
APR,1904,1.2
MAY,1904,13.8
JUN,1904,22
JUL,1904,59.9
AUG,1904,124
SEP,1904,73.8
OCT,1904,7.4
NOV,1904,9.8
DEC,1904,25.9
JAN,1905,53
FEB,1905,40.3
MAR,1905,24.3
APR,1905,0.5
MAY,1905,2.2
JUN,1905,19.2
JUL,1905,122.6
AUG,1905,50.3
SEP,1905,111.1
OCT,1905,1.2
NOV,1905,0
DEC,1905,9.4
JAN,1906,5.3
FEB,1906,83.1
MAR,1906,50.5
APR,1906,1.5
MAY,1906,4.7
JUN,1906,38.3
JUL,1906,99.4
AUG,1906,190.5
SEP,1906,181.5
OCT,1906,0.5
NOV,1906,0
DEC,1906,22.2
JAN,1907,27.3
FEB,1907,95.4
MAR,1907,53.1
APR,1907,50.7
MAY,1907,3.3
JUN,1907,20.2
JUL,1907,82.8
AUG,1907,249
SEP,1907,6.8
OCT,1907,0.4
NOV,1907,0
DEC,1907,0
JAN,1908,46.9
FEB,1908,11.8
MAR,1908,0.3
APR,1908,31.3
MAY,1908,12.1
JUN,1908,13
JUL,1908,183.8
AUG,1908,399.1
SEP,1908,37.3
OCT,1908,1.2
NOV,1908,1.7
DEC,1908,2
JAN,1909,34
FEB,1909,21
MAR,1909,0.2
APR,1909,48.6
MAY,1909,1.8
JUN,1909,81.3
JUL,1909,240.9
AUG,1909,178.7
SEP,1909,197.2
OCT,1909,1.5
NOV,1909,0
DEC,1909,40.5
JAN,1910,27.1
FEB,1910,5.6
MAR,1910,1.1
APR,1910,2.7
MAY,1910,1.4
JUN,1910,111.4
JUL,1910,143.9
AUG,1910,217.9
SEP,1910,79.5
OCT,1910,21
NOV,1910,0
DEC,1910,4.8
JAN,1911,112.1
FEB,1911,7.3
MAR,1911,108.5
APR,1911,3.7
MAY,1911,1
JUN,1911,64.9
JUL,1911,26.4
AUG,1911,103.5
SEP,1911,34
OCT,1911,11.7
NOV,1911,32.6
DEC,1911,0.1
JAN,1912,53.3
FEB,1912,5.2
MAR,1912,8.5
APR,1912,19.9
MAY,1912,10
JUN,1912,10.6
JUL,1912,173.3
AUG,1912,197.4
SEP,1912,37.5
OCT,1912,0
NOV,1912,18.5
DEC,1912,2.2
JAN,1913,0.9
FEB,1913,58.7
MAR,1913,47.5
APR,1913,0.6
MAY,1913,52.8
JUN,1913,86.9
JUL,1913,111.5
AUG,1913,159
SEP,1913,22.6
OCT,1913,2.2
NOV,1913,2.6
DEC,1913,15.8
JAN,1914,19.8
FEB,1914,26.9
MAR,1914,15.8
APR,1914,44.6
MAY,1914,17.3
JUN,1914,58.9
JUL,1914,290.9
AUG,1914,75.6
SEP,1914,193.1
OCT,1914,34.7
NOV,1914,8.1
DEC,1914,8.7
JAN,1915,28.7
FEB,1915,59.8
MAR,1915,48.3
APR,1915,9.3
MAY,1915,4.3
JUN,1915,22.5
JUL,1915,54.1
AUG,1915,67.4
SEP,1915,105.5
OCT,1915,19.3
NOV,1915,0
DEC,1915,2.4
JAN,1916,2.8
FEB,1916,20.9
MAR,1916,2.8
APR,1916,4.4
