Month,Year,Rainfall
JAN,1901,7
FEB,1901,50.2
MAR,1901,0
APR,1901,12.1
MAY,1901,38.9
JUN,1901,53
JUL,1901,73.4
AUG,1901,60.3
SEP,1901,109
OCT,1901,81.6
NOV,1901,137.2
DEC,1901,91.3
JAN,1902,10
FEB,1902,0.2
MAR,1902,1.7
APR,1902,11
MAY,1902,36.8
JUN,1902,73.6
JUL,1902,41.3
AUG,1902,148.3
SEP,1902,181.7
OCT,1902,188.5
NOV,1902,88.9
DEC,1902,36.4
JAN,1903,30
FEB,1903,0.1
MAR,1903,0
APR,1903,3.6
MAY,1903,80.5
JUN,1903,67.5
JUL,1903,127.5
AUG,1903,140.6
SEP,1903,219.7
OCT,1903,95.3
NOV,1903,289.4
DEC,1903,84
JAN,1904,14.8
FEB,1904,0
MAR,1904,1.7
APR,1904,7.1
MAY,1904,58.8
JUN,1904,39.8
JUL,1904,75.1
AUG,1904,19.4
SEP,1904,84.7
OCT,1904,111.5
NOV,1904,4.4
DEC,1904,16.1
JAN,1905,6.5
FEB,1905,6.8
MAR,1905,17
APR,1905,18.3
MAY,1905,44.2
JUN,1905,66.1
JUL,1905,50.9
AUG,1905,219.3
SEP,1905,36.5
OCT,1905,180.2
NOV,1905,55.4
DEC,1905,2
JAN,1906,115.3
FEB,1906,7.2
MAR,1906,6.8
APR,1906,2.1
MAY,1906,9.6
JUN,1906,84.1
JUL,1906,127.9
AUG,1906,154.4
SEP,1906,130.4
OCT,1906,107.7
NOV,1906,35
DEC,1906,132.2
JAN,1907,1.1
FEB,1907,0
MAR,1907,6.5
APR,1907,82.5
MAY,1907,8.6
JUN,1907,50.5
JUL,1907,100.5
AUG,1907,34.3
SEP,1907,97.7
OCT,1907,60
NOV,1907,140.7
DEC,1907,58
JAN,1908,5.7
FEB,1908,4.3
MAR,1908,4.7
APR,1908,5.5
MAY,1908,41.2
JUN,1908,36.2
JUL,1908,65
AUG,1908,45.5
SEP,1908,222.6
OCT,1908,151.8
NOV,1908,27.9
DEC,1908,6.8
JAN,1909,89.2
FEB,1909,0
MAR,1909,0
APR,1909,42.2
MAY,1909,105.4
JUN,1909,34.8
JUL,1909,61.5
AUG,1909,290.1
SEP,1909,205
OCT,1909,29.4
NOV,1909,12.8
DEC,1909,0.3
JAN,1910,0.6
FEB,1910,2.1
MAR,1910,0.7
APR,1910,13.1
MAY,1910,33.3
JUN,1910,46.5
JUL,1910,197.9
AUG,1910,188.2
SEP,1910,165.3
OCT,1910,205.1
NOV,1910,148.4
DEC,1910,0
JAN,1911,0
FEB,1911,0
MAR,1911,0.8
APR,1911,20.9
MAY,1911,65
JUN,1911,54
JUL,1911,73.6
AUG,1911,47.5
SEP,1911,107.6
OCT,1911,102.1
NOV,1911,83.2
DEC,1911,35.9
JAN,1912,1.1
FEB,1912,4.1
MAR,1912,0.6
APR,1912,5.6
MAY,1912,24.3
JUN,1912,35.4
JUL,1912,67.3
AUG,1912,93.3
SEP,1912,132
OCT,1912,157.8
NOV,1912,223.8
DEC,1912,0.2
JAN,1913,0
FEB,1913,0.4
MAR,1913,0.9
APR,1913,10.8
MAY,1913,52.8
JUN,1913,37
JUL,1913,93.3
AUG,1913,36.9
SEP,1913,122.1
OCT,1913,184.2
NOV,1913,12.3
DEC,1913,65.6
JAN,1914,2.4
FEB,1914,1.3
MAR,1914,1.2
APR,1914,23.5
MAY,1914,53.2
JUN,1914,65.3
JUL,1914,72.5
AUG,1914,130
SEP,1914,171.9
OCT,1914,83.4
NOV,1914,61.3
DEC,1914,12.4
JAN,1915,44.9
FEB,1915,4.8
MAR,1915,80.2
APR,1915,11.9
MAY,1915,47.4
JUN,1915,55.3
JUL,1915,155.3
AUG,1915,59.7
SEP,1915,167.9
OCT,1915,64.6
NOV,1915,225.1
DEC,1915,5.9
JAN,1916,0
FEB,1916,1.3
MAR,1916,0
APR,1916,7.9
MAY,1916,32.9
JUN,1916,48.1
JUL,1916,210.1
AUG,1916,160.2
SEP,1916,182.9
OCT,1916,252.5
NOV,1916,140.9
DEC,1916,10.4
JAN,1917,4.5
FEB,1917,35.6
MAR,1917,7.2
APR,1917,5.4
MAY,1917,63
JUN,1917,86.5
JUL,1917,63
AUG,1917,171.5
SEP,1917,185.6
OCT,1917,183.8
NOV,1917,105.1
DEC,1917,21.9
JAN,1918,60.6
FEB,1918,2.7
MAR,1918,10.5
APR,1918,10.4
MAY,1918,69.2
JUN,1918,37.6
JUL,1918,30.8
AUG,1918,74.1
SEP,1918,111.4
OCT,1918,4.4
NOV,1918,211.6
DEC,1918,22.8
JAN,1919,24.8
FEB,1919,0
MAR,1919,22.4
APR,1919,14.6
MAY,1919,51.5
JUN,1919,72.3
JUL,1919,151.8
AUG,1919,33
SEP,1919,237.8
OCT,1919,79
NOV,1919,180.6
DEC,1919,22.7
JAN,1920,79.5
FEB,1920,1.2
MAR,1920,0.4
APR,1920,11.5
MAY,1920,27.5
JUN,1920,42
JUL,1920,24.4
AUG,1920,86.3
SEP,1920,155.6
OCT,1920,134.9
NOV,1920,111.5
DEC,1920,0
JAN,1921,43.2
FEB,1921,0
MAR,1921,0
APR,1921,40.7
MAY,1921,9.1
JUN,1921,58.6
JUL,1921,180.3
AUG,1921,93.3
SEP,1921,84.4
OCT,1921,185.8
NOV,1921,43
DEC,1921,5.2
JAN,1922,36.9
FEB,1922,0
MAR,1922,0
APR,1922,12
MAY,1922,52
JUN,1922,48.4
JUL,1922,64.8
AUG,1922,85
SEP,1922,34.8
OCT,1922,120
NOV,1922,306.3
DEC,1922,10
JAN,1923,23
FEB,1923,8.5
MAR,1923,18
APR,1923,17.6
MAY,1923,23.7
JUN,1923,40.6
JUL,1923,58.6
AUG,1923,24.8
SEP,1923,167.4
OCT,1923,96.7
NOV,1923,19.6
DEC,1923,17.3
JAN,1924,9.8
FEB,1924,0
MAR,1924,1.2
APR,1924,12.7
MAY,1924,37
JUN,1924,44.7
JUL,1924,83.9
AUG,1924,86.2
SEP,1924,202.9
OCT,1924,47.5
NOV,1924,158.1
DEC,1924,0.3
JAN,1925,0
FEB,1925,0
MAR,1925,5.9
APR,1925,18.3
MAY,1925,125.9
JUN,1925,33.9
JUL,1925,106.3
AUG,1925,135.7
SEP,1925,85.2
OCT,1925,137.3
NOV,1925,108
DEC,1925,109
JAN,1926,57.3
FEB,1926,0
MAR,1926,15
APR,1926,38.1
MAY,1926,27.8
JUN,1926,83
JUL,1926,87.9
AUG,1926,92.3
SEP,1926,147.9
OCT,1926,80.6
NOV,1926,43.6
DEC,1926,9
JAN,1927,2.9
FEB,1927,1.9
MAR,1927,0
APR,1927,1.2
MAY,1927,29.8
JUN,1927,67.8
JUL,1927,98.7
AUG,1927,76.1
SEP,1927,191.6
OCT,1927,60.2
NOV,1927,150.8
DEC,1927,1
JAN,1928,1.3
FEB,1928,38.7
MAR,1928,10.9
APR,1928,23.2
MAY,1928,22.8
JUN,1928,71.9
JUL,1928,85
AUG,1928,87.5
SEP,1928,100.1
OCT,1928,202.4
NOV,1928,37
DEC,1928,30.4
JAN,1929,11
FEB,1929,10.3
MAR,1929,0.2
APR,1929,35.4
MAY,1929,31.1
JUN,1929,66.6
JUL,1929,36.6
AUG,1929,45.7
SEP,1929,165.7
OCT,1929,146.5
NOV,1929,109.4
DEC,1929,38.2
JAN,1930,15.6
FEB,1930,33.9
MAR,1930,8.3
APR,1930,7.6
MAY,1930,169.6
JUN,1930,98.1
JUL,1930,45.6
AUG,1930,33.1
SEP,1930,137.3
OCT,1930,245.8
NOV,1930,156.6
DEC,1930,44
JAN,1931,0.2
FEB,1931,0
MAR,1931,2.1
APR,1931,8.9
MAY,1931,53.9
JUN,1931,92
JUL,1931,101.2
AUG,1931,32.1
SEP,1931,137
OCT,1931,135.7
NOV,1931,92.4
DEC,1931,63.6
JAN,1932,0
FEB,1932,17.2
MAR,1932,0
APR,1932,12.1
MAY,1932,50.8
JUN,1932,59.7
JUL,1932,72.4
AUG,1932,128.6
SEP,1932,77.6
OCT,1932,92.6
NOV,1932,108.6
DEC,1932,16.2
JAN,1933,0
FEB,1933,1.7
MAR,1933,9.4
APR,1933,14.8
MAY,1933,47.7
JUN,1933,23.5
JUL,1933,74.8
AUG,1933,181.7
SEP,1933,56.3
OCT,1933,124.6
NOV,1933,42
DEC,1933,101.7
JAN,1934,21.5
FEB,1934,0
MAR,1934,0
APR,1934,23.2
MAY,1934,29.3
JUN,1934,84.7
JUL,1934,115
AUG,1934,49.9
SEP,1934,57.8
OCT,1934,151.5
NOV,1934,72.9
DEC,1934,5.6
JAN,1935,8.5
FEB,1935,0.6
MAR,1935,1.8
APR,1935,22.9
MAY,1935,17.5
JUN,1935,79.7
JUL,1935,92.6
AUG,1935,226.1
SEP,1935,113.9
OCT,1935,171.4
NOV,1935,35.8
DEC,1935,11.5
JAN,1936,0.2
FEB,1936,31.9
MAR,1936,8.3
APR,1936,12.7
MAY,1936,52.7
JUN,1936,87.7
JUL,1936,75.7
AUG,1936,49.7
SEP,1936,149.1
OCT,1936,66.8
NOV,1936,150.4
DEC,1936,10.4
JAN,1937,0.5
FEB,1937,9
MAR,1937,6.2
APR,1937,93.5
MAY,1937,25.9
JUN,1937,55.7
JUL,1937,105
AUG,1937,63.7
SEP,1937,110.4
OCT,1937,161.2
NOV,1937,123
DEC,1937,21.3
JAN,1938,0
FEB,1938,6.7
MAR,1938,5.4
APR,1938,1.9
MAY,1938,54.1
JUN,1938,75.6
JUL,1938,72.4
AUG,1938,199.4
SEP,1938,224.8
OCT,1938,24.5
NOV,1938,2.7
DEC,1938,7
JAN,1939,17.4
FEB,1939,0
MAR,1939,18.3
APR,1939,72.9
MAY,1939,10.2
JUN,1939,59.3
JUL,1939,50
AUG,1939,85.4
SEP,1939,142.5
OCT,1939,163
NOV,1939,177
DEC,1939,2.2
JAN,1940,0.3
FEB,1940,0.1
MAR,1940,8.8
APR,1940,29.4
MAY,1940,122.1
JUN,1940,91
JUL,1940,65.7
AUG,1940,105.3
SEP,1940,128.1
OCT,1940,171.7
NOV,1940,168.3
DEC,1940,13.8
JAN,1941,5.6
FEB,1941,7.3
MAR,1941,0
APR,1941,7.5
MAY,1941,38.3
JUN,1941,34.3
JUL,1941,25.7
AUG,1941,57.5
SEP,1941,173.8
OCT,1941,108.8
NOV,1941,98.3
DEC,1941,96.2
JAN,1942,0.4
FEB,1942,0.3
MAR,1942,0
APR,1942,15.1
MAY,1942,28.2
JUN,1942,86.5
JUL,1942,28.8
AUG,1942,123.2
SEP,1942,86.3
OCT,1942,53.1
NOV,1942,63.2
DEC,1942,51.8
JAN,1943,22
FEB,1943,1.8
MAR,1943,0.4
APR,1943,26.6
MAY,1943,239.8
JUN,1943,33.4
JUL,1943,88.1
AUG,1943,78.1
SEP,1943,134.3
OCT,1943,309.2
NOV,1943,95.7
DEC,1943,7.3
JAN,1944,0.2
FEB,1944,10.4
MAR,1944,86.9
APR,1944,9.9
MAY,1944,21.2
JUN,1944,87.5
JUL,1944,144.2
AUG,1944,69
SEP,1944,151.5
OCT,1944,180
NOV,1944,141.1
DEC,1944,15.7
JAN,1945,0
FEB,1945,0
MAR,1945,0
APR,1945,22.5
MAY,1945,36.7
JUN,1945,35.1
JUL,1945,160.8
AUG,1945,107.6
SEP,1945,105.2
OCT,1945,60
NOV,1945,75.6
DEC,1945,0.5
JAN,1946,1.7
FEB,1946,4.1
MAR,1946,7.9
APR,1946,11.8
MAY,1946,41.8
JUN,1946,42.6
JUL,1946,60
AUG,1946,88.4
SEP,1946,151.1
OCT,1946,87.4
NOV,1946,258.2
DEC,1946,198.7
JAN,1947,23.2
FEB,1947,1.4
MAR,1947,0.8
APR,1947,10.3
MAY,1947,20.3
JUN,1947,65.6
JUL,1947,124
AUG,1947,136.2
SEP,1947,126.2
OCT,1947,87.4
NOV,1947,17.2
DEC,1947,11.8
JAN,1948,4.2
FEB,1948,1.1
MAR,1948,4.1
APR,1948,32.5
MAY,1948,36.9
JUN,1948,33.2
JUL,1948,82.9
AUG,1948,105.8
SEP,1948,77.7
OCT,1948,108.8
NOV,1948,113.4
DEC,1948,8.1
JAN,1949,0
FEB,1949,0
MAR,1949,0.1
APR,1949,9.1
MAY,1949,68.9
JUN,1949,115.6
JUL,1949,137.8
AUG,1949,163.1
SEP,1949,180.9
OCT,1949,98
NOV,1949,53.1
DEC,1949,0
JAN,1950,0.2
FEB,1950,5.9
MAR,1950,3.4
APR,1950,0.7
MAY,1950,38.3
JUN,1950,31.4
JUL,1950,66.8
AUG,1950,85.2
SEP,1950,136.4
OCT,1950,101.5
NOV,1950,40.9
DEC,1950,0.2
JAN,1951,0
FEB,1951,0.1
MAR,1951,16.1
APR,1951,45.9
MAY,1951,78.4
JUN,1951,54.8
JUL,1951,106.7
AUG,1951,56.9
SEP,1951,65.6
OCT,1951,72.1
NOV,1951,41.7
DEC,1951,0.1
JAN,1952,0
FEB,1952,4.3
MAR,1952,1.2
APR,1952,12.2
MAY,1952,183.5
JUN,1952,55.8
JUL,1952,59.6
AUG,1952,81.9
SEP,1952,52.6
OCT,1952,108.7
NOV,1952,7.4
DEC,1952,134.2
JAN,1953,1.2
FEB,1953,0.5
MAR,1953,0
APR,1953,39.2
MAY,1953,19.8
JUN,1953,63.7
JUL,1953,125.2
AUG,1953,58.7
SEP,1953,141.9
OCT,1953,309.4
NOV,1953,35.7
DEC,1953,0.3
JAN,1954,13.4
FEB,1954,0
MAR,1954,11.9
APR,1954,8.8
MAY,1954,35.4
JUN,1954,50.6
JUL,1954,208.4
AUG,1954,79.3
SEP,1954,73
OCT,1954,222.4
NOV,1954,0
DEC,1954,82
JAN,1955,15.2
FEB,1955,1
MAR,1955,4.8
APR,1955,13.8
MAY,1955,135.6
JUN,1955,42.5
JUL,1955,107.3
