Month,Year,Rainfall
JAN,1901,1.9
FEB,1901,0
MAR,1901,0.1
APR,1901,0.2
MAY,1901,3.2
JUN,1901,9.1
JUL,1901,87.8
AUG,1901,62.5
SEP,1901,12
OCT,1901,3.8
NOV,1901,0
DEC,1901,0.7
JAN,1902,0.1
FEB,1902,0
MAR,1902,0
APR,1902,0.5
MAY,1902,1.1
JUN,1902,14.4
JUL,1902,92.9
AUG,1902,160
SEP,1902,123.9
OCT,1902,1.5
NOV,1902,0.1
DEC,1902,6.5
JAN,1903,0.5
FEB,1903,0
MAR,1903,1.7
APR,1903,0
MAY,1903,3.1
JUN,1903,10.5
JUL,1903,337.9
AUG,1903,96.1
SEP,1903,61.9
OCT,1903,11.1
NOV,1903,0
DEC,1903,0
JAN,1904,1.4
FEB,1904,5.8
MAR,1904,17.5
APR,1904,0
MAY,1904,0
JUN,1904,9.5
JUL,1904,111.2
AUG,1904,9.4
SEP,1904,28.9
OCT,1904,0.3
NOV,1904,1.7
DEC,1904,0
JAN,1905,1.5
FEB,1905,1
MAR,1905,0.6
APR,1905,0.4
MAY,1905,0
JUN,1905,6.4
JUL,1905,254.5
AUG,1905,12.3
SEP,1905,12.8
OCT,1905,0.4
NOV,1905,0
DEC,1905,0
JAN,1906,0.9
FEB,1906,28.2
MAR,1906,0
APR,1906,0
MAY,1906,0
JUN,1906,126
JUL,1906,161
AUG,1906,152.2
SEP,1906,56.6
OCT,1906,14.9
NOV,1906,0
DEC,1906,0.6
JAN,1907,0
FEB,1907,19.7
MAR,1907,0
APR,1907,2.3
MAY,1907,0.4
JUN,1907,69
JUL,1907,201.1
AUG,1907,213.7
SEP,1907,3.3
OCT,1907,0
NOV,1907,0
DEC,1907,0
JAN,1908,3.6
FEB,1908,0
MAR,1908,0
APR,1908,0
MAY,1908,0
JUN,1908,30.2
JUL,1908,284.8
AUG,1908,198.8
SEP,1908,10.4
OCT,1908,0.1
NOV,1908,0
DEC,1908,0
JAN,1909,0.2
FEB,1909,3.5
MAR,1909,0
APR,1909,3.6
MAY,1909,1
JUN,1909,99.6
JUL,1909,247.5
AUG,1909,64.8
