Month,Year,Rainfall
JAN,1901,4.9
FEB,1901,31.8
MAR,1901,3
APR,1901,32.7
MAY,1901,109.6
JUN,1901,106
JUL,1901,210
AUG,1901,109.2
SEP,1901,140.8
OCT,1901,170.1
NOV,1901,72.5
DEC,1901,12.3
JAN,1902,1.9
FEB,1902,0.5
MAR,1902,6.7
APR,1902,42.6
MAY,1902,97.7
JUN,1902,91.7
JUL,1902,210
AUG,1902,82.1
SEP,1902,138.4
OCT,1902,219.1
NOV,1902,44.6
DEC,1902,84.9
JAN,1903,0.3
FEB,1903,0
MAR,1903,1.1
APR,1903,11.6
MAY,1903,125.1
JUN,1903,129.7
JUL,1903,284.4
AUG,1903,155.7
SEP,1903,197.1
OCT,1903,154.2
NOV,1903,186.6
DEC,1903,24.1
JAN,1904,1
FEB,1904,0.5
MAR,1904,5.2
APR,1904,43.5
MAY,1904,144.7
JUN,1904,167.9
JUL,1904,197.1
AUG,1904,73.2
SEP,1904,89.6
OCT,1904,120.4
NOV,1904,2.5
DEC,1904,0.3
JAN,1905,1.7
FEB,1905,7.9
MAR,1905,14.2
APR,1905,23.6
MAY,1905,118.6
JUN,1905,95.9
JUL,1905,148.4
AUG,1905,140.6
SEP,1905,43.1
OCT,1905,142.8
NOV,1905,22.4
DEC,1905,0.3
JAN,1906,14.1
FEB,1906,1.5
MAR,1906,2.2
APR,1906,4.8
MAY,1906,46.1
JUN,1906,116.4
JUL,1906,211.3
AUG,1906,256.3
SEP,1906,109.5
OCT,1906,173.4
NOV,1906,16.5
DEC,1906,52.6
JAN,1907,4.5
FEB,1907,0
MAR,1907,11.7
APR,1907,84.7
MAY,1907,46.5
JUN,1907,137.4
JUL,1907,231.5
AUG,1907,219.4
SEP,1907,146.5
OCT,1907,52.6
NOV,1907,49.5
DEC,1907,14.1
JAN,1908,8.3
FEB,1908,2.4
MAR,1908,9.3
APR,1908,44.4
MAY,1908,92.5
JUN,1908,92.2
JUL,1908,263.6
AUG,1908,118.1
SEP,1908,88
OCT,1908,69.6
NOV,1908,1.2
DEC,1908,0.5
JAN,1909,19.8
FEB,1909,1.2
MAR,1909,6.7
APR,1909,42.1
MAY,1909,166.6
JUN,1909,138.9
JUL,1909,245.5
AUG,1909,190.5
SEP,1909,109
OCT,1909,121.5
NOV,1909,35.8
DEC,1909,9.7
JAN,1910,0
FEB,1910,1.1
MAR,1910,7.5
APR,1910,27
MAY,1910,89.8
JUN,1910,124.9
JUL,1910,254.1
AUG,1910,232.6
SEP,1910,123.5
OCT,1910,219.6
NOV,1910,77
DEC,1910,0
JAN,1911,0.8
FEB,1911,0.1
MAR,1911,5.2
APR,1911,28.8
MAY,1911,123.2
JUN,1911,174.8
JUL,1911,225.7
AUG,1911,84
SEP,1911,63.3
OCT,1911,156.7
NOV,1911,35.8
DEC,1911,7.9
JAN,1912,0.8
FEB,1912,4.6
MAR,1912,2.7
APR,1912,41.7
MAY,1912,70.1
JUN,1912,133
JUL,1912,291.9
AUG,1912,181.3
SEP,1912,176.1
OCT,1912,190
NOV,1912,57.6
DEC,1912,0.1
JAN,1913,0
FEB,1913,0.1
MAR,1913,1
APR,1913,22.3
MAY,1913,93.4
