Month,Year,Rainfall
JAN,1901,26.5
FEB,1901,14.8
MAR,1901,14.1
APR,1901,29.2
MAY,1901,195.5
JUN,1901,488.4
JUL,1901,524.8
AUG,1901,501.1
SEP,1901,242.7
OCT,1901,55.5
NOV,1901,17.9
DEC,1901,2.6
JAN,1902,1.2
FEB,1902,0.7
MAR,1902,87.1
APR,1902,126.1
MAY,1902,271.3
JUN,1902,539.2
JUL,1902,671
AUG,1902,603.8
SEP,1902,799.9
OCT,1902,74.4
NOV,1902,5.6
DEC,1902,0
JAN,1903,5.5
FEB,1903,8.7
MAR,1903,19.6
APR,1903,18.6
MAY,1903,163.6
JUN,1903,541.2
JUL,1903,431.5
AUG,1903,708.8
SEP,1903,365.2
OCT,1903,141.3
NOV,1903,0.3
DEC,1903,0
JAN,1904,3.4
FEB,1904,29.2
MAR,1904,0.9
APR,1904,124.3
MAY,1904,333.6
JUN,1904,274.2
JUL,1904,500.4
AUG,1904,468.5
SEP,1904,260.6
OCT,1904,164.8
NOV,1904,8.9
DEC,1904,1.1
JAN,1905,12
FEB,1905,31.2
MAR,1905,51.9
APR,1905,104.4
MAY,1905,290.6
JUN,1905,524.8
JUL,1905,523.1
AUG,1905,1036.6
SEP,1905,321.1
OCT,1905,87.9
NOV,1905,2.7
DEC,1905,18.7
JAN,1906,9.3
FEB,1906,49.2
MAR,1906,30.4
APR,1906,13
MAY,1906,198.1
JUN,1906,438
JUL,1906,706.4
AUG,1906,816
SEP,1906,208.6
OCT,1906,140.5
NOV,1906,8
DEC,1906,0.4
JAN,1907,10.4
FEB,1907,20.8
MAR,1907,71.1
APR,1907,108.8
MAY,1907,156.2
JUN,1907,408.1
JUL,1907,889.8
AUG,1907,358.8
SEP,1907,456.1
OCT,1907,40
NOV,1907,5.8
DEC,1907,4.1
JAN,1908,10.6
FEB,1908,32.9
MAR,1908,9.8
APR,1908,53.8
MAY,1908,315
JUN,1908,368.6
JUL,1908,449.1
AUG,1908,268.5
SEP,1908,441.6
OCT,1908,36
NOV,1908,2.3
DEC,1908,0
JAN,1909,2.1
FEB,1909,8.6
MAR,1909,0
APR,1909,147.8
MAY,1909,191.9
JUN,1909,896
JUL,1909,340.9
AUG,1909,600.5
SEP,1909,340.2
OCT,1909,136.8
NOV,1909,3.6
DEC,1909,1.8
JAN,1910,2.5
FEB,1910,17.4
MAR,1910,73.2
APR,1910,47.4
MAY,1910,170.4
JUN,1910,833.7
JUL,1910,859.8
AUG,1910,489.2
SEP,1910,353.1
