Month,Year,Rainfall
JAN,1901,24.5
FEB,1901,39.1
MAR,1901,21.7
APR,1901,36
MAY,1901,74
JUN,1901,41.8
JUL,1901,49.3
AUG,1901,67.9
SEP,1901,191.1
OCT,1901,122.3
NOV,1901,212.3
DEC,1901,80.4
JAN,1902,67.2
FEB,1902,9.8
MAR,1902,25.1
APR,1902,21.9
MAY,1902,84.7
JUN,1902,39.3
JUL,1902,55.1
AUG,1902,113.8
SEP,1902,98.6
OCT,1902,282.2
NOV,1902,174.9
DEC,1902,165.8
JAN,1903,19.3
FEB,1903,7.8
MAR,1903,1.7
APR,1903,18.2
MAY,1903,128.5
JUN,1903,58.5
JUL,1903,72.6
AUG,1903,115
SEP,1903,210.4
OCT,1903,128.1
NOV,1903,200.5
DEC,1903,203.2
JAN,1904,35.2
FEB,1904,0.1
MAR,1904,0.7
APR,1904,19.5
MAY,1904,121.9
JUN,1904,34.9
JUL,1904,89
AUG,1904,40.4
SEP,1904,85.7
OCT,1904,163.2
NOV,1904,23.6
DEC,1904,49.1
JAN,1905,6.5
FEB,1905,7.5
MAR,1905,17.2
APR,1905,64.8
MAY,1905,83.7
JUN,1905,49.8
JUL,1905,39
AUG,1905,101.8
SEP,1905,73.5
OCT,1905,250.4
NOV,1905,123.7
DEC,1905,3.2
JAN,1906,52.4
FEB,1906,12.9
MAR,1906,17
APR,1906,8.5
MAY,1906,39.6
JUN,1906,43.6
JUL,1906,76
AUG,1906,195.2
SEP,1906,65.3
OCT,1906,162.8
NOV,1906,189.1
DEC,1906,127.7
JAN,1907,8.4
FEB,1907,1.2
MAR,1907,25
APR,1907,78.9
MAY,1907,56.6
JUN,1907,46.1
JUL,1907,70.4
AUG,1907,58.2
SEP,1907,117.2
OCT,1907,160.4
NOV,1907,200
DEC,1907,63.2
JAN,1908,16.8
FEB,1908,36.9
MAR,1908,25
APR,1908,24.5
MAY,1908,70.3
JUN,1908,34.2
JUL,1908,37.5
AUG,1908,48.4
SEP,1908,154.2
OCT,1908,261
NOV,1908,36.1
DEC,1908,20.1
JAN,1909,116.5
FEB,1909,11.2
MAR,1909,7.7
APR,1909,68.6
MAY,1909,117.4
JUN,1909,30.8
JUL,1909,36.1
AUG,1909,206.6
SEP,1909,106.1
OCT,1909,158
NOV,1909,74.7
DEC,1909,20.8
JAN,1910,9.2
FEB,1910,21.2
MAR,1910,2.4
APR,1910,26.8
MAY,1910,64.7
JUN,1910,51.5
JUL,1910,148.1
AUG,1910,142
SEP,1910,52.4
OCT,1910,278
NOV,1910,146.7
DEC,1910,0.6
JAN,1911,2.8
FEB,1911,1.1
MAR,1911,6
APR,1911,30.8
MAY,1911,72.1
JUN,1911,70.7
JUL,1911,50.3
AUG,1911,28.9
SEP,1911,120.5
OCT,1911,125.6
NOV,1911,176.2
DEC,1911,130.1
JAN,1912,5.9
FEB,1912,2.8
MAR,1912,2.9
APR,1912,18.5
MAY,1912,64.2
