Month,Year,Rainfall
JAN,1901,6.9
FEB,1901,41.8
MAR,1901,7.8
APR,1901,45.2
MAY,1901,22
JUN,1901,123.6
JUL,1901,237.8
AUG,1901,177.2
SEP,1901,77.7
OCT,1901,75.5
NOV,1901,12.2
DEC,1901,0
JAN,1902,0
FEB,1902,0
MAR,1902,0.2
APR,1902,10.7
MAY,1902,7.3
JUN,1902,52.4
JUL,1902,146.3
AUG,1902,142.8
SEP,1902,190.5
OCT,1902,41.7
NOV,1902,31.2
DEC,1902,7.3
JAN,1903,12.9
FEB,1903,4.6
MAR,1903,0
APR,1903,9.9
MAY,1903,40.7
JUN,1903,99.2
JUL,1903,505.2
AUG,1903,246.7
SEP,1903,191.9
OCT,1903,155.8
NOV,1903,15.5
DEC,1903,1.1
JAN,1904,0
FEB,1904,0
MAR,1904,10.8
APR,1904,0.8
MAY,1904,14.7
JUN,1904,104.2
JUL,1904,139.5
AUG,1904,50
SEP,1904,162.3
OCT,1904,44.4
NOV,1904,0
DEC,1904,0
JAN,1905,0
FEB,1905,4.3
MAR,1905,12.8
APR,1905,27.6
MAY,1905,32.2
JUN,1905,129.5
JUL,1905,82.4
AUG,1905,237.3
SEP,1905,179.1
OCT,1905,19.6
NOV,1905,0
DEC,1905,0
JAN,1906,22.5
FEB,1906,1.2
MAR,1906,13.4
APR,1906,2.4
MAY,1906,0.7
JUN,1906,211.1
JUL,1906,210.8
AUG,1906,226.7
SEP,1906,96.3
OCT,1906,20.5
NOV,1906,14.9
DEC,1906,34.8
JAN,1907,1
FEB,1907,3.3
MAR,1907,10.2
APR,1907,61.9
MAY,1907,0.2
JUN,1907,217.5
JUL,1907,160.5
AUG,1907,263.3
SEP,1907,116.8
OCT,1907,0.3
NOV,1907,3.6
DEC,1907,5
JAN,1908,35.6
FEB,1908,2.6
MAR,1908,5.2
APR,1908,0.3
MAY,1908,6.5
JUN,1908,107.4
JUL,1908,254.9
AUG,1908,168.3
SEP,1908,401.2
OCT,1908,0.1
NOV,1908,0
DEC,1908,0.7
JAN,1909,0.5
FEB,1909,5.9
MAR,1909,0.5
APR,1909,26.4
MAY,1909,2.2
JUN,1909,133.8
JUL,1909,288.3
AUG,1909,168.6
SEP,1909,138.5
OCT,1909,4.6
NOV,1909,0
DEC,1909,0.2
JAN,1910,0
FEB,1910,0
MAR,1910,0
APR,1910,4.2
MAY,1910,25
JUN,1910,220.9
JUL,1910,198.2
AUG,1910,150.3
SEP,1910,230.5
OCT,1910,101.4
NOV,1910,45.3
DEC,1910,0
JAN,1911,0
FEB,1911,0
MAR,1911,7.9
APR,1911,0.7
MAY,1911,7.8
JUN,1911,133.9
JUL,1911,122.1
AUG,1911,176.3
SEP,1911,174.4
OCT,1911,23
NOV,1911,6
DEC,1911,9.9
JAN,1912,0
FEB,1912,37.5
MAR,1912,0
APR,1912,20.4
MAY,1912,6.6
JUN,1912,28.5
JUL,1912,263.3
AUG,1912,196.8
SEP,1912,149.5
OCT,1912,7.8
NOV,1912,33.4
DEC,1912,0
JAN,1913,0
FEB,1913,13.4
MAR,1913,0
APR,1913,8
MAY,1913,34.6
JUN,1913,83.5
JUL,1913,337.2
AUG,1913,108.8
SEP,1913,101.7
OCT,1913,35.2
NOV,1913,0
DEC,1913,9.7
JAN,1914,0
FEB,1914,0
MAR,1914,1.2
APR,1914,34.1
MAY,1914,41.5
JUN,1914,233.1
JUL,1914,271.3
AUG,1914,195.1
SEP,1914,278.6
OCT,1914,16.2
NOV,1914,10.3
DEC,1914,2
JAN,1915,15.4
FEB,1915,8.6
MAR,1915,77.8
APR,1915,18.8
MAY,1915,26.7
JUN,1915,165.6
JUL,1915,140.4
AUG,1915,236.2
SEP,1915,186.8
OCT,1915,122
NOV,1915,23.6
DEC,1915,0.1
JAN,1916,0
FEB,1916,4.1
MAR,1916,0
APR,1916,15.9
MAY,1916,16.1
JUN,1916,233.2
JUL,1916,216.4
AUG,1916,137
SEP,1916,291.8
OCT,1916,153.1
NOV,1916,95.1
DEC,1916,0
JAN,1917,0
FEB,1917,65.5
MAR,1917,33
APR,1917,34.1
MAY,1917,52.7
JUN,1917,184.1
JUL,1917,267.5
AUG,1917,180.1
SEP,1917,275.6
OCT,1917,106.7
NOV,1917,6.6
DEC,1917,0
JAN,1918,20.2
FEB,1918,0
MAR,1918,32.6
APR,1918,8.3
MAY,1918,55.5
JUN,1918,97.8
JUL,1918,106.1
AUG,1918,89.6
SEP,1918,96.9
OCT,1918,6.4
NOV,1918,7.5
DEC,1918,33.9
JAN,1919,5.5
FEB,1919,39.2
MAR,1919,31.3
APR,1919,35
MAY,1919,23.6
JUN,1919,158.8
JUL,1919,139.4
AUG,1919,115.3
SEP,1919,129.9
OCT,1919,130.6
NOV,1919,78.5
DEC,1919,7.4
JAN,1920,7.4
FEB,1920,0
MAR,1920,1.7
APR,1920,24.4
MAY,1920,31.4
JUN,1920,62.8
JUL,1920,138.8
AUG,1920,66.5
SEP,1920,78.9
OCT,1920,24.9
NOV,1920,0
DEC,1920,0
JAN,1921,7.1
FEB,1921,0
MAR,1921,0.1
APR,1921,5.4
MAY,1921,5.5
JUN,1921,200.9
JUL,1921,296.7
AUG,1921,161.1
SEP,1921,240.7
OCT,1921,68
NOV,1921,17.9
DEC,1921,0
JAN,1922,55.3
FEB,1922,0
MAR,1922,0
APR,1922,6.6
MAY,1922,50.1
JUN,1922,69.2
JUL,1922,184.3
AUG,1922,158.3
SEP,1922,170.2
OCT,1922,23
NOV,1922,50.7
DEC,1922,0
JAN,1923,3
FEB,1923,5.3
MAR,1923,23.3
APR,1923,10.7
MAY,1923,18
JUN,1923,43.5
JUL,1923,222.8
AUG,1923,80.3
SEP,1923,334.4
OCT,1923,44
NOV,1923,1
DEC,1923,0
JAN,1924,37
FEB,1924,0
MAR,1924,0
APR,1924,9.2
MAY,1924,34.6
JUN,1924,62.8
JUL,1924,124.7
AUG,1924,220.2
SEP,1924,288.2
OCT,1924,51.6
NOV,1924,116.1
DEC,1924,0
JAN,1925,0
FEB,1925,0
MAR,1925,0
APR,1925,49.8
MAY,1925,97.8
JUN,1925,168.1
JUL,1925,266.2
AUG,1925,239.2
SEP,1925,148.1
OCT,1925,187.5
NOV,1925,8.1
DEC,1925,3.1
JAN,1926,46.1
FEB,1926,2
MAR,1926,24
APR,1926,48.8
MAY,1926,24
JUN,1926,74.7
JUL,1926,227.3
AUG,1926,205.1
SEP,1926,70.5
OCT,1926,41
NOV,1926,0
DEC,1926,0
JAN,1927,9.6
FEB,1927,11
MAR,1927,4.6
APR,1927,2
MAY,1927,14.3
JUN,1927,248.3
JUL,1927,266
AUG,1927,158.5
SEP,1927,142.4
OCT,1927,59.9
NOV,1927,89
DEC,1927,0
JAN,1928,0
FEB,1928,15.8
MAR,1928,47.3
APR,1928,4.5
MAY,1928,27.9
JUN,1928,143.9
JUL,1928,248.6
AUG,1928,191.6
SEP,1928,215.2
OCT,1928,104.1
NOV,1928,0
DEC,1928,7.4
JAN,1929,5.3
FEB,1929,64.8
MAR,1929,0
APR,1929,21.7
MAY,1929,2.8
JUN,1929,146
JUL,1929,115
AUG,1929,142.2
SEP,1929,232.5
OCT,1929,35.9
NOV,1929,0
DEC,1929,24.5
JAN,1930,0
FEB,1930,14.7
MAR,1930,5.4
APR,1930,13.5
MAY,1930,1.7
JUN,1930,184.9
JUL,1930,131.1
AUG,1930,144.7
SEP,1930,215.6
OCT,1930,60
NOV,1930,64.3
DEC,1930,0
JAN,1931,0.3
FEB,1931,5.1
MAR,1931,4
APR,1931,13.3
MAY,1931,25.9
JUN,1931,187.3
JUL,1931,368.6
AUG,1931,155.9
SEP,1931,288.1
OCT,1931,107.4
NOV,1931,25.5
DEC,1931,1.6
JAN,1932,0
FEB,1932,40.3
MAR,1932,1.3
APR,1932,17.6
MAY,1932,25.8
JUN,1932,119.7
JUL,1932,300.4
AUG,1932,179
SEP,1932,172.9
OCT,1932,32
NOV,1932,60.9
DEC,1932,0
JAN,1933,12.9
FEB,1933,17.4
MAR,1933,15.7
APR,1933,25
MAY,1933,63.4
JUN,1933,332
JUL,1933,243.4
AUG,1933,226.7
SEP,1933,262.2
OCT,1933,128.9
NOV,1933,24
DEC,1933,44.5
JAN,1934,0.1
FEB,1934,0
MAR,1934,0.1
APR,1934,18.3
MAY,1934,1.2
JUN,1934,111.7
JUL,1934,296.9
AUG,1934,280.2
SEP,1934,162.3
OCT,1934,15.2
NOV,1934,42
DEC,1934,0
JAN,1935,16.2
FEB,1935,3.4
MAR,1935,1.4
APR,1935,42.2
MAY,1935,2.7
JUN,1935,115.1
JUL,1935,309.7
AUG,1935,162.9
SEP,1935,198.3
OCT,1935,43.5
NOV,1935,2.6
DEC,1935,0.5
JAN,1936,2.5
FEB,1936,79.1
MAR,1936,15.3
APR,1936,8.4
MAY,1936,73.7
JUN,1936,200
JUL,1936,268.9
AUG,1936,220.9
SEP,1936,128.4
OCT,1936,96.4
NOV,1936,48.2
DEC,1936,15.1
JAN,1937,0
FEB,1937,33.2
MAR,1937,28.6
APR,1937,105.6
MAY,1937,3
JUN,1937,77.8
JUL,1937,285.8
AUG,1937,102.4
SEP,1937,153.6
OCT,1937,72.1
NOV,1937,0.9
DEC,1937,3
JAN,1938,0
FEB,1938,41.3
MAR,1938,14.2
APR,1938,16.6
MAY,1938,27.8
JUN,1938,226.3
JUL,1938,331.6
AUG,1938,256.5
SEP,1938,201.9
OCT,1938,59.2
NOV,1938,0
DEC,1938,0
JAN,1939,0
FEB,1939,0
MAR,1939,22
APR,1939,16.7
MAY,1939,3
JUN,1939,73.5
JUL,1939,173.2
AUG,1939,202.5
SEP,1939,107.1
OCT,1939,130.3
NOV,1939,11.8
