Month,Year,Rainfall
JAN,1901,134.5
FEB,1901,81.4
MAR,1901,44.5
APR,1901,5.9
MAY,1901,60.8
JUN,1901,33.6
JUL,1901,381.1
AUG,1901,612.3
SEP,1901,167.1
OCT,1901,16.3
NOV,1901,0
DEC,1901,24.9
JAN,1902,0
FEB,1902,17
MAR,1902,52.2
APR,1902,63.7
MAY,1902,52.1
JUN,1902,113.1
JUL,1902,444.1
AUG,1902,327.5
SEP,1902,220.4
OCT,1902,31.9
NOV,1902,2.1
DEC,1902,0
JAN,1903,68
FEB,1903,7.9
MAR,1903,87.6
APR,1903,10.3
MAY,1903,37.5
JUN,1903,83
JUL,1903,251.6
AUG,1903,442.7
SEP,1903,249.3
OCT,1903,57.5
NOV,1903,0
DEC,1903,11.3
JAN,1904,40
FEB,1904,5.2
MAR,1904,78.3
APR,1904,13.6
MAY,1904,61.1
JUN,1904,180.1
JUL,1904,449.6
AUG,1904,417.2
SEP,1904,174.1
OCT,1904,6.3
NOV,1904,35.6
DEC,1904,31
JAN,1905,115.4
FEB,1905,80.7
MAR,1905,99.8
APR,1905,26.1
MAY,1905,70.3
JUN,1905,111.5
JUL,1905,299.9
AUG,1905,349.5
SEP,1905,129.5
OCT,1905,0
NOV,1905,1
DEC,1905,18.5
JAN,1906,26.1
FEB,1906,162
MAR,1906,36.8
APR,1906,10.1
MAY,1906,44.6
JUN,1906,195.6
JUL,1906,363.9
AUG,1906,440.9
SEP,1906,232.2
OCT,1906,11.6
NOV,1906,0.4
DEC,1906,13.8
JAN,1907,49.4
FEB,1907,131.6
MAR,1907,144.4
APR,1907,41.7
MAY,1907,57.6
JUN,1907,74.8
JUL,1907,342.3
AUG,1907,323.8
SEP,1907,28.2
OCT,1907,0.4
NOV,1907,0
DEC,1907,0.1
JAN,1908,49.4
FEB,1908,74.6
MAR,1908,6.3
APR,1908,31.8
MAY,1908,46.3
JUN,1908,144.9
JUL,1908,411.4
AUG,1908,423.5
SEP,1908,56.2
