Month,Year,Rainfall
JAN,1901,36.8
FEB,1901,39.9
MAR,1901,30.9
APR,1901,26.1
MAY,1901,7.3
JUN,1901,129.7
JUL,1901,295.3
AUG,1901,368.8
SEP,1901,123.4
OCT,1901,35.2
NOV,1901,0
DEC,1901,0
JAN,1902,1.6
FEB,1902,0.1
MAR,1902,0
APR,1902,6.5
MAY,1902,4.1
JUN,1902,38
JUL,1902,270.7
AUG,1902,204.7
SEP,1902,150.9
OCT,1902,29.6
NOV,1902,16.1
DEC,1902,26.7
JAN,1903,5.2
FEB,1903,4
MAR,1903,0.1
APR,1903,2.5
MAY,1903,37.8
JUN,1903,121.2
JUL,1903,475.5
AUG,1903,325.5
SEP,1903,154.8
OCT,1903,100.8
NOV,1903,2
DEC,1903,0
JAN,1904,4.3
FEB,1904,2.4
MAR,1904,12.9
APR,1904,0.2
MAY,1904,14.8
JUN,1904,148.9
JUL,1904,158.3
AUG,1904,151.8
SEP,1904,196.9
OCT,1904,61.7
NOV,1904,0
DEC,1904,0.9
JAN,1905,7.3
FEB,1905,12.7
MAR,1905,12.4
APR,1905,16.2
MAY,1905,14
JUN,1905,81
JUL,1905,254.5
AUG,1905,216.3
SEP,1905,321.3
OCT,1905,6
NOV,1905,0.2
DEC,1905,0
JAN,1906,12.9
FEB,1906,3.3
MAR,1906,11.9
APR,1906,0.2
MAY,1906,6.1
JUN,1906,328.1
JUL,1906,350.4
AUG,1906,325.8
SEP,1906,113.3
OCT,1906,6.9
NOV,1906,14.3
DEC,1906,18.1
JAN,1907,3.6
FEB,1907,52.9
MAR,1907,3.7
APR,1907,45.3
MAY,1907,1.6
JUN,1907,181.4
JUL,1907,309.7
AUG,1907,332.6
SEP,1907,59.7
OCT,1907,0.2
NOV,1907,15.7
DEC,1907,4.3
JAN,1908,4.1
FEB,1908,15.5
MAR,1908,13.5
APR,1908,5.7
MAY,1908,1.5
JUN,1908,232
JUL,1908,355.2
AUG,1908,398.4
SEP,1908,205.9
OCT,1908,7.8
NOV,1908,0
DEC,1908,3.9
JAN,1909,1.3
FEB,1909,10
MAR,1909,4.8
APR,1909,31.5
MAY,1909,17.9
JUN,1909,157.1
JUL,1909,405
AUG,1909,176
SEP,1909,160.3
OCT,1909,7.3
NOV,1909,0
DEC,1909,90.6
JAN,1910,0
FEB,1910,0
MAR,1910,0
APR,1910,0.1
MAY,1910,10
JUN,1910,289.1
JUL,1910,297.4
AUG,1910,278.7
SEP,1910,300.3
OCT,1910,57.7
NOV,1910,60.8
DEC,1910,0
JAN,1911,18.2
FEB,1911,0
MAR,1911,2.2
APR,1911,0
MAY,1911,2.6
JUN,1911,218
JUL,1911,205.9
AUG,1911,292.3
SEP,1911,176.1
OCT,1911,27.5
NOV,1911,39.9
DEC,1911,0
JAN,1912,0.6
FEB,1912,49.3
MAR,1912,0.2
APR,1912,6.1
MAY,1912,7.2
JUN,1912,54.2
JUL,1912,364.5
AUG,1912,391.9
SEP,1912,117
OCT,1912,6.9
NOV,1912,15.6
DEC,1912,0.5
JAN,1913,0
FEB,1913,24.9
MAR,1913,4
APR,1913,1.8
MAY,1913,17.2
JUN,1913,199.8
JUL,1913,378.3
AUG,1913,244.3
SEP,1913,137.2
OCT,1913,17.4
NOV,1913,0.3
DEC,1913,27.4
JAN,1914,0
FEB,1914,13.4
MAR,1914,12.8
APR,1914,39.1
MAY,1914,15.9
JUN,1914,239.5
JUL,1914,341.2
AUG,1914,245.6
SEP,1914,266.6
OCT,1914,6.1
NOV,1914,5.7
DEC,1914,13.1
JAN,1915,33.3
FEB,1915,9.1
MAR,1915,65.9
APR,1915,18.9
MAY,1915,13.1
JUN,1915,190.2
JUL,1915,311
AUG,1915,229.6
SEP,1915,195.2
OCT,1915,111
NOV,1915,7.4
DEC,1915,15
JAN,1916,0
FEB,1916,14.4
MAR,1916,0.8
APR,1916,2.2
MAY,1916,21.7
JUN,1916,257
JUL,1916,345.3
AUG,1916,306.2
SEP,1916,253.1
OCT,1916,124.1
NOV,1916,37.4
DEC,1916,0
JAN,1917,0.9
FEB,1917,78.5
MAR,1917,20.6
APR,1917,11.5
MAY,1917,48.9
JUN,1917,234.9
JUL,1917,350.1
AUG,1917,200.3
SEP,1917,328.5
OCT,1917,120.9
NOV,1917,1.7
DEC,1917,0
JAN,1918,2.5
FEB,1918,2.9
MAR,1918,3.1
APR,1918,0.2
MAY,1918,83.1
JUN,1918,278.3
JUL,1918,168
AUG,1918,174.5
SEP,1918,55.5
OCT,1918,3.4
NOV,1918,16.8
DEC,1918,13.2
JAN,1919,55.8
FEB,1919,37
MAR,1919,15.9
APR,1919,6.3
MAY,1919,19.9
JUN,1919,325.6
JUL,1919,280.3
AUG,1919,249.8
SEP,1919,103.6
OCT,1919,98
NOV,1919,19.3
DEC,1919,1.1
JAN,1920,26.7
FEB,1920,0.3
MAR,1920,5.2
APR,1920,6.2
MAY,1920,4.8
JUN,1920,101.8
JUL,1920,237.8
AUG,1920,111.7
SEP,1920,83.3
OCT,1920,0.5
NOV,1920,0
DEC,1920,0
JAN,1921,20.3
FEB,1921,0.1
MAR,1921,0
APR,1921,2.6
MAY,1921,0
JUN,1921,283.9
JUL,1921,293
AUG,1921,292
SEP,1921,182.3
OCT,1921,11.3
NOV,1921,0.2
DEC,1921,0
JAN,1922,33.8
FEB,1922,2.3
MAR,1922,0
APR,1922,3.8
MAY,1922,5.1
JUN,1922,206.1
JUL,1922,361.7
AUG,1922,116.5
SEP,1922,295.3
OCT,1922,4.7
NOV,1922,80.3
DEC,1922,0.3
JAN,1923,1
FEB,1923,6.7
MAR,1923,30.6
APR,1923,3.4
MAY,1923,2.3
JUN,1923,21.4
JUL,1923,402.9
AUG,1923,201.1
SEP,1923,260.1
OCT,1923,11
NOV,1923,0.1
DEC,1923,0.7
JAN,1924,21.3
FEB,1924,0.5
MAR,1924,4.4
APR,1924,6.2
MAY,1924,3.2
JUN,1924,43.8
JUL,1924,308.3
AUG,1924,220.6
SEP,1924,217.3
OCT,1924,126.9
NOV,1924,33.6
DEC,1924,8.1
JAN,1925,0
FEB,1925,0
MAR,1925,7.3
APR,1925,5.4
MAY,1925,28
JUN,1925,130.3
JUL,1925,293.9
AUG,1925,307.2
SEP,1925,77.4
