Month,Year,Rainfall
JAN,1901,25.8
FEB,1901,5.8
MAR,1901,5.8
APR,1901,2.8
MAY,1901,2.1
JUN,1901,41.2
JUL,1901,228.9
AUG,1901,349.9
SEP,1901,47.9
OCT,1901,5.6
NOV,1901,0
DEC,1901,2.4
JAN,1902,22.1
FEB,1902,8.4
MAR,1902,0
APR,1902,2
MAY,1902,5.9
JUN,1902,35.9
JUL,1902,401.9
AUG,1902,179.4
SEP,1902,194.1
OCT,1902,37.9
NOV,1902,10
DEC,1902,14.2
JAN,1903,5.3
FEB,1903,0
MAR,1903,0
APR,1903,0
MAY,1903,22.3
JUN,1903,50.6
JUL,1903,304.9
AUG,1903,261.1
SEP,1903,250.2
OCT,1903,55.1
NOV,1903,0
DEC,1903,0
JAN,1904,3.2
FEB,1904,15.5
MAR,1904,14.8
APR,1904,0
MAY,1904,12
JUN,1904,96.6
JUL,1904,273
AUG,1904,218.6
SEP,1904,125.9
OCT,1904,3.3
NOV,1904,1.8
DEC,1904,9.6
JAN,1905,3.5
FEB,1905,4.4
MAR,1905,1.1
APR,1905,0.8
MAY,1905,3
JUN,1905,36.1
JUL,1905,326.3
AUG,1905,137.6
SEP,1905,183.5
OCT,1905,0.3
NOV,1905,0
DEC,1905,0
JAN,1906,0
FEB,1906,11
MAR,1906,6.8
APR,1906,0
MAY,1906,0.5
JUN,1906,180
JUL,1906,344.5
AUG,1906,198.6
SEP,1906,266.2
OCT,1906,1.5
NOV,1906,0.2
DEC,1906,0.9
JAN,1907,5.2
FEB,1907,25.1
MAR,1907,0.6
APR,1907,12.3
MAY,1907,2.8
JUN,1907,48.7
JUL,1907,202.2
AUG,1907,328.5
SEP,1907,17.3
OCT,1907,0
NOV,1907,7.8
DEC,1907,0
JAN,1908,12.1
FEB,1908,0.6
MAR,1908,10.1
APR,1908,1.5
MAY,1908,1.9
JUN,1908,104.5
JUL,1908,368.8
AUG,1908,281.9
SEP,1908,48.5
OCT,1908,0.5
NOV,1908,0.4
DEC,1908,1.8
JAN,1909,3.5
FEB,1909,2.1
MAR,1909,0.4
APR,1909,24.8
MAY,1909,9.8
JUN,1909,150
JUL,1909,246.2
AUG,1909,257.9
SEP,1909,106.8
