Month,Year,Rainfall
JAN,1901,6.7
FEB,1901,0
MAR,1901,1.1
APR,1901,0
MAY,1901,6.1
JUN,1901,3
JUL,1901,79
AUG,1901,59.2
SEP,1901,1
OCT,1901,2.1
NOV,1901,0
DEC,1901,0.6
JAN,1902,0
FEB,1902,0
MAR,1902,0
APR,1902,0.5
MAY,1902,4
JUN,1902,49.1
JUL,1902,27
AUG,1902,71.3
SEP,1902,41.8
OCT,1902,1.8
NOV,1902,0
DEC,1902,0
JAN,1903,1.7
FEB,1903,1.3
MAR,1903,5.5
APR,1903,0
MAY,1903,4.2
JUN,1903,2.7
JUL,1903,154.8
AUG,1903,87.1
SEP,1903,49.3
OCT,1903,0.1
NOV,1903,0
DEC,1903,0.5
JAN,1904,3.8
FEB,1904,2.9
MAR,1904,16.3
APR,1904,0.7
MAY,1904,11.4
JUN,1904,14.6
JUL,1904,39.8
AUG,1904,45.6
SEP,1904,21.4
OCT,1904,1.4
NOV,1904,2.9
DEC,1904,7.1
JAN,1905,6.3
FEB,1905,4.8
MAR,1905,0.7
APR,1905,1.3
MAY,1905,0.3
JUN,1905,4.9
JUL,1905,30.1
AUG,1905,0.6
SEP,1905,64.5
OCT,1905,0
NOV,1905,0
DEC,1905,0.9
JAN,1906,0.1
FEB,1906,39.1
MAR,1906,7.8
APR,1906,0
MAY,1906,0.2
JUN,1906,19.9
JUL,1906,53.7
AUG,1906,58.6
SEP,1906,87.1
OCT,1906,0.7
NOV,1906,0
DEC,1906,2.4
JAN,1907,0.6
FEB,1907,24.5
MAR,1907,6.3
APR,1907,7.3
MAY,1907,6.8
JUN,1907,12.8
JUL,1907,52.2
AUG,1907,242.5
SEP,1907,0.2
OCT,1907,0.1
NOV,1907,0
DEC,1907,0
JAN,1908,8.5
FEB,1908,0.2
MAR,1908,0
APR,1908,3.8
MAY,1908,6.6
JUN,1908,28.4
JUL,1908,208.9
AUG,1908,265.8
SEP,1908,56.8
OCT,1908,2
NOV,1908,1
DEC,1908,0
JAN,1909,1.9
FEB,1909,6.5
MAR,1909,0
APR,1909,23.7
MAY,1909,2.3
