Month,Year,Rainfall
JAN,1901,51.4
FEB,1901,25.6
MAR,1901,9.5
APR,1901,0.7
MAY,1901,5.6
JUN,1901,23.8
JUL,1901,201.9
AUG,1901,374.3
SEP,1901,67.7
OCT,1901,7.6
NOV,1901,0
DEC,1901,7.9
JAN,1902,4.6
FEB,1902,4.6
MAR,1902,0.6
APR,1902,4.8
MAY,1902,7.2
JUN,1902,54.5
JUL,1902,325.9
AUG,1902,180.6
SEP,1902,143.1
OCT,1902,9.6
NOV,1902,0.9
DEC,1902,0.2
JAN,1903,13.4
FEB,1903,0.4
MAR,1903,1.2
APR,1903,0
MAY,1903,8.2
JUN,1903,32.7
JUL,1903,145.4
AUG,1903,279.1
SEP,1903,150.4
OCT,1903,177.3
NOV,1903,0
DEC,1903,0.4
JAN,1904,6.3
FEB,1904,2
MAR,1904,29.7
APR,1904,0.4
MAY,1904,24.8
JUN,1904,68.5
JUL,1904,358.8
AUG,1904,311.1
SEP,1904,97.1
OCT,1904,2.7
NOV,1904,15.7
DEC,1904,28.2
JAN,1905,32.3
FEB,1905,26.6
MAR,1905,14.8
APR,1905,3.6
MAY,1905,7.1
JUN,1905,18.9
JUL,1905,139.8
AUG,1905,95
SEP,1905,92.2
OCT,1905,0.2
NOV,1905,0
DEC,1905,2.9
JAN,1906,3.3
FEB,1906,63.2
MAR,1906,21.5
APR,1906,0.2
MAY,1906,3.4
JUN,1906,206.5
JUL,1906,240.5
AUG,1906,172.6
SEP,1906,260.6
OCT,1906,1.1
NOV,1906,0
DEC,1906,5.7
JAN,1907,13.8
FEB,1907,64.8
MAR,1907,17.6
APR,1907,27.2
MAY,1907,9.6
JUN,1907,15.8
JUL,1907,176.5
AUG,1907,263.9
SEP,1907,0.5
OCT,1907,0
NOV,1907,0
DEC,1907,0
JAN,1908,22.4
FEB,1908,11.4
MAR,1908,1.7
APR,1908,1.9
MAY,1908,12
JUN,1908,44.4
JUL,1908,325.2
AUG,1908,409.1
SEP,1908,35.8
OCT,1908,0.2
NOV,1908,0.7
DEC,1908,1.3
JAN,1909,16.7
FEB,1909,6.1
MAR,1909,0.1
APR,1909,69
MAY,1909,2.8
JUN,1909,163.3
JUL,1909,350.6
AUG,1909,155.1
SEP,1909,106.8
OCT,1909,1.1
NOV,1909,0
DEC,1909,31.4
JAN,1910,11.1
FEB,1910,2.5
MAR,1910,0
APR,1910,1.4
MAY,1910,13.5
JUN,1910,88
JUL,1910,120.3
AUG,1910,274.5
SEP,1910,205.4
OCT,1910,149.5
NOV,1910,9.1
DEC,1910,0.4
JAN,1911,63.8
FEB,1911,0.5
MAR,1911,31.6
APR,1911,0.8
MAY,1911,0.3
JUN,1911,58.8
JUL,1911,57.4
AUG,1911,135.6
SEP,1911,346.2
OCT,1911,17.2
NOV,1911,38.9
DEC,1911,0.6
JAN,1912,24.5
FEB,1912,6
MAR,1912,8.5
APR,1912,4.1
MAY,1912,5
JUN,1912,27.5
JUL,1912,238.1
AUG,1912,224.8
SEP,1912,254.8
OCT,1912,0.1
NOV,1912,9.5
DEC,1912,1.4
JAN,1913,0.2
FEB,1913,37.4
MAR,1913,27
APR,1913,1.8
MAY,1913,52
JUN,1913,124.2
JUL,1913,123.7
AUG,1913,101.2
SEP,1913,19.7
OCT,1913,0.9
NOV,1913,0.7
DEC,1913,6.4
JAN,1914,0.1
FEB,1914,8.5
MAR,1914,21.8
APR,1914,17.9
MAY,1914,30.5
JUN,1914,48.3
JUL,1914,335.2
AUG,1914,195.6
SEP,1914,212.8
OCT,1914,11.3
NOV,1914,5.5
DEC,1914,0
JAN,1915,20.2
FEB,1915,60.7
MAR,1915,50.3
APR,1915,7.4
MAY,1915,11.9
JUN,1915,58.5
JUL,1915,196
AUG,1915,241.3
SEP,1915,136
OCT,1915,18.4
NOV,1915,0
DEC,1915,1.8
JAN,1916,0.1
FEB,1916,17.9
MAR,1916,0
APR,1916,2.5
MAY,1916,10.4
JUN,1916,139.9
JUL,1916,299.7
AUG,1916,356.9
SEP,1916,230.5
OCT,1916,48.9
NOV,1916,7.4
DEC,1916,0
JAN,1917,9.7
FEB,1917,25.6
MAR,1917,11.7
APR,1917,16.8
MAY,1917,48.5
JUN,1917,101.8
JUL,1917,298.1
AUG,1917,235.5
SEP,1917,288.9
OCT,1917,80.1
NOV,1917,0
DEC,1917,3.5
JAN,1918,7.2
FEB,1918,0.7
MAR,1918,10.9
APR,1918,4.9
