SUBDIVISION,YEAR,ANNUAL
Andaman & Nicobar Islands,1901,3373.1999999999994
Andaman & Nicobar Islands,1902,3520.7
Andaman & Nicobar Islands,1903,2957.4
Andaman & Nicobar Islands,1904,3079.5999999999995
Andaman & Nicobar Islands,1905,2566.7
Andaman & Nicobar Islands,1906,2534.4
Andaman & Nicobar Islands,1907,3347.9
Andaman & Nicobar Islands,1908,3576.4
Andaman & Nicobar Islands,1910,2899.4
Andaman & Nicobar Islands,1911,2687.2
Andaman & Nicobar Islands,1912,2960.4999999999995
Andaman & Nicobar Islands,1913,2365.8
Andaman & Nicobar Islands,1914,2957.8
Andaman & Nicobar Islands,1915,2741.3
Andaman & Nicobar Islands,1916,2937.4999999999995
Andaman & Nicobar Islands,1917,2612.4000000000005
Andaman & Nicobar Islands,1918,3275.0000000000005
Andaman & Nicobar Islands,1919,2352.1
Andaman & Nicobar Islands,1920,2943.200000000001
Andaman & Nicobar Islands,1921,2606.4
Andaman & Nicobar Islands,1922,3554.1999999999994
Andaman & Nicobar Islands,1923,3079.5955034680696
Andaman & Nicobar Islands,1924,2349.6348575532675
Andaman & Nicobar Islands,1925,2480.5
Andaman & Nicobar Islands,1926,3282.200000000001
Andaman & Nicobar Islands,1927,2442.9
Andaman & Nicobar Islands,1928,2998.3
Andaman & Nicobar Islands,1929,2926.6
Andaman & Nicobar Islands,1930,3075.1000000000013
Andaman & Nicobar Islands,1931,2357.7000000000007
Andaman & Nicobar Islands,1932,1771.2257592275105
Andaman & Nicobar Islands,1933,2987.5000000000005
Andaman & Nicobar Islands,1934,3722.8
Andaman & Nicobar Islands,1935,3154.0000000000005
Andaman & Nicobar Islands,1936,3081.781711690175
Andaman & Nicobar Islands,1937,3591.1
Andaman & Nicobar Islands,1938,3264.4
Andaman & Nicobar Islands,1939,2782.5
Andaman & Nicobar Islands,1940,3007.5
Andaman & Nicobar Islands,1941,2898.200000000001
Andaman & Nicobar Islands,1942,1420.6494849020075
Andaman & Nicobar Islands,1946,2791.6000000000013
Andaman & Nicobar Islands,1947,3092.1118631906243
Andaman & Nicobar Islands,1949,3489.5999999999995
Andaman & Nicobar Islands,1950,2422.2000000000007
Andaman & Nicobar Islands,1951,3275.1
Andaman & Nicobar Islands,1952,3079.9
Andaman & Nicobar Islands,1953,2722
Andaman & Nicobar Islands,1954,3449
Andaman & Nicobar Islands,1955,3349.6000000000013
Andaman & Nicobar Islands,1956,3079.9
Andaman & Nicobar Islands,1957,2507.2
Andaman & Nicobar Islands,1958,2807.4
Andaman & Nicobar Islands,1959,3343.4
Andaman & Nicobar Islands,1960,3025.1
Andaman & Nicobar Islands,1961,3938.2
Andaman & Nicobar Islands,1962,2959.7
Andaman & Nicobar Islands,1963,2981.700000000001
Andaman & Nicobar Islands,1964,3054.8
Andaman & Nicobar Islands,1965,3163.9000000000005
Andaman & Nicobar Islands,1966,2701.2000000000007
Andaman & Nicobar Islands,1967,3216.5999999999995
Andaman & Nicobar Islands,1968,2762.8
Andaman & Nicobar Islands,1969,2619.2000000000007
Andaman & Nicobar Islands,1970,3370.9
Andaman & Nicobar Islands,1971,2998.700000000001
Andaman & Nicobar Islands,1972,3323.1000000000013
Andaman & Nicobar Islands,1973,2990.9999999999995
Andaman & Nicobar Islands,1974,2962.1000000000013
Andaman & Nicobar Islands,1975,3085.5999999999995
Andaman & Nicobar Islands,1976,3275.9999999999995
Andaman & Nicobar Islands,1977,2388.2
Andaman & Nicobar Islands,1978,2712.4
Andaman & Nicobar Islands,1979,1849.3
Andaman & Nicobar Islands,1980,3625.3
Andaman & Nicobar Islands,1981,3074.7
Andaman & Nicobar Islands,1982,2384.5
Andaman & Nicobar Islands,1983,2792.5000000000005
Andaman & Nicobar Islands,1984,2820.3
Andaman & Nicobar Islands,1985,2630.8
Andaman & Nicobar Islands,1986,2187.9
Andaman & Nicobar Islands,1987,2763.9
Andaman & Nicobar Islands,1988,3323.1000000000013
Andaman & Nicobar Islands,1989,2533.7000000000007
Andaman & Nicobar Islands,1990,2183.2
Andaman & Nicobar Islands,1991,2535.6
Andaman & Nicobar Islands,1992,2098.6
Andaman & Nicobar Islands,1993,2237.4
Andaman & Nicobar Islands,1994,3263.1000000000013
Andaman & Nicobar Islands,1995,3115.4999999999995
Andaman & Nicobar Islands,1996,2996.9
Andaman & Nicobar Islands,1997,2755.1
Andaman & Nicobar Islands,1998,2846.4
